"Exercício";"Programa";"Objetivo";"Objetivo Específico";"Código Entrega";"Enunciado Entrega";"Plano Regional de Desenvolvimento";"Código - Ação Indicativa";"Descrição - Ação Indicativa";
2024;"2303";"1277";"0038";"0424";"Indicadores de sustentabilidade agro-socioambiental disponibilizados para apoiar políticas públicas.";"Plano Regional de Desenvolvimento do Centro-Oeste - PRDCO";"4.1.1.3-AI";"Apoiar a adoção de boas práticas de baixo carbono nas cadeias primárias de produção agropecuária";
2024;"3102";"1274";"0044";"0606";"Sistema de certificação ESG para empresas do setor mineral brasileiro criado e implementado.";"Plano Regional de Desenvolvimento do Centro-Oeste - PRDCO";"3.2.1.1-AI";"Apoiar estudos e projetos no setor mineral para a sustentabilidade, a transição energética e a segurança alimentar";
2024;"3102";"1274";"0045";"0687";"Áreas para pesquisa e produção mineral ofertadas.";"Plano Regional de Desenvolvimento do Centro-Oeste - PRDCO";"1.1.5.1-AI";"Apoiar estudos, levantamentos, mapeamentos e projetos para a atração de investimentos em pesquisa, produção e transformação mineral orientados para a sustentabilidade";
2024;"3102";"1274";"0045";"0687";"Áreas para pesquisa e produção mineral ofertadas.";"Plano Regional de Desenvolvimento do Centro-Oeste - PRDCO";"3.2.1.1-AI";"Apoiar estudos e projetos no setor mineral para a sustentabilidade, a transição energética e a segurança alimentar";
2024;"3102";"1274";"0045";"0705";"Áreas com potencial geoeconômico avaliadas quanto a seus recursos minerais.";"Plano Regional de Desenvolvimento do Centro-Oeste - PRDCO";"1.2.7.1-AI";"Apoiar estudos e pesquisas para a identificação de recursos geológicos e minerais com potencial de exploração econômica sustentável";
2024;"2308";"1309";"0411";"2036";"Ampliação e Modernização da Infraestrutura Física e Laboratorial do Instituto Nacional de Pesquisas da Amazônia (INPA) para o Estudo da Biodiversidade, Inovação Tecnológica e Sustentabilidade dos Ecossistemas Amazônicos frente às Mudanças Globais";"Plano Regional de Desenvolvimento da Amazônia - PRDA";"2.1.3.1-AI";"Proporcionar o fortalecimento (em especial, de modernização e expansão) da infraestrutura de Pesquisa & Desenvolvimento (P&D) nacional, priorizando o compartilhamento de equipamentos, laboratórios e capital intelectual";
2024;"2308";"1309";"0411";"2036";"Ampliação e Modernização da Infraestrutura Física e Laboratorial do Instituto Nacional de Pesquisas da Amazônia (INPA) para o Estudo da Biodiversidade, Inovação Tecnológica e Sustentabilidade dos Ecossistemas Amazônicos frente às Mudanças Globais";"Plano Regional de Desenvolvimento da Amazônia - PRDA";"2.1.3.2-AI";"Ampliar e Modernizar a infraestrutura física e laboratorial das ICTs da Amazônia, para o estudo da Biodiversidade, Inovação Tecnológica e Sustentabilidade dos Ecossistemas Amazônicos frente às Mudanças Globais";
2024;"5126";"1337";"0455";"1469";"Conscientização da sociedade sobre o paradesporto";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"6.1.5.1-AI";"Implementar e qualificar equipamentos públicos voltados para atividades esportivas da população, incluindo pessoas idosas e com deficiência";
2024;"5126";"1337";"0455";"1469";"Conscientização da sociedade sobre o paradesporto";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"6.3.1.1-AI";"Ampliar o acesso aos esportes educacional, amador e de lazer em áreas de vulnerabilidade social, valorizando as iniciativas intersetoriais para garantia e promoção de direitos sociais de saúde, educação, esporte, lazer e cultura";
2024;"5113";"1329";"0357";"0820";"Apoio com recursos de custeio e capital às atividades de formação, pesquisa e extensão no âmbito de programas de pós-graduação que possuem somente o curso de mestrado";"Plano Regional de Desenvolvimento do Centro-Oeste - PRDCO";"6.1.5.4-AI";"Apoiar atividades de formação, pesquisa e extensão no âmbito de programas de pós-graduação";
2024;"5113";"1329";"0357";"0821";"Apoio a editais que contemplem a incorporação de políticas de ações afirmativas";"Plano Regional de Desenvolvimento do Centro-Oeste - PRDCO";"6.1.5.3-AI";"Apoiar a formação em nível de mestrado e/ ou doutorado com a concessão de bolsas";
2024;"5126";"1337";"0459";"1494";"Intercâmbio de conhecimento entre atletas, técnicos e pesquisadores brasileiros e estrangeiros";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"6.2.5.1-AI";"Fomentar práticas de prevenção às diversas formas de preconceito e violências";
2024;"2304";"1310";"0214";"1511";"Fomento ao desenvolvimento e aplicação de tecnologias sociais entre povos indígenas, nos termos da Política Nacional de Gestão Territorial e Ambiental de Terras Indígenas (PNGATI) - Decreto 7.747/12";"Plano Regional de Desenvolvimento da Amazônia - PRDA";"2.1.2.1-AI";"Desenvolver projetos de tecnologias sociais no país, em arranjos produtivos, especialmente em regiões de maior vulnerabilidade socioambiental";
2024;"2304";"1310";"0214";"1511";"Fomento ao desenvolvimento e aplicação de tecnologias sociais entre povos indígenas, nos termos da Política Nacional de Gestão Territorial e Ambiental de Terras Indígenas (PNGATI) - Decreto 7.747/12";"Plano Regional de Desenvolvimento da Amazônia - PRDA";"2.2.6.3-AI";"Fomentar o desenvolvimento e aplicação de tecnologias sociais entre povos indígenas";
2024;"3102";"1274";"0046";"0940";"Áreas para pesquisa e produção de minerais estratégicos para a transição energética ofertadas.";"Plano Regional de Desenvolvimento do Centro-Oeste - PRDCO";"3.2.1.1-AI";"Apoiar estudos e projetos no setor mineral para a sustentabilidade, a transição energética e a segurança alimentar";
2024;"2304";"1310";"0214";"1511";"Fomento ao desenvolvimento e aplicação de tecnologias sociais entre povos indígenas, nos termos da Política Nacional de Gestão Territorial e Ambiental de Terras Indígenas (PNGATI) - Decreto 7.747/12";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"2.1.1.1-AI";"Promover acesso aos resultados do desenvolvimento científico e tecnológico, a partir da difusão de tecnologias e a popularização da ciência, para contribuir para a resolução de problemas sociais e melhoria de vida da população";
2024;"5126";"1337";"0459";"1522";"Qualificação dos centros de treinamento de excelência";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"6.1.5.1-AI";"Implementar e qualificar equipamentos públicos voltados para atividades esportivas da população, incluindo pessoas idosas e com deficiência";
2024;"2304";"1310";"0216";"1538";"Tecnologias assistivas desenvolvidas";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"2.1.1.1-AI";"Promover acesso aos resultados do desenvolvimento científico e tecnológico, a partir da difusão de tecnologias e a popularização da ciência, para contribuir para a resolução de problemas sociais e melhoria de vida da população";
2024;"5118";"1331";"0470";"1635";"Profissionais especialistas atuando no SUS.";"Plano Regional de Desenvolvimento da Amazônia - PRDA";"6.2.1.2-AI";"Atrair profissionais de saúde para região";
2024;"5602";"1259";"0399";"2810";"Processo de Seleção para regularização fundiária de núcleos urbanos informais dotados total ou parcialmente de infraestrutura essencial e ocupados predominantemente por população de baixa renda no subeixo Urbanização de Favelas (eixo Cidades Sustentáveis e Resilientes)";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"3.4.1.3-AI";"Regularização fundiária nos assentamentos de ocupação desordenada e ocupados por pessoas de baixa renda";
2024;"5126";"1337";"0434";"1397";"Entrega da casa do torcedor nas 5 regiões do país";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"6.1.5.1-AI";"Implementar e qualificar equipamentos públicos voltados para atividades esportivas da população, incluindo pessoas idosas e com deficiência";
2024;"5126";"1337";"0434";"1397";"Entrega da casa do torcedor nas 5 regiões do país";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"6.2.5.1-AI";"Fomentar práticas de prevenção às diversas formas de preconceito e violências";
2024;"2321";"1270";"0056";"2820";"Implantação do Canal do Sertão Alagoano - Trecho 5";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"3.6.1.2-AI";"Construção de canais e ramais";
2024;"3102";"1274";"0049";"0974";"Áreas para pesquisa e produção de insumos minerais para segurança alimentar ofertadas";"Plano Regional de Desenvolvimento do Centro-Oeste - PRDCO";"3.2.1.1-AI";"Apoiar estudos e projetos no setor mineral para a sustentabilidade, a transição energética e a segurança alimentar";
2024;"5111";"1281";"0441";"1428";"Apoio à formação continuada em educação ambiental";"Plano Regional de Desenvolvimento da Amazônia - PRDA";"2.2.3.3-AI";"Apoiar a qualificação dos profissionais da educação em ações de formação inicial e continuada visando a melhoria das práticas pedagógicas, da gestão escolar e do desenvolvimento integral do educando";
2024;"5117";"1266";"0481";"1664";"Assistência farmacêutica em fitoterápicos nos municípios qualificada e apoiada.";"Plano Regional de Desenvolvimento da Amazônia - PRDA";"6.2.1.3-AI";"Incentivar a realização de capacitação gerencial dos espaço de saúde";
2024;"2308";"1309";"0411";"2837";"Construção de infovia estadual com 6.000 km, no Estado do Maranhão - (Construção de Infovias Estaduais - RNP (Modalidade PAC: Infovias Regionais e Estaduais))";"Plano Regional de Desenvolvimento da Amazônia - PRDA";"2.1.3.1-AI";"Proporcionar o fortalecimento (em especial, de modernização e expansão) da infraestrutura de Pesquisa & Desenvolvimento (P&D) nacional, priorizando o compartilhamento de equipamentos, laboratórios e capital intelectual";
2024;"2308";"1309";"0411";"2837";"Construção de infovia estadual com 6.000 km, no Estado do Maranhão - (Construção de Infovias Estaduais - RNP (Modalidade PAC: Infovias Regionais e Estaduais))";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"2.1.1.2-AI";"Fortalecimento e Reorientação das ações e instrumentos de financiamento do Sistema Nacional de Ciência, Tecnologia e Inovação (SNCTI), a partir da estratégia de desenvolvimento regional";
2024;"5120";"1339";"0493";"1705";"Estabelecimentos de saúde gerando informações de custos no sistema APURASUS.";"Plano Regional de Desenvolvimento da Amazônia - PRDA";"6.2.1.3-AI";"Incentivar a realização de capacitação gerencial dos espaço de saúde";
2024;"5111";"1281";"0441";"1428";"Apoio à formação continuada em educação ambiental";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"7.1.3.1-AI";"Promover a formação continuada de professores do ensino básico da Educação Básica";
2024;"2308";"1309";"0411";"2837";"Construção de infovia estadual com 6.000 km, no Estado do Maranhão - (Construção de Infovias Estaduais - RNP (Modalidade PAC: Infovias Regionais e Estaduais))";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"7.2.3.1-AI";"Promover e ampliar os investimentos, a produção técnico científica e a Pesquisa, Desenvolvimento & Inovação (P&D)";
2024;"2324";"1311";"0210";"1747";"Aumento no valor adicionado bruto no complexo industrial-tecnológico - SAÚDE";"Plano Regional de Desenvolvimento da Amazônia - PRDA";"1.1.4.3-AI";"Ampliar os investimentos em P&D para estruturação e expansão dos complexos industriais-tecnológicos";
2024;"2303";"1277";"0038";"2842";"Embrapa Caprinos e Ovinos - Modernização das Instalações e Equipamentos para Pesquisa Agropecuária.";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"1.1.3.3-AI";"Apoio a Caprinoovinocultura";
2024;"2303";"1277";"0038";"2862";"Embrapa Gado de Corte - Modernização das Instalações e Equipamentos para Pesquisa Agropecuária.";"Plano Regional de Desenvolvimento do Centro-Oeste - PRDCO";"2.1.1.1-AI";"Apoiar estudos, levantamentos e projetos para fomentar, reconhecer e valorizar as cadeias produtivas de baixa emissão de carbono";
2024;"2303";"1277";"0038";"2862";"Embrapa Gado de Corte - Modernização das Instalações e Equipamentos para Pesquisa Agropecuária.";"Plano Regional de Desenvolvimento do Centro-Oeste - PRDCO";"2.1.1.2-AI";"Apoio a projetos de estruturação de redes de inovação agropecuária";
2024;"2303";"1277";"0038";"2862";"Embrapa Gado de Corte - Modernização das Instalações e Equipamentos para Pesquisa Agropecuária.";"Plano Regional de Desenvolvimento do Centro-Oeste - PRDCO";"2.1.4.1-AI";"Apoiar a estruturação de redes de inovação agropecuária";
2024;"2303";"1277";"0038";"2862";"Embrapa Gado de Corte - Modernização das Instalações e Equipamentos para Pesquisa Agropecuária.";"Plano Regional de Desenvolvimento do Centro-Oeste - PRDCO";"4.1.1.1-AI";"Apoiar ações, estudos e projetos para a reestruturação produtiva de baixo carbono";
2024;"2303";"1277";"0038";"2862";"Embrapa Gado de Corte - Modernização das Instalações e Equipamentos para Pesquisa Agropecuária.";"Plano Regional de Desenvolvimento do Centro-Oeste - PRDCO";"4.1.1.3-AI";"Apoiar a adoção de boas práticas de baixo carbono nas cadeias primárias de produção agropecuária";
2024;"2303";"1277";"0038";"2862";"Embrapa Gado de Corte - Modernização das Instalações e Equipamentos para Pesquisa Agropecuária.";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"1.1.3.4-AI";"Apoio a Bovinocultura";
