"Exercício";"Programa";"Objetivo";"Objetivo Específico";"Entrega";"Indicador";"Denominação";"Sigla";"Índice de Referência";"Em Apuração";"Data de Apuração";"Unidade de Medida";"Descrição ";"Período ou Data a que se Refere";"Data de Divulgação/Disponibilização";"Periodicidade";"Polaridade";"Fórmula de Cálculo";"Variáveis de Cálculo";"Fonte de Dados das Variáveis de Cálculo";"Forma de Disponibilização";"Procedimento de Cálculo";"Limitações";"Notas Explicativas";
2024;"3107";"1294";"0052";"3260";12628;"Descarbonizar a matriz de transportes";;;Sim;;"Descarbonizar a matriz de transportes";;;;"Descarbonizar a matriz de transportes";"Quanto maior melhor";;;;;;;;
2024;"3107";"1294";"0052";"3261";12629;"Descarbonizar a matriz de transportes";;;Sim;;"Descarbonizar a matriz de transportes";;;;"Descarbonizar a matriz de transportes";"Quanto maior melhor";;;;;;;;
2024;"3107";"1294";"0052";"3262";12631;"Descarbonizar a matriz de transportes";;;Sim;;"Descarbonizar a matriz de transportes";;;;"Descarbonizar a matriz de transportes";"Quanto maior melhor";;;;;;;;
2024;"3107";"1294";"0052";"3263";12633;"Descarbonizar a matriz de transportes";;;Sim;;"Descarbonizar a matriz de transportes";;;;"Descarbonizar a matriz de transportes";"Quanto maior melhor";;;;;;;;
2024;"3107";"1294";"0052";"3264";12634;"Descarbonizar a matriz de transportes";;;Sim;;"Descarbonizar a matriz de transportes";;;;"Descarbonizar a matriz de transportes";"Quanto maior melhor";;;;;;;;
2024;"3107";"1294";"0052";"3265";12635;"Descarbonizar a matriz de transportes";;;Sim;;"Descarbonizar a matriz de transportes";;;;"Descarbonizar a matriz de transportes";"Quanto maior melhor";;;;;;;;
2024;"3107";"1294";"0052";"3274";12627;"Investir no segmento de combustíveis de baixo carbono";;;Sim;;"Investir no segmento de combustíveis de baixo carbono";;;;"Investir no segmento de combustíveis de baixo carbono";"Quanto maior melhor";;;;;;;;
2024;"3107";"1294";"0053";"2382";11745;"Produção anual de concentrado de urânio";;;Sim;;"Produção anual de concentrado de urânio";"Produção nacional de concentrado de urânio pela INB.";"segundo trimestre do ano seguinte ao corrente";;"Produção anual de concentrado de urânio";"Quanto maior melhor";;"Pc U3O8 ? Produção de concentrado de urânio";"Indústrias Nucleares do Brasil S.A. - INB";"Relatório da Administração da INB, caso o relatório não seja publicado, o valor da produção será obtido diretamente com a empresa.";"Atualmente, só existe uma mina de exploração de urânio em operação no país. Assim, não há necessidade de fórmula de cálculo, o valor da meta é a produção de Caetité. A mina de Santa Quitéria não deverá entrar em operação no período do PPA em vigor.";;;
2024;"3107";"1294";"0053";"2378";11740;"Produção beneficiada em metal contido para transição energética";;16.762.356,00;Não;31/12/2021;"Produção beneficiada em metal contido para transição energética";"O Brasil é um dos principais países com expressiva participação na produção beneficiada em metal contido para transição energética mundial. Com a emergência da transição energética, é fundamental que o País aumente a produção desses minerais.  São considerados minerais para transição energética: I ? Lítio, II ? Elementos Terras Raras, III ? Níquel, IV ? Cobre, V ? Nióbio, VI ? Alumínio, VII ? Grafita, VIII ? Manganês, IX ? Vanádio,  X ? Silício, e XI ? Cobalto.   ";"dois anos antes do exercício corrente";;"Produção beneficiada em metal contido para transição energética";"Quanto maior melhor";;"PB: Produção Beneficiada em metal contido ?n? no exercício atual N: Quantidade de minerais considerados Serão considerados neste primeiro momento os seguintes minerais: alumínio, cobre, nióbio, níquel e vanádio. ";"Anuário Mineral Brasileiro";"Anualmente a ANM publica o Anuário Mineral Brasileiro que fica disponível em:   https://www.gov.br/anm/pt-br/centrais-de-conteudo/publicacoes/serie-estatisticas-e-economia-mineral/anuario-mineral/anuario-mineral-brasileiro  ";"A ANM é responsável pela regulação e fiscalização do setor mineral brasileiro, além de ser responsável pela arrecadação da CFEM, calculada a partir da produção mineral. Dessa forma, a Agência recebe rotineiramente das empresas os dados da produção mineral, que após consolidados são publicados no Anuário Mineral Brasileiro";"Apesar de receber os dados da produção nacional referente a todos os minerais para transição energética, a ANM só publica no Anuário Mineral Brasileiro, os dados dos minerais com produção nacional relevante, dessa forma, neste primeiro momento, ficaram de fora os dados para grafita, silício, cobalto, manganês e terras raras. A Secretaria Nacional de Geologia, Mineração e Transformação Mineral (SNGM) vai manter tratativas com a Agência de forma a ampliar o rol de minerais para transição energética no cálculo do indicador para os próximos anos. ";"A produção beneficiada em metal contido para transição energética depende de fatores externos como aumento ou queda da demanda, nesse contexto que as empresas montam suas estratégias mercadológicas. Diversos estudos demonstram de forma consistente que a demanda por minerais para transição energética deve aumentar nos próximos anos, o que deve aquecer o mercado e mundial e ampliar a produção nacional para atender o mercado.  Como explicitado anteriormente, a SNGM vai manter tratativas com a ANM de forma a ampliar o rol de minerais para transição energética no cálculo do indicador para os próximos anos, assim, é possível que ocorra uma alteração na forma de cálculo. ";
2024;"4101";"1265";"0021";"0025";8803;"Percentual de tempo de disponibilidade dos canais (Portal, APP)";"TDISP";100,00;Não;31/12/2023;"Percentual de tempo de disponibilidade dos canais (Portal, APP)";"Percentual de tempo que os canais de acesso às informações oficiais publicadas no DOU (Portal, APP) permanecem disponíveis aos usuários";"31/12 do ano a que se refere o indicador";"1a Reunião de Avaliação Estratégica do ano posterior a que se refere o indicador";"Percentual de tempo de disponibilidade dos canais (Portal, APP)";"Quanto maior melhor";;"TD = 'Tempo Disponível' TT = 'Tempo Total'";"Método de Coleta de dados: Extração das informações das ferramentas de monitoramento do Portal e APP";"Reuniões de Avaliação Estratégica do Planejamento Estratégico da Imprensa Nacional";"Cálculo Matemático";;;
2024;"4101";"1265";"0021";"0026";8804;"Percentual de resultados buscados e encontrados com êxito";"BEXIT";0,00;Não;31/12/2023;"Percentual de resultados buscados e encontrados com êxito";"Percentual de buscas efetuadas nos canais de acesso às informações oficiais publicadas no DOU que satisfazem a demanda do usuário";"31/12 do ano a que se refere o indicador";"1a Reunião de Avaliação Estratégica do ano posterior a que se refere o indicador";"Percentual de resultados buscados e encontrados com êxito";"Quanto maior melhor";;"BEXIT = 'Buscas com retorno exitoso' B = 'Buscas efetuadas'";"Método de Coleta de dados: Por meio de informações a serem disponibilizadas por ferramentas de extração de dados.";"Reuniões de Avaliação Estratégica do Planejamento Estratégico da Imprensa Nacional";"Cálculo Matemático";;;
2024;"5129";"1249";"0002";"0001";8766;"Percentual de execução do projeto de integração Cadastro Único - CNIS";;25,00;Não;21/06/2023;"Percentual de execução do projeto de integração Cadastro Único - CNIS";"Percentual de execução do projeto de integração das informações do CNIS ao Cadastro Único. O projeto prevê 3 etapas de execução visando à interoperabilidade entre os sistemas. Etapa 1 ? Povoamento inicial, no Cadastro Único, dos dados de trabalho e benefícios previdenciários e assistenciais do CNIS por meio de arquivo (offline). Etapa 2 ? Povoamento de atualização e incremento, visando identificar novos vínculos de trabalho, novos benefícios previdenciários e assistenciais, bem como os desligamentos ocorridos ainda por meio de arquivo (offline), Etapa 3 - Interoperabilidade entre os sistemas, com a integração automatizada e em tempo real das informações do CNIS no Cadastro Único (online). ";"1º semestre/2023";"jun/2023";"Percentual de execução do projeto de integração Cadastro Único - CNIS";"Quanto maior melhor";;"CE - Indicador de Conclusão da Etapa (0 - Não ou 1 - Sim),  P - Peso da conclusão da etapa no desenvolvimento do projeto (1 ou 2), sendo que as etapas 1 e 2 tem peso 1 e a etapa 3 tem peso 2. ";"Painel de gestão do projeto de integração Cadastro Único CNIS";"Relatório de execução do projeto";"Verificar se as etapas foram concluídas e multiplicar pelo seu respectivo peso. Em seguida, somar os resultados, dividi-los por 4 e multiplicar por 100";"O indicador não permite o acompanhamento do projeto em suas sub-etapas.";;
2024;"5129";"1249";"0002";"0420";9293;"Quantidade de Cursos e Recursos Educacionais Digitais (REDs) novos ou atualizados ofertados";;0,00;Não;30/06/2023;"Quantidade de Cursos e Recursos Educacionais Digitais (REDs) novos ou atualizados ofertados";"Número de cursos e Recursos Educacionais Digitais novos ou atualizados ofertados nas diversas modalidades (presenciais, híbridos ou a distância) para pessoas gestoras, entrevistadoras e operadoras do sistema do Cadastro Único no âmbito federal, estadual, distrital e municipal. ";"1º semestre/2023";"Primeira semana de janeiro";"Quantidade de Cursos e Recursos Educacionais Digitais (REDs) novos ou atualizados ofertados";"Quanto maior melhor";;"X = Número de Cursos novos ou atualizados ofertados nas modalidades presencial, híbrida ou a distância Y = Recursos Educacionais Digitais novos ou atualizados ofertados no Portal EaD";"Relatórios de capacitação da SAGICAD Relatórios de Capacitação da Caixa";"Relatório de entregas da SAGICAD, por meio da aplicação da fórmula de cálculo. ";"Somatório do número de Cursos novos ou atualizados ofertados nas modalidades presencial, híbrida ou a distância e de Recursos Educacionais Digitais novos ou atualizados ofertados no Portal EaD. ";;;
2024;"5129";"1249";"0002";"0421";9295;"Número de encontros anuais com os gestores estaduais e municipais do Cadastro Único realizados";;0,00;Não;30/06/2023;"Número de encontros anuais com os gestores estaduais e municipais do Cadastro Único realizados";"Número de encontros presenciais realizados com os gestores do Cadastro Único das metrópoles e dos Estados, por ano, sob responsabilidade do MDS.";" 1º semestre/2023";"Primeira quinzena de janeiro";"Número de encontros anuais com os gestores estaduais e municipais do Cadastro Único realizados";"Quanto maior melhor";;"X = número de encontros presenciais com os gestores estaduais do Cadastro Único  Y = número de encontros presenciais com os gestores do Cadastro Único nas metrópoles";"Relatórios da SAGICAD com memória dos encontros.";"Relatório de entregas da SAGICAD, por meio da aplicação da fórmula de cálculo";"Somatório do número de encontros presenciais realizados com os gestores estaduais do Cadastro Único e do número de encontros presenciais realizados com os gestores do Cadastro Único das metrópoles, por ano, sob responsabilidade do MDS.";;;
2024;"5116";"1250";"0003";"0304";9143;"Percentual de pessoas privadas de liberdade matriculadas em educação formal";;16,18;Não;31/12/2022;"Percentual de pessoas privadas de liberdade matriculadas em educação formal";"O indicador visa aferir a quantidade de matrículas de Educação Básica ? Educação de Jovens e Adultos - ofertadas para as pessoas privadas de liberdade.";"31/12";"junho e dezembro do ano subsequente.";"Percentual de pessoas privadas de liberdade matriculadas em educação formal";"Quanto maior melhor";;"A = Pessoas matriculadas na educação básica ? alfabetização ou 1º e 2º anos das Séries Iniciais do Ensino Fundamental. B = Pessoas matriculadas na educação básica - 3º, 4º e 5º anos das séries iniciais e das séries finais do Ensino Fundamental. C = Pessoas matriculadas na educação básica - Ensino Médio - regular e técnico. (Dados são obtidos através do Censo Escolar e Infopen, como educação escolar, e demonstram as matrículas realizadas junto à rede pública e privada de ensino). D = Pessoas envolvidas em atividades educacionais de ensino superior, obtidas no Infopen.";"Sisdepen";"BI do Sisdepen";"Coleta dos dados junto às unidades federativas, Tratamento dos dados obtidos pela Senappen, Validação dos dados pelos gestores estaduais e senappen, divulgação dos dados pelo SISDEPEN.";;"O total de matrículas tem como referência o mês de dezembro de cada ano, entretanto, o Sisdepen tem sido divulgado somente no ano seguinte, geralmente no mês de maio.";
2024;"5116";"1250";"0003";"0308";9148;"Atividades educacionais complementares realizadas";;743.974,00;Não;31/12/2022;"Atividades educacionais complementares realizadas";"O indicador visa aferir a quantidade de participações em atividades educacionais para as pessoas privadas de liberdade.";"31/12";"maio e novembro do ano subsequente";"Atividades educacionais complementares realizadas";"Quanto maior melhor";;"A = total de matrículas em cursos de capacitação profissional, B = total de atividades complementares, C = total de atividades de remição por meio da leitura, D = total de atividades de remição por meio do esporte ";"Sisdepen";"BI do Sisdepen";"Coleta dos dados junto às unidades federativas, Tratamento dos dados obtidos pela Senappen, Validação dos dados pelos gestores estaduais e senappen, divulgação dos dados pelo SISDEPEN.";;"O total de atividades educacionais tem como referência o mês de dezembro de cada ano, entretanto, o Sisdepen tem sido divulgado somente no ano seguinte, geralmente no mês de maio.";
2024;"5116";"1250";"0003";"0312";9155;"Percentual de pessoas privadas de liberdade que participam de atividades laborais";;18,96;Não;31/12/2022;"Percentual de pessoas privadas de liberdade que participam de atividades laborais";"O indicador mede: o número de pessoas envolvidas em ações de trabalho, atividades laborativas e qualificação profissional.";"31/12";"maio e novembro do ano subsequente ";"Percentual de pessoas privadas de liberdade que participam de atividades laborais";"Quanto maior melhor";;"A= presos condenados        B= presos provisórios      C= egressos         D= medidas alternativas de pena";"SISDEPEN";"BI do SISDEPEN";"Coleta dos dados junto às unidades federativas, Tratamento dos dados obtidos pela Senappen, Validação dos dados pelos gestores estaduais e senappen, divulgação dos dados pelo SISDEPEN.";;"O SISDEPEN tem divulgado os dados anuais em Maio, por isso o utilizamos como marco temporal.";
2024;"5116";"1250";"0003";"0316";9159;"Pessoas em cumprimento de medidas alternativas ao encarceramento";;0,00;Sim;31/12/2022;"Pessoas em cumprimento de medidas alternativas ao encarceramento";"O indicador visa aferir o aumento da aplicação das medidas cautelares, penas restritivas de direito, acordo de não persecução penal e monitoração eletrônica (medidas cautelares e medidas protetivas de urgência) como alternativas ao cárcere.";"31/12";"Fevereiro e Agosto do ano subsequente ";"Pessoas em cumprimento de medidas alternativas ao encarceramento";"Quanto maior melhor";;"T=total, NE=novas entradas,  mc=medida cautelar,  prd=pena restritiva de direito,  anpp= acordo de não persecução penal,  me= monitoração eletrônica";"Formulários preenchidos mensalmente pelas Centrais Integradas de Alternativas Penais e Centrais de Monitoração Eletrônica e validadas pelas Secretarias de Estado.";"Os dados serão disponibilizados por meio de Boletins Semestrais em canais de comunicação oficiais da SENAPPEN";"O número será calculado a partir do somatório de novas pessoas em medidas cautelares, das penas restritivas de direito, do acordos de não persecução penal e da monitoração eletrônica (medidas cautelares e medidas protetivas de urgência) ";;"A sistematização e coleta de dados relativos às medidas alternativas ao encarceramento está sendo inaugurada de forma concomitante à construção dos indicadores. A linha de base do indicador será estabelecida a partir do número de medidas cautelares, penas restritivas de direito, acordo de não persecução penal e monitoração para os casos de medidas cautales e medidas protetivas de urgência. ";
2024;"5116";"1250";"0003";"0326";9170;"Pessoas atendidas pelos serviços especializados de atenção à pessoa egressa do sistema prisional";;0,00;Sim;27/06/2023;"Pessoas atendidas pelos serviços especializados de atenção à pessoa egressa do sistema prisional";"O indicador visa aferir o aumento de pessoas atendidas pelos serviços especializados.";"31/12";"Fevereiro e Agosto do ano subsequente ";"Pessoas atendidas pelos serviços especializados de atenção à pessoa egressa do sistema prisional";"Quanto maior melhor";;"NT=número total,  NI=número de novos inscritos,                  ND= número de desligados.  ";"Formulários preenchidos mensalmente pelos Serviços Especializados de Atenção à Pessoa Egressa do Sistema Prisional.";"Os dados serão disponibilizados por meio de Boletins Semestrais em canais de comunicação oficiais da SENAPPEN.";"O número total de pessoas atendidas pelos serviços especializados será calculado a partir do número de pessoas inscritas, menos o número de pessoas desligadas.";;"A sistematização e a coleta de dados relativas às pessoas atendidas pelos serviços especializados de atenção à pessoa egressa estão sendo inauguradas de forma concomitante à construção dos indicadores.";
