"Exercício";"Programa";"Objetivo";"Objetivo Específico";"Entrega";"Enunciado";"Descrição";"Órgão";"Unidade Responsável";"Projeto de Investimento";"Data de Início";"Data de Término";"Valor Total";"Execução Física Acumulada";"Meta da Execução Física";"Concluída";
2025;"5133";"1332";"0376";"0972";"Equipamentos Públicos de SAN (bancos de alimentos, cozinhas comunitárias e solidárias, restaurantes populares e centrais da agricultura familiar) promovendo inclusão social";"Apoiar os equipamentos públicos e sociais de segurança alimentar e nutricional promovendo uma abordagem mais integrada entre acesso à alimentação e inclusão socioeconômica para atendimento das famílias em insegurança alimentar e nutricional, com prioridade para mulheres e, população negra, população em situação de rua e catadores.";"55000 - Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome";"Coordenação-Geral de Equipamentos Públicos";"Não";;;;;;"";
2025;"5133";"1332";"0376";"0953";"Alimentos doados por intermédio da Rede Brasileira de Bancos de Alimentos";"Fortalecer a Rede de Bancos de Alimentos para aumentar a captação de alimentos e destiná-los para os equipamentos de SAN e instituições socioassistenciais que atendem famílias em maior vulnerabilidade social";"55000 - Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome";"Coordenação-Geral de Equipamentos Públicos";"Não";;;;;;"";
2025;"5133";"1332";"0376";"0960";"Rede Brasileira de Banco de Alimentos fortalecida por meio da qualificação técnica, plataforma de integração e apoio financeiro.";"Ampliar o número de entidades pertencentes a RBBA";"55000 - Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome";"Coordenação-Geral de Equipamentos Públicos";"Não";;;;;;"";
2025;"5133";"1332";"0394";"1103";"Capacitação de gestores e conselheiros estaduais e municipais";"Enquanto se avança na formulação de uma política nacional de formação e capacitação do SISAN, a realização de ações voltadas à capacitação de gestores e conselheiros estaduais e municipais de SAN contribuirá para o estabelecimento de uma cultura de política pública e de gestão pública em SAN e DHAA, estimulando uma participação mais qualificada dos gestores além de uma maior efetividade na incidência política.";"55000 - Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome";"SECF/MDS";"Não";;;;;;"";
2025;"5133";"1332";"0394";"1099";"Apoio técnico à formulação de Planos Estaduais e Municipais de Segurança Alimentar e Nutricional";"O SISAN é um sistema de adesão voluntária e de natureza intersetorial, o que lhe confere especificidades em relação aos outros Sistemas públicos de garantia de direitos. Uma das estratégias para incentivar a adesão dos municípios ao Sisan e fomentar o processo de elaboração dos Planos de Segurança Alimentar e Nutricional (Plano de SAN), que é o principal instrumento de planejamento, gestão e execução da Política de Segurança Alimentar e Nutricional, é garantir apoio técnico aos entes federados.";"55000 - Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome";"SECF/MDS";"Não";;;;;;"";
2025;"5133";"1332";"0394";"1107";"Plataforma de Gestão e Monitoramento do SISAN";"a criação de uma plataforma digital para o Sisan permitirá centralizar e organizar todas as informações sobre o sistema. Dessa forma, dados e indicadores referentes aos programas, ações, projetos e resultados obtidos poderão ser acessados de maneira rápida e eficiente por todos os participantes envolvidos no Sisan e pela sociedade. Isso proporcionará uma visão global do sistema, facilitando a identificação de demandas, lacunas e possíveis áreas de melhoria. Ao oferecer essa visão integrada do Sisan aos seus participantes e à sociedade, a plataforma digital visa, também, aprimorar a estratégia de promoção da articulação intersetorial e federativa, bem como fortalecer a participação e o controle social, conferindo maior publicização e transparência às ações realizadas e aos seus resultados.";"55000 - Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome";"SECF/MDS";"Não";;;;;;"";
2025;"5121";"1316";"0388";"1265";"Estratégias de educação em saúde para enfrentamento das desigualdades de gênero, raça, etnia, geração, classe, orientação sexual e deficiências implantadas.";"Trata-se de estratégias de formação e educação permanente na saúde considerando as interseccionalidades no trabalho na saúde, a transversalizar a temática de gênero, raça e classe nos processos de educação permanente e formação no SUS, inclusão da temática da orientação sexual e identidade de gênero nos processos de educação permanente desenvolvidos pelo SUS. As estratégias de educação deverão contemplar a formação, qualificação e sensibilização de trabalhadoras e trabalhadores no SUS para o enfrentamento das iniquidades em saúde de gênero, identidade de gênero, raça, etnia, sexualidade, etarismo, capacitismo e outras discriminações no âmbito da saúde.";"36000 - Ministério da Saúde";"Secretaria de Gestão do Trabalho e da Educação na Saúde (SGTES)";"Não";;;;;;"Não";
2025;"5121";"1316";"0388";"3343";"Pesquisas sobre as iniquidades de gênero, raça, etnia, geração, classe, orientação sexual e deficiências no mundo do trabalho no SUS";"Trata-se de quantificar as pesquisas científicas e tecnológicas que se propõem a investigar as iniquidades de gênero, raça, etnia, geração, classe, orientação sexual e deficiências no mundo do trabalho no SUS.";"36000 - Ministério da Saúde";"Secretaria de Gestão do Trabalho e da Educação na Saúde (SGTES) ";"Não";;;;;;"Não";
2025;"5121";"1316";"0388";"1268";"Mobilizadoras/es de equidade de gênero, raça, etnia e valorização das trabalbalhadoras do SUS nas 27 UFs formados";"Ação destinada a mobilizar as Redes de Atenção Primária à Saúde (APS) e rede colaborativa de gestão do trabalho e educação na saúde para fomentar e capilarizar engajamento de gestoras, gestores, trabalhadoras e trabalhadores da saúde ao Programa.";"36000 - Ministério da Saúde";"Secretaria de Gestão do Trabalho e da Educação na Saúde (SGTES)";"Não";;;;;;"Não";
2025;"5121";"1316";"0388";"1262";"Estratégias de gestão em saúde para enfrentamento das desigualdades de gênero, raça, etnia, geração, classe, orientação sexual e deficiências implantadas.";"Trata-se de ação no qual será incentivado que as gestoras e os gestores do SUS, nas esferas estaduais, municipais e distrital a realizem, em seu território, articulação intersetorial com órgãos da segurança, educação, política para mulheres e assistência social, para elaboração de estratégias conjuntas de equidade de gênero e enfrentamento a violência contra mulher no ambiente de trabalho. As estratégias de gestão em saúde contemplam a criação de espaços de acolhimento e enfrentamento às violências, criação de comitês e fóruns, estruturas de cuidado e acolhimento das mulheres e o incentivo de ocupação das mulheres nos cargos de gestão.";"36000 - Ministério da Saúde";"Secretaria de Gestão do Trabalho e da Educação na Saúde (SGTES)";"Não";;;;;;"Não";
2025;"5121";"1316";"0388";"1264";"Estratégias de comunicação em saúde para enfrentamento das desigualdades de gênero, raça, etnia, geração, classe, orientação sexual e deficiências implantadas.";"Trata-se de estratégias que visam fomentar o uso de comunicação não-violenta e práticas humanizadas na relação do trabalho na saúde. As estratégias de comunicação serão destinadas a qualquer veículo como: jornal impresso, rádio, internet, canais televisivos públicos e privados, outdoor, redes sociais, revistas, matérias, reportagens, podcasts/vídeo-cast, documentários, folders, videoaulas/web palestras, telenovelas, storyboard (ilustrações), campanhas e peças publicitárias.";"36000 - Ministério da Saúde";"Secretaria de Gestão do Trabalho e da Educação na Saúde (SGTES)";"Não";;;;;;"Não";
2025;"5837";"1325";"0305";"1530";"Programa de Proteção a Vítimas e Testemunhas Ameaçadas - PROVITA implementado nos estados.";"Celebração de novos instrumentos de parceria com estados e organizações da sociedade civil para execução do PROVITA, bem como aprimoramento dos instrumentos vigentes";"81000 - Ministério dos Direitos Humanos e da Cidadania";"Secretaria Nacional de Promoção e Defesa dos Direitos Humanos";"Não";;;;;;"";
2025;"5133";"1332";"0372";"0824";"Inclusão produtiva de famílias rurais inscritas no Cadastro Único por meio do acompanhamento social e produtivo e a transferência direta de recursos financeiros não-reembolsáveis às famílias.";"Família rural inscrita no Cadastro Único atendida com ações de inclusão social e produtiva";"55000 - Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome";"Secretaria Nacional de Segurança Alimentar e Nutricional";"Não";;;;;;"";
2025;"5133";"1332";"0370";"0816";"Tecnologias sociais de acesso à água para o consumo e a produção.";"Tecnologia social de acesso à água implementada, tais como cisternas de placas de 16 mil litros, cisternas escolares, cisternas calçadão, cisternas de enxurradas, barragens subterrâneas, sistemas pluviais multiuso autônomo, sistemas pluviais multiuso comunitários, entre outras";"55000 - Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome";"Secretaria Nacional de Segurança Alimentar e Nutricional (Sesan/MDS)";"Sim";01/01/2024;31/12/2027;1.988.200.000,00;1.305.102,00;219.000,00;"";
2025;"1144";"1255";"0187";"0373";"Cooperativismo e Associativismo rural e agroindustrial fortalecido";"Inserido no âmbito do Programa Agro Mais Cooperativo que objetiva apoiar o cooperativismo e associativismo rural brasileiro, por meio da oferta de ações de assistência técnica, agregação de valor, produção e comercialização nos mercados nacionais e internacionais, organização social, intercooperação e formação técnica, entre outros. Com a entrega, pretende-se fortalecer as cooperativas do ramo agropecuário, compreendendo o aperfeiçoamento por meio da assistência técnica e dos processos de industrialização e comercialização da produção dos cooperados de forma sustentável, gerando referências de credibilidade e segurança não somente para os seus cooperados, mas também para todos que realizam negócios com o cooperativismo.";"22000 - Ministério da Agricultura e Pecuária";"DEPARTAMENTO DE DESENVOLVIMENTO DE CADEIAS PRODUTIVAS E INDICAÇÕES GEOGRÁFICAS";"Não";;;;;;"";
2025;"1144";"1255";"0187";"0371";"Produtos Agropecuários detentores de signos distintivos de agregação de valor";"Quantitativo de certificados, selos ou reconhecimentos concedidos a entes demandantes nos programas de agregação de valor: Selo Arte, Indicação Geográfica, Produção Integrada, Boas Práticas Agrícolas.";"22000 - Ministério da Agricultura e Pecuária";"Secretaria de Inovação, Desenvolvimento Sustentável, Irrigação e Cooperativismo";"Não";;;;;;"";
2025;"1144";"1255";"0187";"0372";"Assistência técnica e extensão rural para transferência de tecnologias sustentáveis e agregação de valor";"Os processos de transferência e difusão de tecnologias são fundamentais na adoção, pelos produtores, de tecnologias inovadoras e sustentáveis e que agregam valor ao produto. Na prática, os agentes de Assistência Técnica e Extensão Rural (SENAR, Empresas de ATER, Prefeituras, Consórcios Municipais, Cooperativas, Associações) são os principais atores nesses processos, proporcionando suporte técnico, capacitação e orientação personalizada aos agricultores. Entretanto, apesar de sua reconhecida importância, os dados dos dois últimos Censos Agropecuários (2006 e 2017) indicam estabilidade na cobertura por assistência técnica em cerca de 20% dos estabelecimentos rurais brasileiros, nos dois períodos. Dos 1.025,4 mil estabelecimentos que receberam ATER, de acordo com o Censo 2017, 69,1% (708,3 mil) são de agricultura familiar. A distribuição por grande região indica que representam 8,8% dos estabelecimentos do Norte (42,5 mil), 7,3% do Nordeste (134,8 mil), 24,5% do Sudeste (169,0 mil), 48,9% do Sul (325,4 mil) e 18,2% do Centro-Oeste (36,7 mil). Estes dados evidenciam a baixa cobertura da prestação de serviços de ATER para a AF sobretudo nas regiões Norte e Nordeste. O fortalecimento da ATER é crucial para o desenvolvimento de cadeias produtivas sustentáveis.";"22000 - Ministério da Agricultura e Pecuária";"Secretaria de Inovação, Desenvolvimento Sustentável, Irrigação e Cooperativismo";"Não";;;;;;"";
2025;"6113";"1276";"0099";"1985";"Áreas da plataforma rasa mapeadas em alta resolução";"Mapeamento da Plataforma Rasa usando técnicas de sensoriamento remoto (ex: LiDAR) para gerar mapas das áreas subsidiando informações para o uso compartilhado do espaço marinho e costeiro. Os resultados serão sobrepostos aos dados de levantamentos geológicos, geofísicos e oceanográficos.";"32000 - Ministério de Minas e Energia";"Companhia de Pesquisa de Recursos Minerais";"Não";;;;;;"Não";
2025;"6113";"1276";"0099";"2090";"Disponibilização dos dados geoespaciais das cessões de uso dos espaços físicos em área da União no mar territorial na Infraestrutura Nacional de Dados Espaciais (INDE)";"Disponibilizar, na Infraestrutura Nacional de Dados Espaciais (INDE), uma vez por ano, base de dados geográficas, contendo as poligonais das cessões de uso dos espaços físicos em área da União no mar territorial.";"46000 - Ministério da Gestão e da Inovação em Serviços Públicos";"Secretaria do Patrimônio da União (SPU)";"Não";;;;;;"";
2025;"6113";"1276";"0099";"2104";"Municípios capacitados, em gestão patrimonial, no Projeto Orla.";"Fomentar, por meio da capacitação em gestão patrimonial, a elaboração dos Planos de Gestão Integrada (PGI) pelos municípios na orla marítima, bem como acompanhar a sua execução.";"46000 - Ministério da Gestão e da Inovação em Serviços Públicos";"Secretaria do Patrimônio da União (SPU)";"Não";;;;;;"";
2025;"6113";"1276";"0099";"0193";"Planejamento Espacial Marinho Brasileiro (PEM) elaborado.";"O PEM é um instrumento público, multissetorial, de cunho operacional e jurídico, indispensável para garantir a governança e a soberania da Amazônia Azul, o uso compartilhado, eficiente, harmônico e sustentável de suas riquezas, e promover a geração de divisas e de empregos para o Brasil, afiançando a necessária segurança jurídica aos investidores nacionais e internacionais atinente às atividades econômicas desenvolvidas nesse extenso ambiente marinho e costeiro, respeitada a salvaguarda de interesses estratégicos e de Defesa Nacional.";"52000 - Ministério da Defesa";"SECRETARIA DA COMISSÃO INTERMINISTERIAL PARA OS RECURSOS DO MAR - SECIRM";"Não";;;;;;"";
2025;"1144";"1255";"0175";"0331";"Ampliar a sustentabilidade ambiental e da produção agropecuária.";"Promover a conformidade da produção agropecuária com as legislações nacionais e a verificação da aplicação de boas práticas agrícolas, possibilitando a rastreabilidade e a certificação de toda a cadeia produtiva.";"22000 - Ministério da Agricultura e Pecuária";"Secretaria de Inovação, Desenvolvimento Sustentável, Irrigação e Cooperativismo";"Não";;;;;;"";
2025;"1144";"1255";"0175";"0342";"Levantamento e mapeamento dos solos das principais regiões de importância agrícola do Brasil.";"Serão feitos levantamentos de solo, bem como elaborados os respectivos mapas nas escalas de 1:100.000 e maiores, contendo todas as informações de solo conforme metodologia própria. Os mapas e as informações de solo serão disponibilizados à sociedade por meio da publicação em plataforma desenvolvida para essa finalidade.";"22000 - Ministério da Agricultura e Pecuária";"Secretaria de Inovação, Desenvolvimento Sustentável, Irrigação e Cooperativismo";"Não";;;;;;"";
2025;"1144";"1255";"0175";"0348";"Aumento Sustentável da Produção de Cacau, nos diferentes biomas via serviços e ativos de difusão de tecnologia";"O aumento da produção sustentável de Cacau, nos diferentes biomas com foco em SAF, se dará via capacitação dos produtores e elos da cadeia e contemplará: produtividade, qualidade e agregação de valor aos produtos da cadeia com incorporação e recuperação de área degradada-SAF-Cacau e soluções técnicas de ativos de DIFUSÃO de tecnologias e ATER entre 2024/2027.";"22000 - Ministério da Agricultura e Pecuária";"Comissão Executiva do Plano da Lavoura Cacaueira";"Não";;;;;;"Sim";
2025;"5112";"1302";"0184";"0350";"Apoio a iniciativas voltadas à valorização e formação dos Profissionais da Educação Profissional e Tecnológica.";"Apoio a iniciativas voltadas à valorização e formação dos Profissionais da Educação Profissional e Tecnológica.";"26000 - Ministério da Educação";"SETEC/MEC";"Não";;;;;;"";
2025;"5112";"1302";"0184";"0351";"Ampliação do número de matrículas em cursos superiores de tecnologia no País.";"Ampliação do número de matrículas em cursos superiores de tecnologia no País.";"26000 - Ministério da Educação";"SETEC/MEC";"Não";;;;;;"";
2025;"5112";"1302";"0184";"0355";"Ampliação do número de reconhecimento e certificações de saberes e experiências profissionais aos trabalhadores.";"Ampliação do número de reconhecimento e certificações de saberes e experiências profissionais aos trabalhadores.";"26000 - Ministério da Educação";"SETEC/MEC";"Não";;;;;;"";
2025;"5112";"1302";"0184";"1151";"Apoio a melhoria da sustentabilidade e adaptabilidade ambiental com uso de tecnologias ambientais para eficiência energética, otimização de recursos naturais e outras técnicas que contribuam para a mitigação e adaptação das mudanças do clima.";"Apoio a melhoria da sustentabilidade e adaptabilidade ambiental com uso de tecnologias ambientais para eficiência energética, otimização de recursos naturais e outras técnicas que contribuam para a mitigação e adaptação das mudanças do clima.";"26000 - Ministério da Educação";"SETEC/MEC";"Não";;;;;;"";
2025;"5111";"1281";"0449";"1453";"Apoio à profissionalização e formação inicial de professores profissionais da educação básica no âmbito da Educação do campo";"Apoio à profissionalização e formação inicial de professores profissionais da educação básica no âmbito da Educação do campo";"26000 - Ministério da Educação";"SECADI/MEC";"Não";;;;;;"";
2025;"5111";"1281";"0449";"1454";"Apoio à profissionalização e formação continuada de professores e profissionais da educação básica no âmbito da Educação do campo";"Apoio à profissionalização e formação continuada de professores e profissionais da educação básica no âmbito da Educação do campo";"26000 - Ministério da Educação";"SECADI/MEC";"Não";;;;;;"";
2025;"5111";"1281";"0449";"1455";"Apoio à melhoria da infraestrutura física, tecnológica e pedagógica das escolas do campo";"Apoio à melhoria da infraestrutura física, tecnológica e pedagógica das escolas do campo";"26000 - Ministério da Educação";"SECADI/MEC";"Não";;;;;;"";
2025;"2224";"1279";"0101";"0512";"Relatórios de monitoramento das Agendas Transversais";"Serão feitos relatórias anuais sobre as agendas transversais marcadas no PPA";"47000 - Ministério do Planejamento e Orçamento";"SEPLAN";"Não";;;;;;"";
2025;"5111";"1281";"0463";"1579";"Apoio técnico aos estados e ao Distrito Federal para estruturação ou revisão dos Planos de Carreira e Remuneração (PCRs) para os profissionais do magistério público da educação básica";"Apoio técnico aos estados e ao Distrito Federal para estruturação ou revisão dos Planos de Carreira e Remuneração (PCRs) para os profissionais do magistério público da educação básica";"26000 - Ministério da Educação";"SASE/MEC";"Não";;;;;;"";
2025;"5111";"1281";"0463";"1575";"Apoio técnico aos municípios para estruturação ou revisão dos Planos de Carreira e Remuneração (PCRs) para os profissionais do magistério público da educação básica";"Apoio técnico aos municípios para estruturação ou revisão dos Planos de Carreira e Remuneração (PCRs) para os profissionais do magistério público da educação básica";"26000 - Ministério da Educação";"SASE/MEC";"Não";;;;;;"";
2025;"5111";"1281";"0466";"1597";"Produção e divulgação de informações estatísticas sobre a Educação Básica brasileira";"Produção e divulgação de informações estatísticas sobre a Educação Básica brasileira";"26000 - Ministério da Educação";"INEP/MEC";"Não";;;;;;"";
2025;"5111";"1281";"0466";"1594";"Realização de avaliações da educação básica, inclusive participar das avaliações internacionais";"Realização de avaliações da educação básica, inclusive participar das avaliações internacionais";"26000 - Ministério da Educação";"INEP/MEC";"Não";;;;;;"";
2025;"5111";"1281";"0466";"1595";"Realização de exames educacionais da Educação Básica";"Realização de exames educacionais da Educação Básica";"26000 - Ministério da Educação";"INEP";"Não";;;;;;"";
2025;"5120";"1339";"0491";"1686";"Iniciativas de disseminação de evidências em saúde realizadas.";"Ações de tradução e disseminação do conhecimento realizadas para facilitar a compreensão e entendimento do gestor e da população brasileira em relação à sinteses de evidencias realizadas pelo Ministério da Saúde. Essa entrega terá como diretriz metodológica o guia recém-publicado pelo Ministério da Saúde: https://bvsms.saude.gov.br/bvs/publicacoes/diretriz_sintese_evidencias_politicas.pdf";"36000 - Ministério da Saúde";"DECIT/SECTICS/MS";"Não";;;;;;"Não";
2025;"5120";"1339";"0491";"1684";"Pesquisas avaliativas de politicas, programas e projetos de saúde ofertados para apoiar a tomada de decisão no SUS.";"Realização de pesquisas de avaliação ex post e ex ante de políticas, programs, projetos e ações de saúde à luz dos Guias Metodológicos publicados pela Presidência da República: https://www.gov.br/casacivil/pt-br/assuntos/downloads/guiaexpost.pdf/view e https://www.gov.br/casacivil/pt-br/assuntos/downloads/153743_analise-ex-ante_web_novo.pdf/view.";"36000 - Ministério da Saúde";"DECIT/SECTICS/MS";"Não";;;;;;"Não";
2025;"5120";"1339";"0493";"1705";"Estabelecimentos de saúde gerando informações de custos no sistema APURASUS.";"O Sistema de Apuração e Gestão de Custos do SUS (APURASUS) auxilia no processo de gestão de custos em unidades de saúde no âmbito do Sistema Único de Saúde. O sistema se adapta às caracteristícas do estabelecimento para facilitar a sua alimentação de forma estruturada e organizada. Com isso, torna-se uma potente ferramenta para uma melhor tomada de decisão.";"36000 - Ministério da Saúde";"DESID/SECTICS/MS";"Não";;;;;;"Não";
2025;"5120";"1339";"0493";"1706";"Estudos elaborados na área de economia da saúde para a tomada de decisão pelos gestores do SUS";"A entrega contemplaria: estudos em economia da saúde, análises de projetos de lei via Formulário de Posicionamento sobre Proposição Legislativa, pareceres técnicos, os TCC dos curso patrocinados pelo DESID, e notas técnicas.";"36000 - Ministério da Saúde";"DESID/SECTICS/MS";"Não";;;;;;"Não";
2025;"5120";"1339";"0496";"1718";"Infraestrutura para pesquisa fortalecida com utilização monitorada e compartilhada de equipamentos, em espaços físicos adequados, com técnicos e pesquisadores capacitados e tecnologia atualizada para atender de forma efetiva à comunidade científica nacional, oferecendo acessibilidade, qualidade, rastreabilidade além da adequação às normas de Biossegurança e Bioproteção (BB).";"Ampliar a prestação de serviços para instituições de ensino e pesquisas, além de empresas pública e privadas com interação mais dinâmica com o CEIS, a partir da melhoria de interação com usuários e o fortalecimento do processo de implementação da gestão da qualidade nas plataformas tecnológicas dando suporte a estudos clínicos voltados para o desenvolvimento tecnológico de produtos para o SUS conduzidos na Fiocruz, inclusive regionais e parceiros externos, em consonancia às normas de biossegurança e bioproteção.";"36000 - Ministério da Saúde";"Fundação Oswaldo Cruz - Fiocruz";"Não";;;;;;"Não";
2025;"2324";"1311";"0209";"2801";"Aumento do número de ICTs com Política de Inovação implementada";"O art. 15-A, da Lei nº 13.243/2016, que altera a Lei nº 10.973/2004, estabelece que a ICT de direito público deverá instituir a sua política de inovação, dispondo sobre a organização e a gestão de processos que orientarão a transferência de tecnologia e a geração de inovação no ambiente produtivo, em consonância com as prioridades da política nacional de CTI e com a política industrial e tecnológica nacional.";"24000 - Ministério da Ciência, Tecnologia e Inovação";"MCTI/SETEC";"Não";;;;;;"";
