Exercício;"Código Agenda";"Programa";"Objetivo";"Objetivo Específico";"Entrega";"Indicador";"Meta da Entrega";"Público";"Unidade de Medida";"Valor esperado - 1º ano PPA";"Valor esperado - 2º ano PPA";"Valor esperado - 3º ano PPA";"Meta Final PPA";
2025;166;"1191";"1328";"0328";"0905";10380;"05GE";"Jovem";"unidade";400,00;600,00;600,00;200,00;
2025;166;"1191";"1328";"0328";"0905";10380;"05GE";"Mulheres";"unidade";600,00;900,00;900,00;300,00;
2025;166;"1191";"1328";"0328";"0905";10380;"05GE";"Povos e Comunidades Tradicionais";"unidade";2.000,00;3.000,00;3.000,00;1.000,00;
2025;166;"1191";"1328";"0330";"0907";10544;"05I5";"Mulheres";;23.400,00;3.660,00;48.660,00;72.000,00;
2025;166;"5838";"1340";"0516";"1947";11267;"07AS";"Indígenas";"unidade";5,00;3,00;6,00;10,00;
2025;166;"5838";"1340";"0516";"1949";11269;"07AU";"Indígenas";"unidade";40,00;50,00;60,00;80,00;
2025;166;"5838";"1340";"0516";"1955";11275;"06YJ";"Indígenas";"unidade";4,00;8,00;12,00;16,00;
2025;166;"5838";"1340";"0516";"1957";11277;"06Y5";"Indígenas";"unidade";20,00;40,00;60,00;80,00;
2025;166;"5838";"1340";"0516";"1958";11278;"06Y2";"Indígenas";"unidade";2,00;4,00;6,00;8,00;
2025;166;"5838";"1340";"0517";"1964";11285;"07GN";"Indígenas";"unidade";9,00;19,00;30,00;40,00;
2025;166;"5838";"1340";"0517";"1964";11285;"07GN";"Jovem";"unidade";2,00;5,00;8,00;11,00;
2025;166;"5838";"1340";"0517";"1964";11285;"07GN";"Mulheres";"unidade";5,00;10,00;15,00;20,00;
2025;166;"5838";"1340";"0517";"1965";11286;"07GO";"Indígenas";"unidade";5,00;10,00;15,00;20,00;
2025;166;"5838";"1340";"0517";"1966";11287;"07AX";"Indígenas";"unidade";5,00;7,00;21,00;36,00;
2025;166;"5838";"1340";"0518";"1971";11292;"07AZ";"Indígenas";"unidade";20,00;3,00;6,00;9,00;
2025;166;"5838";"1340";"0518";"1972";11293;"07B0";"Povos e Comunidades Tradicionais";"unidade";25,00;5,00;10,00;15,00;
2025;166;"5838";"1340";"0518";"1973";11294;"07B1";"Indígenas";"unidade";10,00;20,00;25,00;30,00;
2025;166;"5838";"1340";"0518";"1973";11294;"07B1";"Mulheres";"unidade";10,00;20,00;25,00;30,00;
2025;166;"5838";"1340";"0518";"1974";11295;"07GZ";"Indígenas";"unidade";80,00;160,00;240,00;320,00;
2025;166;"5838";"1340";"0518";"1975";11296;"07H0";"Indígenas";"unidade";200,00;350,00;500,00;650,00;
2025;166;"5838";"1340";"0518";"1976";11297;"07H1";"Indígenas";"unidade";15,00;45,00;60,00;75,00;
2025;166;"5838";"1340";"0518";"1977";11298;"07H5";"Indígenas";"unidade";15,00;50,00;65,00;80,00;
2025;166;"5838";"1340";"0518";"1978";11299;"07F4";"Indígenas";"unidade";10.000,00;40.000,00;50.000,00;60.000,00;
2025;166;"5838";"1340";"0518";"1979";11300;"07F8";"Indígenas";"unidade";20,00;75,00;130,00;185,00;
2025;166;"5838";"1340";"0518";"1980";11301;"07FD";"Indígenas";"unidade";2,00;4,00;6,00;8,00;
2025;166;"5838";"1340";"0518";"1981";11302;"07FE";"Indígenas";"unidade";200,00;400,00;600,00;800,00;
2025;166;"5838";"1340";"0519";"1982";11304;"07GL";"Indígenas";"unidade";5,00;12,00;20,00;30,00;
2025;166;"5838";"1340";"0519";"1984";11305;"07GJ";"Indígenas";"unidade";3,00;6,00;9,00;12,00;
2025;166;"5838";"1340";"0519";"2101";11457;"07GK";"Indígenas";"unidade";20,00;20,00;30,00;40,00;
2025;166;"5838";"1340";"0519";"2830";12197;"07GM";"Indígenas";"unidade";5,00;10,00;15,00;20,00;
2025;173;"5838";"1340";"0518";"1971";11292;"07AZ";"Indígenas";"unidade";20,00;3,00;6,00;9,00;
2025;173;"5838";"1340";"0518";"1972";11293;"07B0";"Povos e Comunidades Tradicionais";"unidade";25,00;5,00;10,00;15,00;
2025;173;"5838";"1340";"0518";"1973";11294;"07B1";"Mulheres";"unidade";10,00;20,00;25,00;30,00;
2025;173;"5838";"1340";"0518";"1973";11294;"07B1";"Indígenas";"unidade";10,00;20,00;25,00;30,00;
2025;173;"5838";"1340";"0518";"1974";11295;"07GZ";"Indígenas";"unidade";80,00;160,00;240,00;320,00;
2025;173;"5838";"1340";"0518";"1975";11296;"07H0";"Indígenas";"unidade";200,00;350,00;500,00;650,00;
2025;173;"5838";"1340";"0518";"1976";11297;"07H1";"Indígenas";"unidade";15,00;45,00;60,00;75,00;
2025;173;"5838";"1340";"0518";"1977";11298;"07H5";"Indígenas";"unidade";15,00;50,00;65,00;80,00;
2025;173;"5838";"1340";"0518";"1978";11299;"07F4";"Indígenas";"unidade";10.000,00;40.000,00;50.000,00;60.000,00;
2025;173;"5838";"1340";"0518";"1979";11300;"07F8";"Indígenas";"unidade";20,00;75,00;130,00;185,00;
2025;173;"5838";"1340";"0518";"1980";11301;"07FD";"Indígenas";"unidade";2,00;4,00;6,00;8,00;
2025;173;"5838";"1340";"0518";"1981";11302;"07FE";"Indígenas";"unidade";200,00;400,00;600,00;800,00;
2025;174;"2301";"1267";"0286";"2091";11442;"067V";"Mulheres";"%";5,00;5,00;5,00;5,00;
2025;174;"2301";"1267";"0286";"2091";11442;"067V";"População Negra";"%";5,00;5,00;5,00;5,00;
2025;174;"2301";"1267";"0286";"2105";11449;"0680";"Mulheres";"%";5,00;5,00;5,00;5,00;
2025;174;"2301";"1267";"0286";"2105";11449;"0680";"População Negra";"%";5,00;5,00;5,00;5,00;
2025;174;"5662";"1268";"0026";"0032";10333;"06D8";"Indígenas";"unidade";4,00;4,00;4,00;4,00;
2025;174;"5662";"1268";"0026";"0032";10333;"06D8";"População Negra";"unidade";24,00;24,00;24,00;24,00;
2025;174;"5662";"1268";"0026";"0032";10333;"06D8";"Povos e Comunidades Tradicionais";"unidade";2,00;2,00;2,00;8,00;
2025;174;"5662";"1268";"0026";"0032";10333;"06D8";"Quilombolas";"unidade";2,00;2,00;7,00;8,00;
2025;174;"5662";"1268";"0026";"0116";10327;"06D9";"População Negra";"unidade";1,00;0,00;1,00;2,00;
2025;174;"5662";"1268";"0026";"0166";10337;"06DD";"Mulheres";"unidade";2,00;2,00;2,00;9,00;
2025;174;"5662";"1268";"0026";"0166";10337;"06DD";"População Negra";"unidade";1,00;1,00;1,00;1,00;
2025;174;"5662";"1268";"0027";"0178";10392;"06NZ";"População Negra";"%";5,00;10,00;10,00;60,00;
2025;174;"5662";"1268";"0027";"0181";10401;"06TW";"População Negra";"%";60,00;60,00;60,00;60,00;
2025;174;"5662";"1268";"0027";"0182";10403;"06UV";"Indígenas";"unidade";1,00;1,00;1,00;4,00;
2025;174;"5662";"1268";"0027";"1330";10415;"06RX";"Mulheres";"unidade";24,00;36,00;48,00;60,00;
2025;175;"5126";"1337";"0431";"1360";10470;"06UE";"Mulheres";;150,00;68,00;68,00;68,00;
2025;175;"5126";"1337";"0431";"1363";10472;"06YB";"Mulheres";;150,00;68,00;68,00;68,00;
2025;175;"5126";"1337";"0431";"1369";10479;"06YX";"Mulheres";;7.500,00;1.560,00;1.560,00;1.560,00;
2025;175;"5126";"1337";"0455";"1469";10618;"06V4";"Pessoa com Deficiência";;50.000,00;10,00;10,00;10,00;
2025;175;"5811";"1315";"0202";"0829";9782;"05UD";"Pessoa com Deficiência";"%";100,00;100,00;100,00;;
2025;175;"5811";"1315";"0202";"0838";9795;"05U7";"Pessoa com Deficiência";"%";100,00;100,00;100,00;;
2025;175;"5811";"1315";"0202";"0847";9803;"05U4";"Pessoa com Deficiência";"unidade";20,00;40,00;60,00;80,00;
2025;175;"5838";"1340";"0516";"1947";11267;"07AS";"Indígenas";"unidade";5,00;3,00;6,00;10,00;
2025;175;"5838";"1340";"0516";"1949";11269;"07AU";"Indígenas";"unidade";40,00;50,00;60,00;80,00;
2025;175;"5838";"1340";"0516";"1955";11275;"06YJ";"Indígenas";"unidade";4,00;8,00;12,00;16,00;
2025;175;"5838";"1340";"0516";"1957";11277;"06Y5";"Indígenas";"unidade";20,00;40,00;60,00;80,00;
2025;175;"5838";"1340";"0516";"1958";11278;"06Y2";"Indígenas";"unidade";2,00;4,00;6,00;8,00;
2025;175;"5838";"1340";"0517";"1964";11285;"07GN";"Jovem";"unidade";2,00;5,00;8,00;11,00;
2025;175;"5838";"1340";"0517";"1964";11285;"07GN";"Mulheres";"unidade";5,00;10,00;15,00;20,00;
2025;175;"5838";"1340";"0517";"1964";11285;"07GN";"Indígenas";"unidade";9,00;19,00;30,00;40,00;
2025;175;"5838";"1340";"0517";"1965";11286;"07GO";"Indígenas";"unidade";5,00;10,00;15,00;20,00;
2025;175;"5838";"1340";"0517";"1966";11287;"07AX";"Indígenas";"unidade";5,00;7,00;21,00;36,00;
2025;175;"5838";"1340";"0518";"1971";11292;"07AZ";"Indígenas";"unidade";20,00;3,00;6,00;9,00;
2025;175;"5838";"1340";"0518";"1972";11293;"07B0";"Povos e Comunidades Tradicionais";"unidade";25,00;5,00;10,00;15,00;
2025;175;"5838";"1340";"0518";"1973";11294;"07B1";"Mulheres";"unidade";10,00;20,00;25,00;30,00;
2025;175;"5838";"1340";"0518";"1973";11294;"07B1";"Indígenas";"unidade";10,00;20,00;25,00;30,00;
2025;175;"5838";"1340";"0518";"1974";11295;"07GZ";"Indígenas";"unidade";80,00;160,00;240,00;320,00;
2025;175;"5838";"1340";"0518";"1975";11296;"07H0";"Indígenas";"unidade";200,00;350,00;500,00;650,00;
2025;175;"5838";"1340";"0518";"1976";11297;"07H1";"Indígenas";"unidade";15,00;45,00;60,00;75,00;
2025;175;"5838";"1340";"0518";"1977";11298;"07H5";"Indígenas";"unidade";15,00;50,00;65,00;80,00;
2025;175;"5838";"1340";"0518";"1978";11299;"07F4";"Indígenas";"unidade";10.000,00;40.000,00;50.000,00;60.000,00;
2025;175;"5838";"1340";"0518";"1979";11300;"07F8";"Indígenas";"unidade";20,00;75,00;130,00;185,00;
2025;175;"5838";"1340";"0518";"1980";11301;"07FD";"Indígenas";"unidade";2,00;4,00;6,00;8,00;
2025;175;"5838";"1340";"0518";"1981";11302;"07FE";"Indígenas";"unidade";200,00;400,00;600,00;800,00;
2025;175;"5838";"1340";"0519";"1982";11304;"07GL";"Indígenas";"unidade";5,00;12,00;20,00;30,00;
2025;175;"5838";"1340";"0519";"1984";11305;"07GJ";"Indígenas";"unidade";3,00;6,00;9,00;12,00;
2025;175;"5838";"1340";"0519";"2101";11457;"07GK";"Indígenas";"unidade";20,00;20,00;30,00;40,00;
2025;175;"5838";"1340";"0519";"2830";12197;"07GM";"Indígenas";"unidade";5,00;10,00;15,00;20,00;
2025;180;"2316";"1326";"0316";"1619";10839;"05J8";"Mulheres";;500,00;150,00;150,00;150,00;
2025;183;"2316";"1326";"0316";"1619";10839;"05J8";"Mulheres";;500,00;150,00;150,00;150,00;
2025;190;"2316";"1326";"0316";"1619";10839;"05J8";"Mulheres";;500,00;150,00;150,00;150,00;
2025;193;"2323";"1330";"0366";"0805";9749;"05AI";"Pessoa com Deficiência";"unidade";;1,00;0,00;0,00;
2025;193;"5126";"1337";"0455";"1469";10618;"06V4";"Pessoa com Deficiência";;50.000,00;10,00;10,00;10,00;
2025;193;"5811";"1315";"0202";"0829";9782;"05UD";"Pessoa com Deficiência";"%";100,00;100,00;100,00;;
2025;193;"5811";"1315";"0202";"0838";9795;"05U7";"Pessoa com Deficiência";"%";100,00;100,00;100,00;;
2025;193;"5811";"1315";"0202";"0847";9803;"05U4";"Pessoa com Deficiência";"unidade";20,00;40,00;60,00;80,00;
2025;194;"2310";"1253";"0143";"1644";10852;"05JJ";"Mulheres";"unidade";750,00;1.000,00;1.250,00;1.250,00;
2025;194;"2310";"1253";"0143";"1644";10852;"05JJ";"População Negra";"unidade";450,00;600,00;750,00;750,00;
2025;194;"4006";"1338";"0477";"1784";11060;"05O3";"Mulheres";"unidade";1,00;1,00;1,00;1,00;
2025;194;"5126";"1337";"0410";"1209";10253;"06TT";"Criança e Adolescente";"pessoas/ano";31.500,00;33.100,00;34.700,00;36.500,00;
2025;194;"5126";"1337";"0410";"1210";10256;"06U1";"Criança e Adolescente";;50.400,00;52.920,00;55.566,00;58.343,00;
2025;194;"5126";"1337";"0410";"1210";10256;"06U1";"Jovem";;69.180,00;72.766,00;76.403,00;80.223,00;
2025;194;"5126";"1337";"0410";"1210";10256;"06U1";"Pessoa Idosa";;6.420,00;6.614,00;6.946,00;7.295,00;
2025;194;"5126";"1337";"0434";"1390";10507;"06ZL";"Homens";;22.500,00;7.334,00;7.334,00;7.334,00;
2025;194;"5126";"1337";"0434";"1390";10507;"06ZL";"Mulheres";;22.500,00;7.334,00;7.334,00;7.334,00;
2025;194;"5126";"1337";"0459";"1509";10679;"06VW";"Homens";;2,50;15,00;15,00;15,00;
2025;194;"5126";"1337";"0459";"1509";10679;"06VW";"Mulheres";;2,50;15,00;15,00;15,00;
2025;194;"5126";"1337";"0459";"1525";10707;"06W2";"Homens";;6.036,00;5.683,00;6.252,00;6.876,00;
2025;194;"5126";"1337";"0459";"1525";10707;"06W2";"Mulheres";;6.036,00;4.471,00;4.918,00;5.410,00;
2025;194;"5126";"1337";"0459";"1535";10712;"06W9";"Homens";"pessoas/ano";300,00;30,00;30,00;60,00;
2025;194;"5126";"1337";"0459";"1535";10712;"06W9";"Mulheres";"pessoas/ano";400,00;20,00;20,00;40,00;
2025;194;"5136";"1327";"0346";"1467";10614;"0692";"Jovem";"unidade";450,00;540,00;600,00;600,00;
2025;194;"5136";"1327";"0346";"1467";10614;"0692";"Mulheres";"unidade";375,00;450,00;500,00;500,00;
2025;194;"5636";"1296";"0329";"0968";9962;"05CM";"Mulheres";"unidade";6.000,00;900,00;900,00;900,00;
2025;194;"5661";"1289";"0060";"0077";10681;"0744";"Mulheres";"unidade";1,00;1,00;1,00;1,00;
2025;194;"5661";"1289";"0060";"0078";10700;"0746";"Mulheres";"unidade";500,00;500,00;500,00;500,00;
2025;194;"5661";"1289";"0060";"0164";10687;"0748";"Mulheres";"unidade";3,00;4,00;5,00;8,00;
2025;194;"5662";"1268";"0026";"0116";10327;"06D9";"População Negra";"unidade";1,00;0,00;1,00;2,00;
2025;194;"5662";"1268";"0026";"0166";10337;"06DD";"Mulheres";"unidade";2,00;2,00;2,00;9,00;
2025;194;"5662";"1268";"0026";"0166";10337;"06DD";"População Negra";"unidade";1,00;1,00;1,00;1,00;
2025;194;"5662";"1268";"0027";"0178";10392;"06NZ";"População Negra";"%";5,00;10,00;10,00;60,00;
2025;194;"5662";"1268";"0027";"0181";10401;"06TW";"População Negra";"%";60,00;60,00;60,00;60,00;
2025;194;"5663";"1291";"0063";"0091";10467;"06WS";"Mulheres";"unidade";30.000,00;30.000,00;30.000,00;10.000,00;
2025;194;"5663";"1291";"0063";"0091";10467;"06WS";"População Negra";"unidade";16.500,00;16.500,00;16.500,00;5.500,00;
2025;194;"5663";"1291";"0063";"0185";10482;"06X0";"Mulheres";"%";70,00;70,00;70,00;70,00;
2025;194;"5663";"1291";"0063";"0187";10485;"06X1";"Jovem";"%";20,00;20,00;20,00;20,00;
2025;194;"5663";"1291";"0063";"0187";10485;"06X1";"População Negra";"%";60,00;60,00;60,00;60,00;
2025;194;"5663";"1291";"0064";"2326";11691;"06XN";"População Negra";"%";60,00;60,00;60,00;60,00;
2025;194;"5816";"1313";"0191";"0656";9865;"06JJ";"LGBTQIA+";;4,00;6,00;7,00;14,00;
2025;194;"5816";"1313";"0191";"0656";9865;"06JJ";"Povos e Comunidades Tradicionais";;2,00;3,00;4,00;8,00;
2025;194;"5816";"1313";"0191";"0656";9865;"06JJ";"Quilombolas";;2,00;3,00;4,00;8,00;
2025;194;"5838";"1340";"0517";"1964";11285;"07GN";"Indígenas";"unidade";9,00;19,00;30,00;40,00;
2025;194;"5838";"1340";"0517";"1964";11285;"07GN";"Jovem";"unidade";2,00;5,00;8,00;11,00;
2025;194;"5838";"1340";"0517";"1964";11285;"07GN";"Mulheres";"unidade";5,00;10,00;15,00;20,00;
2025;194;"5838";"1340";"0518";"1971";11292;"07AZ";"Indígenas";"unidade";20,00;3,00;6,00;9,00;
2025;194;"5838";"1340";"0518";"1972";11293;"07B0";"Povos e Comunidades Tradicionais";"unidade";25,00;5,00;10,00;15,00;
2025;194;"5838";"1340";"0518";"1973";11294;"07B1";"Indígenas";"unidade";10,00;20,00;25,00;30,00;
2025;194;"5838";"1340";"0518";"1973";11294;"07B1";"Mulheres";"unidade";10,00;20,00;25,00;30,00;
2025;194;"5838";"1340";"0518";"1974";11295;"07GZ";"Indígenas";"unidade";80,00;160,00;240,00;320,00;
2025;194;"5838";"1340";"0518";"1975";11296;"07H0";"Indígenas";"unidade";200,00;350,00;500,00;650,00;
2025;194;"5838";"1340";"0518";"1976";11297;"07H1";"Indígenas";"unidade";15,00;45,00;60,00;75,00;
2025;194;"5838";"1340";"0518";"1977";11298;"07H5";"Indígenas";"unidade";15,00;50,00;65,00;80,00;
2025;194;"5838";"1340";"0518";"1978";11299;"07F4";"Indígenas";"unidade";10.000,00;40.000,00;50.000,00;60.000,00;
2025;194;"5838";"1340";"0518";"1979";11300;"07F8";"Indígenas";"unidade";20,00;75,00;130,00;185,00;
2025;194;"5838";"1340";"0518";"1980";11301;"07FD";"Indígenas";"unidade";2,00;4,00;6,00;8,00;
2025;194;"5838";"1340";"0518";"1981";11302;"07FE";"Indígenas";"unidade";200,00;400,00;600,00;800,00;
2025;194;"5838";"1340";"0519";"2101";11457;"07GK";"Indígenas";"unidade";20,00;20,00;30,00;40,00;
2025;195;"5126";"1337";"0410";"1210";10256;"06U1";"Criança e Adolescente";;50.400,00;52.920,00;55.566,00;58.343,00;
2025;195;"5126";"1337";"0410";"1210";10256;"06U1";"Jovem";;69.180,00;72.766,00;76.403,00;80.223,00;
2025;195;"5126";"1337";"0410";"1210";10256;"06U1";"Pessoa Idosa";;6.420,00;6.614,00;6.946,00;7.295,00;
2025;197;"1617";"1305";"0513";"1887";11208;"07E6";"Indígenas";"unidade";45,00;45,00;45,00;45,00;
2025;198;"1617";"1305";"0168";"1876";11184;"07BM";"Indígenas";"unidade";11,00;21,00;33,00;40,00;
2025;198;"1617";"1305";"0168";"1878";11191;"07BY";"Indígenas";"unidade";7,00;16,00;22,00;24,00;
2025;198;"1617";"1305";"0168";"1879";11188;"07DB";"Indígenas";"unidade";12,00;24,00;36,00;50,00;
2025;198;"1617";"1305";"0168";"1880";11186;"07DD";"Povos e Comunidades Tradicionais";"unidade";1,00;2,00;3,00;4,00;
2025;198;"1617";"1305";"0168";"1883";11192;"07DE";"Indígenas";"unidade";6,00;12,00;18,00;24,00;
2025;198;"1617";"1305";"0513";"1885";11196;"07E5";"Indígenas";"unidade";84,00;84,00;84,00;84,00;
2025;198;"1617";"1305";"0513";"1890";11212;"07E8";"Indígenas";"unidade";80,00;160,00;240,00;320,00;
2025;198;"1617";"1305";"0513";"1891";11213;"07E9";"Indígenas";"unidade";7,00;8,00;9,00;10,00;
2025;198;"1617";"1305";"0513";"1893";11214;"07GG";"Indígenas";"unidade";84,00;82,00;80,00;78,00;
2025;198;"1617";"1305";"0513";"1895";11215;"07GH";"Indígenas";"unidade";0,00;2,00;3,00;4,00;
2025;198;"1617";"1305";"0513";"1896";11218;"07G7";"Indígenas";"unidade";132,00;132,00;132,00;132,00;
2025;198;"1617";"1305";"0513";"1900";11220;"07GI";"Indígenas";"unidade";2,00;3,00;4,00;5,00;
2025;198;"1617";"1305";"0513";"1903";11210;"07G8";"Indígenas";"unidade";8,00;18,00;32,00;48,00;
2025;198;"1617";"1305";"0514";"1915";11229;"0797";"Indígenas";"unidade";10,00;20,00;30,00;40,00;
2025;198;"1617";"1305";"0514";"1916";11230;"0798";"Indígenas";"unidade";150,00;300,00;450,00;600,00;
2025;198;"1617";"1305";"0514";"1934";11248;"07A1";"Indígenas";"ha";50,00;100,00;150,00;200,00;
2025;198;"5136";"1327";"0344";"1168";10195;"05EO";"Quilombolas";"unidade";10,00;40,00;40,00;40,00;
2025;198;"5136";"1327";"0344";"1171";10198;"05ER";"Povos e Comunidades Tradicionais";"unidade";40,00;50,00;50,00;50,00;
2025;198;"5136";"1327";"0344";"1174";10203;"05EW";"Quilombolas";"unidade";40,00;50,00;50,00;50,00;
2025;198;"5136";"1327";"0344";"1179";10208;"05EY";"Quilombolas";"unidade";12.000,00;16.000,00;30.000,00;42.000,00;
2025;201;"1191";"1328";"0325";"0720";10187;"05EM";"Mulheres";"unidade";7.500,00;50.000,00;50.000,00;50.000,00;
2025;201;"1191";"1328";"0328";"0740";10325;"05GA";"Mulheres";"unidade";696,00;1.800,00;1.800,00;1.800,00;
2025;201;"1191";"1328";"0328";"0903";10343;"05GB";"Mulheres";"unidade";1.228,00;1.474,00;1.768,00;2.122,00;
2025;201;"1191";"1328";"0328";"0903";10343;"05GB";"Povos e Comunidades Tradicionais";"unidade";460,00;552,00;663,00;795,00;
2025;201;"1191";"1328";"0328";"0904";10355;"05GD";"Mulheres";"unidade";7.179,00;8.615,00;10.338,00;12.406,00;
2025;201;"1191";"1328";"0328";"0905";10380;"05GE";"Jovem";"unidade";400,00;600,00;600,00;200,00;
2025;201;"1191";"1328";"0328";"0905";10380;"05GE";"Mulheres";"unidade";600,00;900,00;900,00;300,00;
2025;201;"1191";"1328";"0328";"0905";10380;"05GE";"Povos e Comunidades Tradicionais";"unidade";2.000,00;3.000,00;3.000,00;1.000,00;
2025;201;"1191";"1328";"0330";"0907";10544;"05I5";"Mulheres";;23.400,00;3.660,00;48.660,00;72.000,00;
2025;201;"1617";"1305";"0514";"1917";11231;"0799";"Indígenas";"unidade";5,00;10,00;13,00;14,00;
2025;201;"1617";"1305";"0514";"1919";11233;"079A";"Indígenas";"unidade";2,00;50,00;100,00;150,00;
2025;201;"1617";"1305";"0514";"1920";11234;"079B";"Indígenas";"unidade";5,00;10,00;15,00;20,00;
2025;201;"1617";"1305";"0514";"1922";11236;"079C";"Indígenas";"unidade";100,00;100,00;150,00;200,00;
2025;201;"1617";"1305";"0514";"1923";11237;"079E";"Indígenas";"unidade";5,00;6,00;8,00;5,00;
2025;201;"1617";"1305";"0514";"1925";11239;"079I";"Indígenas";"unidade";9,00;10,00;11,00;12,00;
2025;201;"1617";"1305";"0514";"1926";11240;"079J";"Indígenas";"unidade";5,00;6,00;7,00;8,00;
2025;201;"1617";"1305";"0514";"1927";11241;"079L";"Indígenas";"unidade";5,00;7,00;8,00;12,00;
2025;201;"1617";"1305";"0514";"2106";11459;"079M";"Indígenas";"unidade";1,00;1,00;2,00;2,00;
2025;201;"5136";"1327";"0344";"1184";10215;"05F0";"Povos e Comunidades Tradicionais";"unidade";7,00;10,00;10,00;14,00;
2025;201;"5136";"1327";"0344";"1191";10222;"05F1";"Povos e Comunidades Tradicionais";"unidade";9.800,00;10.000,00;15.000,00;15.200,00;
2025;201;"5136";"1327";"0344";"1201";10237;"05F5";"Povos e Comunidades Tradicionais";"unidade";5,00;1.000,00;1.200,00;1.400,00;
2025;201;"5136";"1327";"0346";"1467";10614;"0692";"Jovem";"unidade";450,00;540,00;600,00;600,00;
2025;201;"5136";"1327";"0346";"1467";10614;"0692";"Mulheres";"unidade";375,00;450,00;500,00;500,00;
2025;201;"5636";"1296";"0329";"0968";9962;"05CM";"Mulheres";"unidade";6.000,00;900,00;900,00;900,00;
2025;201;"5636";"1296";"0339";"1039";10034;"05D1";"Mulheres";"unidade";443,00;532,00;638,00;766,00;
