"Exercício";"Programa";"Objetivo";"Objetivo Específico";"Indicador";"Denominação";"Sigla";"Índice de Referência";"Em Apuração";"Data de Apuração";"Unidade de Medida";"Descrição ";"Período ou Data a que se Refere";"Data de Divulgação/Disponibilização";"Periodicidade";"Polaridade";"Fórmula de Cálculo";"Variáveis de Cálculo";"Fonte de Dados das Variáveis de Cálculo";"Forma de Disponibilização";"Procedimento de Cálculo";"Limitações";"Notas Explicativas";
2025;"1144";"1255";"0175";9177;"Número de políticas públicas voltadas à promoção da sustentabilidade da produção agropecuária, implantadas ou revisadas";"SUSTENTABILIDADE";0,00;Não;01/01/2024;"Número de políticas públicas voltadas à promoção da sustentabilidade da produção agropecuária, implantadas ou revisadas";"Número de políticas públicas voltadas à promoção da sustentabilidade da produção agropecuária que foram implantadas ou revisadas no ano de referência. Essas políticas devem contemplar ações relacionadas a tecnologias sustentáveis (tecnologias verdes), preservação, conservação e recuperação de recursos naturais, bem como estímulo à produção agropecuária de baixa emissão de carbono.";"Janeiro a dezembro do ano a que se refere";"31 de dezembro";"Número de políticas públicas voltadas à promoção da sustentabilidade da produção agropecuária, implantadas ou revisadas";"Quanto maior melhor";;"X= Nº total de políticas revisadas e implantadas no ano Npi = Nº total de políticas públicas implantas no ano Npr = Nº total de políticas públicas revisadas no ano ";"Diário Oficial da União";"Publicação no sitio do MAPA";"Somatório direto do número de políticas públicas revisadas ou implantadas";;;
2025;"5112";"1302";"0184";9197;"Número de iniciativas, projetos, ações e programas apoiados";;6.125,00;Não;31/12/2022;"Número de iniciativas, projetos, ações e programas apoiados";"Número de iniciativas, projetos, ações e programas apoiados.";"Janeiro a dezembro do ano que se refere o indicador";;"Número de iniciativas, projetos, ações e programas apoiados";"Quanto maior melhor";;"A: Número de iniciativas/ projetos/ ações/ programas com o objetivo de qualificar a EPT (ensino, pesquisa, extensão e inovação).";"Rede Integra (plataforma digital), Simec ? TEDs e Sistec (cursos).";"Extração de relatórios gerados pelas plataformas digitais e sistemas.";"Soma de A A: Número de iniciativas/projetos/ações/programas com o objetivo de qualificar a EPT (ensino, pesquisa, extensão e inovação). ";;;
2025;"5111";"1281";"0449";10585;"Número total de matrículas de estudantes em escolas do campo da educação básica";;4.862.053,00;Não;31/12/2022;"Número total de matrículas de estudantes em escolas do campo da educação básica";"O indicador mensura o número total de matrículas de estudantes em escolas do campo da educação básica";"Maio de cada ano civil";"Março do ano seguinte";"Número total de matrículas de estudantes em escolas do campo da educação básica";"Quanto maior melhor";;"A: Número total de matrículas de estudantes em escolas do campo (Localização: Rural) da Educação Básica.";"Censo Escolar (inep/MEC)";"https://www.gov.br/inep/pt-br/areas-de-atuacao/pesquisas-estatisticas-e-indicadores/censo-escolar/resultados";"Soma das matrículas de estudantes em escolas do campo da educação básica.";;;
2025;"2224";"1279";"0101";9386;"Média dos percentuais de atributos marcados na PPA";"MPAPPA";0,00;Não;31/12/2022;"Média dos percentuais de atributos marcados na PPA";"A adequada marcação dos atributos que integram as agendas transversais permite ampliar a transparência das ações de governo e melhorar a integração entre as políticas públicas.";"2023";"60 dias após o fim do ano a que se refere o indicador";"Média dos percentuais de atributos marcados na PPA";"Quanto maior melhor";;"Número total de atributos e número de atributos marcado";"SIOP";"a: https://www.gov.br/planejamento/pt-br/assuntos/plano-plurianual-ppa (PPA 2024-2027).";"Contagem do total de atributos marcados e do total de atributos";"Exceções e cuidados no uso do Indicador, por exemplo, quantidade de casas decimais.";"Texto orientativo para uso do Indicador";
2025;"5111";"1281";"0463";10705;"Relação percentual entre o rendimento bruto médio mensal dos profissionais do magistério das redes públicas da educação básica, com nível superior completo, e o rendimento bruto médio mensal dos demai";;82,60;Não;31/12/2022;"Relação percentual entre o rendimento bruto médio mensal dos profissionais do magistério das redes públicas da educação básica, com nível superior completo, e o rendimento bruto médio mensal dos demai";"O indicador representa a razão (expressa como um percentual, ou seja, uma fração de 100) entre o rendimento bruto médio mensal dos profissionais do magistério das redes públicas de educação básica com nível de instrução superior completo e o rendimento bruto médio mensal dos demais profissionais com algum vínculo empregatício e com mesmo nível de instrução. O indicador pode variar de 0% a valores superiores a 100%. O percentual de 100% expressa que a média salarial mensal dos profissionais do magistério e dos demais profissionais é equivalente (Fonte: Inep, 2020, p. 540, disponível em <https://download.inep.gov.br/publicacoes/institucionais/plano_nacional_de_educacao/relatorio_do_quarto_ciclo_de_monitoramento_das_metas_do_plano_nacional_de_educacao.pdf>) O indicador proposto é atualmente utilizado para aferir a Meta 17 do PNE 2014-2024, sendo a melhor fonte hoje disponível para verificação da evolução da a valorização dos profissionais do magistério público da educação. ";"Janeiro a dezembro";"Mês de junho";"Relação percentual entre o rendimento bruto médio mensal dos profissionais do magistério das redes públicas da educação básica, com nível superior completo, e o rendimento bruto médio mensal dos demai";"Quanto maior melhor";;"A: Rendimento bruto médio mensal dos profissionais do magistério das redes públicas de educação básica, com nível de instrução superior completo B: Rendimento bruto médio mensal dos demais profissionais assalariados, com nível de instrução superior completo ";"Indicador é apurado anualmente pelo Inep de acordo com os dados da PNAD contínua e publicado no Painel de Monitoramento do PNE e no Relatórios de Monitoramento do PNE 2014-2024. PNAD contínua (IBGE)";"Relatório de Monitoramento do PNE (https://www.gov.br/inep/pt-br/areas-de-atuacao/gestao-do-conhecimento-e-estudos-educacionais/estudos-educacionais/relatorios-de-monitoramento-do-pne) Painel de Monitoramento do PNE (https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/inep-data/painel-de-monitoramento-do-pne) ";"O procedimento de cálculo se encontra descrito na Ficha Técnica do indicador 17A da meta 17 do PNE 2014-2024 (Inep 2022, p. 539-542). Disponível em: https://download.inep.gov.br/publicacoes/institucionais/plano_nacional_de_educacao/relatorio_do_quarto_ciclo_de_monitoramento_das_metas_do_plano_nacional_de_educacao.pdf";"O indicador pode variar positivamente ou negativamente a depender do que ocorre com a massa salarial dos profissionais da educação e com a massa salarial dos demais profissionais de ensino superior. Desse modo, a elevação do indicador pode decorrer da redução da massa salarial dos demais profissionais de nível superior, não necessariamente representando ganho na massa salarial dos profissionais do magistério.";"Recomenda-se que o indicador seja cotejado com as curvas do rendimento bruto médio mensal dos profissionais da educação e dos demais profissionais de nível superior. O MEC manifesta-se pela manutenção do OE e suas entregas relacionadas (apoio técnico aos municípios e aos estados para estruturação ou revisão dos PCRs), Já há MIN cadastrada que colabora com o OE: 'Aperfeiçoamento da Lei nº 11.738...' Sugestão de nova redação do OE: 'Apoiar os entes federados na estruturação ou revisão de planos de carreira e remuneração, principalmente no que se refere ao cumprimento do piso salarial profissional nacional e à garantia da hora-atividade na jornada de trabalho.'";
2025;"5111";"1281";"0466";10721;"Percentual de realização de pesquisas, exames e avaliações da educação básica, conforme planejamento anual";;100,00;Não;31/12/2022;"Percentual de realização de pesquisas, exames e avaliações da educação básica, conforme planejamento anual";"O indicador sintetiza o percentual de atingimento das metas previstas nas 3 entregas, referentes à realização dos exames, avaliações e pesquisas educacionais, conforme planejamento anual. ";"Janeiro a dezembro do ano de referência do indicador. ";"Fevereiro do ano seguinte ao ano de referência do indicador";"Percentual de realização de pesquisas, exames e avaliações da educação básica, conforme planejamento anual";"Quanto maior melhor";;"A = Número de pesquisas, exames e avaliações da educação básica realizados no ano B = Número de pesquisas, exames e avaliações da educação básica previstos para o ano";"Inep/MEC";"O indicador será disponibilizado nos eventos de monitoramento do PPA ";"O cálculo é realizado dividindo-se a quantidade dos exames, avaliações e pesquisas realizadas pela quantidade de exames, avaliações e pesquisas previstas para cada uma das entregas 1, 2 e 3, multiplicando-se, em seguida, por 100 (cem), resultando em um valor dado em percentual, com valor máximo de 100%.";;;
2025;"5120";"1339";"0491";10924;"Número de estudos secundários ofertados para apoiar à tomada de decisão no SUS";"NESTUDSECUNDARIO";39,00;Não;31/12/2022;"Número de estudos secundários ofertados para apoiar à tomada de decisão no SUS";"Estudos secundários de resposta rápida são solicitados e elaborados pela equipe interna ou por parceiros, e entregue à área solicitante para promoção do uso de evidências cientificas para apoio à tomada de decisão em saúde. Estudos secundário são estudos rápidos que sintetizam evidências já disponíveis na literatura com o intuito de facilitar o uso de evidências na tomada de decisão.";"31/12";"01/02 do ano posterior";"Número de estudos secundários ofertados para apoiar à tomada de decisão no SUS";"Quanto maior melhor";;"Estudos secundários elaborados e ofertados.";"Planilha de monitoramento interna. Trata-se de informação compilada de registros administrativos que documentam a forma de execução e o resultado final dos estudos realizados.";"Comunicação Administrativa em relatório de execução do PPA. Os estudos são entregues às áreas demandantes que utilizam as evidências levantadas para o processo de tomada de decisão sobre as intervenções. ";"Passo 1: Recebimento da solicitação do estudo secundário via Sistema Eletrônico de Informação. Passo 2: Registro da solicitação do estudo na planilha de monitoramento interno. Passo 3: Registro da finalização do estudo na planilha de monitoramento interno. Passo 4: Envio do estudo secundário à area demandante via Sistema Eletrônico de Informação. Passo 5: Somatório dos estudos secundários entregues ";"O alcance do indicador depende da solicitação das áreas técnicas do Ministério da Saúde para realização de estudos secundários.";"Para elaboração de estudos secundários, tem-se como referência o documento 'Serviço de Produção de Evidências para Apoio à Tomada de Decisão. Serviço de produção de evidências para apoio à tomada de decisão: portfólio de produtos'";
2025;"5120";"1339";"0493";10947;"Número de entes federativos com novos Núcleos de Economia da Saúde implantados por região";"NNUCLEOECONOMSAU";8,00;Não;31/05/2023;"Número de entes federativos com novos Núcleos de Economia da Saúde implantados por região";"O indicador - Número de NES institucionalizados - mostra o processo de institucionalização da Economia da Saúde nas esferas estadual, municipal e do DF.";"Último dia do mês";"todo dia 10 de cada mês da competência.";"Número de entes federativos com novos Núcleos de Economia da Saúde implantados por região";"Quanto maior melhor";;"Os termos da fórmula de cálculo são cada um dos Núcleos de Economia da Saúde institucionalizados.";"Normativa municipal, estadual ou distrital de institucionalização do NES";"Meio de publicação oficial dos Estados, Municípios e do DF";"Acompanhamento do início do processo de implantação do NES até a publicação da normativa de sua institucionalização em meio de publicação oficial. ";;"O processo de implantação do NES pelos entes federativos é voluntária. Dessa forma, o indicador é passível de ser afetado por fatores gerenciais e políticos. ";
2025;"5120";"1339";"0496";11250;"Número de projetos de pesquisa em saúde e ambiente em desenvolvimento";"NPROJPESQSAUAMB";1.840,00;Não;14/07/2023;"Número de projetos de pesquisa em saúde e ambiente em desenvolvimento";"Numero de projetos de pesquisa em andamento para a geração de conhecimento científico. Há uma tendência em trabalhar em rede, diminuindo o quantitativo de projetos, por outro lado aumentando sua complexidade. Contribui para todos os ODS, com ênfase nos ODS 3 e 6.";"Junho e dezembro de cada ano (Apuração semestral)";"Julho e janeiro.";"Número de projetos de pesquisa em saúde e ambiente em desenvolvimento";"Quanto maior melhor";;"Número de projetos de pesquisa em desenvolvimento no ano";"Relatórios da Fiocruz";"SAGE - Sistema de Apoio a Gestão Estratégica da Fiocruz  ";"Gerar relatório no SAGE - Sistema de Apoio a Gestão Estratégica da Fiocruz com o total de projetos de pesquisa em andamento no conjunto de unidades técnico-cientificas da instituição  ";"O SAGE é o Sistema de Apoio a Gestão Estratégica que ainda possui suas metas programadas e executadas preenchidas manualmente pelos responsáveis dos projetos, sendo sujeito a erros humanos. Além disso, o sistema encontra-se em fase de atualização no ano de formulação desta entrega, portanto, pode haver mudanças quando à forma de registro e apuração dos dados do indicador.";;
2025;"2324";"1311";"0209";11003;"Percentual do valor da subvenção direta repassado a ICTs";" SRICT";10,30;Não;31/12/2024;"Percentual do valor da subvenção direta repassado a ICTs";"Percentual do valor das subvenções diretas contratadas no ano que, pela Relação de Itens Originais do projeto, será repassado a ICTs.";"31 de Dezembro";"31 de Dezembro";"Percentual do valor da subvenção direta repassado a ICTs";"Não se aplica";;"X = Somatório dos valores que serão repassados às ICTs dos projetos de subvenção contratados no ano, Y = Somatório dos valores dos projetos de subvenção contratados no ano (total geral), ";"Sistemas internos da Finep";"Site das agências de fomento, comunicação administrativa com as agências de fomento, CGTV/SEXEC/MCTI, CGGF/SEXEC/MCTI, CGIA/SEXEC/MCTI, pesquisas.";"Dividir o somatório dos valores destinados às Instituições Científicas, Tecnológicas e de Inovação ? ICTs (X) pelo somatório dos valores dos projetos de subvenção direta contratados no ano (Y), multiplicando o resultado por 100 para obtenção do percentual.";"Caso a Relação de Itens seja alterada ao longo do projeto, a alteração não será retratada no indicador";"O valor da meta para 2024 apresenta uma discrepância em relação aos valores dos exercícios seguintes, em virtude da alteração da metodologia de cálculo do indicador. Essa alteração somente será aplicada a partir de 2025, sendo que o exercício de 2024 já foi monitorado com base na metodologia anterior.";
