"Exercício";"Programa";"Objetivo";"Enunciado";"Descrição";
2024;"5136";"1327";"Promover a governança fundiária, a reforma agrária, a regularização fundiária e o acesso à terra para agricultoras e agricultores familiares, assentadas e assentados da reforma agrária, quilombolas, indígenas e povos e comunidades tradicionais, assegurando a função social da terra, a inclusão produtiva e o bem viver dessas populações";;
2024;"5838";"1340";"Reconhecer e efetivar os direitos pluriétnico-culturais e sociais dos povos indígenas, assegurando a preservação e a valorização dos seus saberes, culturas, tradições, línguas e memórias, bem como o pleno exercício da cidadania e o acesso culturalmente adequado às políticas e serviços públicos de garantia dos direitos sociais, respeitando sua autodeterminação, sua pluralidade étnico-cultural e seu protagonismo na gestão das políticas públicas que lhes são afetas.";;
2024;"1617";"1305";"Garantir aos povos indígenas o reconhecimento, a posse plena e a sustentabilidade dos seus territórios com usufruto exclusivo, assegurando plenas condições materiais de alcance do bem viver, a integridade do patrimônio indígena, o ambiente saudável, protegido e conservado, soberania alimentar, bem como justiça socioambiental e climática, respeitando sua autodeterminação, sua pluralidade étnico-cultural e seu protagonismo na gestão das políticas públicas que lhes são afetas.";;
2024;"5837";"1325";"Assegurar a cidadania de segmentos invisibilizados ou submetidos a violências diversas, por meio de políticas de promoção e defesa dos direitos humanos, de reparação por graves violações e de educação e cultura em direitos humanos.";;
2024;"5815";"1299";"Ressignificar o processo de envelhecer e garantir os direitos humanos das pessoas idosas.";;
2024;"5127";"1334";"Inclusão Socioeconômica para o público do Cadastro Único, com idade de 16 a 65 anos, com atuação nos eixos da intermediação de mão de obra, qualificação profissional e empreendedorismo.";;
2024;"5133";"1332";"Promover a produção, a oferta, o acesso e o consumo de água e alimentos adequados e saudáveis, com base em sistemas alimentares sustentáveis, saudáveis e resilientes, priorizando os grupos populacionais vulnerabilizados e fortalecendo o Sistema de Segurança Alimentar e Nutricional";;
2024;"5134";"1341";"Estabelecer políticas públicas efetivas voltadas aos usuários e dependentes químicos e seus familiares, no que se refere ao apoio e acolhimento de pessoas com problemas com álcool e outras drogas e seus familiares";;
2024;"5115";"1300";"Fortalecer o acesso à justiça e a promoção e defesa dos direitos das pessoas, com ênfase em grupos sociais vulnerabilizados.";;
2024;"2305";"1251";"Assegurar serviços de comunicações e conectividade, pela oferta inclusiva dos meios de acesso, com o desenvolvimento das habilidades digitais, dando ênfase aos grupos vulnerabilizados";;
2024;"5129";"1249";"Identificar e incluir famílias em situação de vulnerabilidade social no Cadastro Único e produzir informações e conhecimento para promoção do acesso às políticas sociais e seu aprimoramento.";;
2024;"2324";"1311";"Promover e apoiar o desenvolvimento tecnológico e a inovação nas empresas nacionais, com foco em projetos que alavanquem a industrialização do País por meio da promoção de atividades que adicionem valor à produção nacional";;
2024;"6113";"1276";"Ampliar o conhecimento científico e tecnológico, a conservação da biodiversidade, o uso sustentável dos recursos naturais, por meio da gestão efetiva dos espaços costeiros e marinhos, para promover os interesses do país no oceano, zona costeira e Antártica.";;
2024;"3105";"1297";"Promover o desenvolvimento, a eficiência, a qualidade, a competitividade e a segurança dos portos e transporte aquaviário, priorizando iniciativas que tenham foco no serviço adequado e que sejam inovadoras e baseadas na sustentabilidade socioambiental.";;
2024;"1190";"1317";"Promover a gestão ambiental urbana e rural por meio do controle da poluição e contaminação, bem como pela mitigação dos impactos negativos das atividades humanas, com vistas à melhoria da qualidade ambiental e de vida e da proteção dos direitos animais nas cidades e no campo.";;
2024;"6111";"1288";"Contribuir para incrementar os resultados e o alcance de políticas públicas e ações governamentais, por meio da atuação sinérgica do Ministério da Defesa com outras instituições públicas, cooperando para o desenvolvimento nacional.";;
2024;"6114";"1320";"Conservar, recuperar e valorizar os biomas terrestres e as zonas costeira e marinha, para a manutenção da diversidade biológica, dos recursos naturais e dos serviços ecossistêmicos, combatendo o desmatamento, os incêndios e a exploração predatória dos recursos naturais.";;
2024;"5661";"1289";"Fortalecer a capacidade institucional e a participação das Mulheres, em toda a sua diversidade e pluralidade, nos espaços de poder e decisão, visando a igualdade, a paridade e a representatividade, por meio das políticas públicas para Mulheres.";;
2024;"2310";"1253";"Assegurar o trabalho decente, o acesso ao emprego e renda, proteção social e remuneração justa, garantindo segurança e saúde no trabalho, diálogo social, inclusão, acessibilidade e equidade no mundo do trabalho.";;
2024;"3101";"1262";"Assegurar o suprimento de energia elétrica ao mercado brasileiro com justiça social e sustentabilidade econômica e ambiental.";;
2024;"3102";"1274";"Criar, no setor mineral brasileiro, um ambiente orientado para a sustentabilidade, a transição energética, a segurança do público e a atratividade aos investimentos";;
2024;"5120";"1339";"Promover o desenvolvimento científico e tecnológico para produção, inovação e avaliação em saúde a fim de atender a população de forma equitativa, sustentável, acessível, considerando a sociobiodiversidade territorial e contribuindo para a prosperidade econômica, social e redução da dependência de insumos para a saúde.";;
2024;"3103";"1272";"Ampliar investimentos na exploração e produção de petróleo e gás natural, na infraestrutura de escoamento e processamento de gás natural, no abastecimento de combustíveis e na redução da dependência externa de derivados, de forma a promover a segurança energética e a proteção dos interesses do consumidor, aliado a uma maior ênfase na transição energética.";;
2024;"3107";"1294";"Coordenar, planejar e promover a redução do conteúdo de carbono da matriz energética brasileira, promovendo a manutenção da alta participação da oferta de energia limpas e renováveis e o aumento da eficiência energética, tanto na oferta quanto na logística de distribuição e no uso final de energia.";;
2024;"5117";"1266";"Ampliar o acesso da população aos medicamentos, insumos estratégicos e serviços farmacêuticos, qualificando a assistência farmacêutica, articulada à pesquisa, à inovação e à produção nacional, regulação, com qualidade e uso adequado no Sistema Único de Saúde, reduzindo as iniquidades.";;
2024;"5119";"1283";"Fortalecer a atenção primária, ampliando a cobertura da Estratégia Saúde da Família e da Saúde Bucal, com vistas à universalização do acesso, à abrangência do cuidado integral, à promoção da saúde, à prevenção de doenças e agravos e à redução de desigualdades de raça/etnia, de gênero, regionais e sociais";;
2024;"5111";"1281";"Elevar a qualidade e promover a equidade em todas as etapas e modalidades da Educação Básica, em regime de colaboração com os sistemas de ensino, valorizando os profissionais da Educação Básica, promovendo o acesso, a permanência, a conclusão de suas etapas, a trajetória regular e a aprendizagem em níveis adequados, com vistas à superação das desigualdades e à valorização da diversidade, na perspectiva do desenvolvimento integral, da inclusão, da sustentabilidade e da justiça social, em consonância com o Plano Nacional de Educação.";;
2024;"5121";"1316";"Aprimorar o cuidado à saúde, fortalecendo a gestão estratégica do SUS, do trabalho e da educação em saúde, e intensificar a incorporação da inovação e da saúde digital e o enfrentamento das discriminações e desigualdades de raça/etnia, de gênero, regionais e sociais.";;
2024;"5126";"1337";"Promover o acesso da população ao esporte e à atividade física ao longo da vida, por meio do sistema nacional de esporte, em espaços apropriados e acessíveis, que contemplem as dimensões de lazer, educacional, amadora e de alto desempenho, garantindo diversidade, inclusão social e qualidade de vida, em consonância com os valores do esporte.";;
