Exercício;"Código Agenda";"Programa";"Medida Institucional Normativa";"Enunciado";"Descrição";"Órgão Responsável";"Unidade Responsável";"Resultados Esperados";"Prioritária";"PAC";
2024;162;"6113";"0744";"Plano de Ação Federal da Zona Costeira ";"Planejamento de ações estratégicas para a integração de políticas públicas incidentes na zona costeira, buscando responsabilidades compartilhadas de atuação";"44000";"Departamento de Oceano e Gestão Costeira/Secretaria Nacional de Mudança do Clima/ Ministério do Meio Ambiente e Mudança do Clima";"Planejamento detalhado das ações estratégicas federais incidentes na zona costeira.";"Não";"Não";
2024;162;"6113";"06D0";"Planos de Gestão de Recursos Pesqueiros elaborados de forma participativa e publicados";"Elaboração de planos de gestão, construídos de forma participativa";"58000";"Ministério da Pesca e Aquicultura";"Fortalecimento do ordenamento da atividade pesqueira";"Não";"Não";
2024;162;"6113";"0741";"Programa de Gestão de Riscos Ambientais na área da Estação Antártica Comandante Ferraz (EACF).";"Desenvolvimento de um programa de gestão de riscos ambientais na área da EACF, a partir do diagnóstico de contaminação, adotando-se as medidas para o gerenciamento e descontaminação da área.";"44000";"Departamento de Oceano e Gestão Costeira/Secretaria Nacional de Mudança do Clima/Ministério do Meio Ambiente e Mudança do Clima";"Redução da contaminação ambiental por hidrocarbonetos na área de entorno da EACF a níveis aceitáveis.";"Não";"Não";
2024;165;"6113";"04E6";"Ampliar o limite exterior da plataforma continental brasileira além das 200 milhas náuticas, de acordo com a Convenção das Nações Unidas sobre o Direito do Mar, na Margem Equatorial (Norte) e na Região Oriental Meridional (Sudeste).";"Essa Medida Institucional visa ampliar o limite exterior da plataforma continental brasileira além das 200 milhas náuticas, de acordo com a Convenção das Nações Unidas sobre o Direito do Mar, na Margem Equatorial (Norte) e na Região Oriental Meridional (Sudeste).";"52000";"SECRETARIA DA COMISSÃO INTERMINISTERIAL PARA OS RECURSOS DO MAR - SECIRM";"Ampliação de 1.925.000 Km ² da Plataforma Continental Brasileira (PCB)";"Não";"Não";
2024;165;"6113";"085E";"Definição de método de avaliação econômica, patrimonial territorial do mar territorial, como bem da União.";"Espelhos d'água foram recentemente integrados à política de destinação do patrimônio da União e carecem de metodologia própria de avaliação econômica e patrimonial, tendo em vista a especificidade desse tipo de bem. Por esses motivos, a SPU pretende definir metodologia específica para esse tipo de bem.";"46000";"Secretaria do Patrimônio da União (SPU)";"Método de avaliação desenvolvido.";"Não";"Não";
2024;165;"6113";"0745";"Estratégias para prevenção e combate à poluição plástica no oceano.";"Revisar o Plano Nacional de Combate ao Lixo no Mar e estabelecer estratégias para adoção de medidas para prevenir e combater a poluição plástica no ambiente marinho. Desenvolver estratégia para acompanhamento da negociação internacional de instrumento jurídico vinculante para acabar com a poluição plástica no oceano.";"44000";"Departamento de Oceano e Gestão Costeira/Secretaria Nacional de Mudança do Clima/Ministério do Meio Ambiente e Mudança do Clima";"Medidas para redução da poluição plástica no oceano adotadas.";"Não";"Não";
2024;165;"6113";"0744";"Plano de Ação Federal da Zona Costeira ";"Planejamento de ações estratégicas para a integração de políticas públicas incidentes na zona costeira, buscando responsabilidades compartilhadas de atuação";"44000";"Departamento de Oceano e Gestão Costeira/Secretaria Nacional de Mudança do Clima/ Ministério do Meio Ambiente e Mudança do Clima";"Planejamento detalhado das ações estratégicas federais incidentes na zona costeira.";"Não";"Não";
2024;165;"6113";"06D0";"Planos de Gestão de Recursos Pesqueiros elaborados de forma participativa e publicados";"Elaboração de planos de gestão, construídos de forma participativa";"58000";"Ministério da Pesca e Aquicultura";"Fortalecimento do ordenamento da atividade pesqueira";"Não";"Não";
2024;165;"6113";"0741";"Programa de Gestão de Riscos Ambientais na área da Estação Antártica Comandante Ferraz (EACF).";"Desenvolvimento de um programa de gestão de riscos ambientais na área da EACF, a partir do diagnóstico de contaminação, adotando-se as medidas para o gerenciamento e descontaminação da área.";"44000";"Departamento de Oceano e Gestão Costeira/Secretaria Nacional de Mudança do Clima/Ministério do Meio Ambiente e Mudança do Clima";"Redução da contaminação ambiental por hidrocarbonetos na área de entorno da EACF a níveis aceitáveis.";"Não";"Não";
2024;166;"1191";"091B";"Acordo com o Banco Central para acessar os dados dos beneficiários do crédito rural no âmbito do Pronaf";"Atualmente, o Banco Central disponibiliza os dados sobre contratações de crédito rural apenas a nível de número de contratos. O CPF, DAP/CAF e município é ocultado quando a fonte de recurso utilizada é livre, sem equalização ou da exibilidade bancária, devido ao sigilo bancário. Isso impacta principamente no monitoramento do custeio. A SAF está em tratativa com o Banco Central para que seja realizado o repasse do sigilo bancário ao MDA, de forma a ter acesso a base completa.";"49000";"Secretaria de Agricultura Familiar e Agroecologia - SAF/MDA";"Obtenção dos microdados do crédito rural do Pronaf com informação de CPF, DAP/CAF e município de todas as operações, independemente da fonte utilizada. Avaliação mais precisa do desempenho do crédito rural, a nível de beneficiário e de família atendida, uma vez que será possível cruzar o CPF ou número da DAP/CAF com outras bases de dados, permitindo assim tomadas de decisão mais assertivas.";"Não";"";
2024;166;"1191";"0667";"Atualização da Política Nacional de Assistência Técnica e Extensão Rural (PNATER)";"A Política Nacional de Assistência Técnica e Extensão Rural para a Agricultura Familiar e Reforma Agrária - PNATER e o Programa Nacional de Assistência Técnica e Extensão Rural na Agricultura Familiar e na Reforma Agrária - PRONATER foram instituídos pela Lei nº 12.188/2010. É evidente a necessidade de atualizar a PNATER, adequando-a às novas dinâmicas e necessidades da agricultura familiar, considerando o acúmulo de debates, concepções, abordagens e metodologias ao longo da sua existência.";"49000";"Secretaria de Agricultura Familiar e Agroecologia - SAF/MDA";"A revisão da PNATER oportunizará a qualificação das estratégias do Estado brasileiro para garantia da assistência técnica e extensão rural como direito dos trabalhadores e trabalhadoras do campo, das águas e da floresta. Reafirmação e fortalecimento da Política Nacional de ATER voltada para o rural brasileiro, com participação da sociedade civil, no intuito de modernizar e qualificar a PNATER de forma a adequá-la as novas dinâmicas e necessidades agricultura familiar no atual contexto de Brasil e proporcionar um cenário positivo para busca da universalização da ATER para o público da agricultura familiar.";"Não";"";
2024;166;"1191";"080A";"Atualização do Plano Nacional de Desenvolvimento Rural Sustentável (PNDRSS)";"O Plano Nacional de Desenvolvimento Rural Sustentável (PNDRSS) resultou da 2ª Conferência Nacional de Desenvolvimento Rural Sustentável (II CNDRSS), realizada ao longo do ano de 2013. Desde a recriação do MDA, as diversas escutas realizadas com os principais movimentos sociais da agenda do MDA sinalizam a necessidade de atualização do PNDRSS de forma a adequá-la às novas dinâmicas e necessidades da agricultura familiar e dos povos e comunidades tradicionais do campo, das águas e da floresta.";"49000";"Secretaria-Executiva - SE/MDA";"No contexto atual do Brasil e nos acumulados de debates, concepções, abordagens e metodologias ao longo dos últimos anos. A III CNDRSS será o principal mecanismo de revisão e atualização do PNDRSS. A revisão do PNDRSS oportunizará a qualificação das estratégias do Estado brasileiro para garantia das políticas de desenvolvimento rural sustentável como direito dos trabalhadores e trabalhadoras da agricultura familiar e dos povos e comunidades tradicionais do campo, das águas e da floresta.";"Não";"";
2024;166;"1191";"066B";"CAF 3.0 desenvolvido e implantado";"Reformulação do instrumento de qualificação e identificação do público da agricultura familiar com foco na modernização e transformação digital do serviço prestado. O Cadastro Nacional da Agricultura Familiar (CAF) é o instrumento utilizado para identificar e qualificar o público beneficiário previsto na Lei nº 11.326/2006. Com a inscrição ativa no CAF, o público beneficiário tem acesso qualificado a programas e ações destinados ao fortalecimento da agricultura familiar.";"49000";"Secretaria de Agricultura Familiar e Agroecologia - SAF/MDA";"- Desburocratização do processo de identificação do público da agricultura familiar, - Garantir segurança e agilidade na execução de políticas públicas que utilizam o CAF como documento de elegibilidade dos beneficiários, - Disponibilizar canal digital em formato de autosserviço para a inscrição no CAF, - Aumentar o número de agricultores e agricultoras familiares reconhecidos pelo CAF, - Permitir a geração de relatórios e indicadores para acompanhamento e revisão de políticas e ações para a agricultura familiar - Simplificação do processo de inscrição do público beneficiário no CAF, - Aumento do número de unidades familiares de produção agrária e de formas associativas da agricultura familiar reconhecidos pelo CAF, - Melhoria no processo de consulta aos dados do CAF por parte de órgãos e entidades gestores de políticas públicas destinadas ao fortalecimento da agricultura familiar, - Simplificação do processo de gestão do CAF.";"Não";"";
2024;166;"1191";"0669";"Criação de programa de aquisição de plantas medicinais da agricultura familiar pelo SUS";"Criação de um Programa de Aquisição Direta de plantas medicinais e aromáticas da agricultura familiar como fonte de matéria prima (Insumo Vegetal) para o SUS, alinhado à Política Nacional de Plantas Medicinais e Fitoterápicos, a ser executado de forma interministerial pelos Ministérios MDA e MS.";"49000";"Secretaria de Governança Fundiária, Desenvolvimento Territorial e Socioambiental - SFDT/MDA";"Programa criado.";"Não";"";
2024;166;"1191";"0666";"III CNATER - Conferência Nacional de ATER";"A Conferência Nacional de ATER é um instrumento que amplia a participação social na política nacional de ATER, promovendo um processo ascende de contribuições para qualificação das diretrizes, estratégias e instrumentos da PNATER, com repercussões nas demais políticas do MDA. A III CNATER deverá ser convocada pelo CONDRAF, articulando o conjunto de Ministérios, órgãos do governo federal e de governos subnacionais afetos a pauta da ATER, envolvendo ampla mobilização e participação social.";"49000";"Secretaria-Executiva - SE/MDA";"A III CNATER deverá ter como pauta principal a atualização da Política Nacional de Assistência Técnica e Extensão Rural - PNATER, em conformidade com as demandas expressas pelos movimentos sociais nos diálogos conduzidos por este Ministério. Além da ampla participação social, promovendo o processo ascendente de qualificação da PNATER a partir dos municípios, a CNATER terá como produto final a sistematização dos resultados das discussões, oportunizando material de referência para qualificar a ação do governo federal no tema.";"Não";"";
2024;166;"1191";"0809";"III CNDRSS - Conferência Nacional de Desenvolvimento Rural Sustentável";"A Conferência Nacional de Desenvolvimento Rural Sustentável e Solidário (CNDRSS) é um instrumento para rever e atualizar o Plano Nacional de Desenvolvimento Rural Sustentável e Solidário (PNDRSS), promovendo contribuições para qualificação das diretrizes, estratégias e instrumentos do conjunto das políticas do MDA. A III CNDRSS será convocada pelo CONDRAF, articulando os órgãos do governo federal e os de governos subnacionais afetos à pauta, envolvendo ampla mobilização e participação social";"49000";"Secretaria-Executiva - SE/MDA";"A III CNDRSS deverá ter como pauta principal a atualização do PNDRSS, em conformidade com as demandas expressas pelos movimentos sociais nos diálogos conduzidos por este Ministério. Além da ampla participação social, promovendo o processo ascendente de qualificação do PNDRSS a partir dos municípios, territórios rurais e estados, a CNDRSS terá como produto final a sistematização dos resultados das discussões, oportunizando material de referência para qualificar a ação do governo federal no tema.";"Não";"";
2024;166;"1191";"091C";"Plano Nacional de Agroecologia e Produção Orgânica - PLANAPO";"O PLANAPO é um dos principais instrumentos da Política Nacional de Agroecologia e Produção Orgânica, cuja proposição é competência da Câmara Interministerial de Agroecologia e Produção Orgânica - CIAPO cuja secretaria executiva é exercida pelo MDA. A coordenação executiva compete ao DINOV/SAF/MDA. O último Plano elaborado perdeu sua vigência e com a revigoramento das instâncias de gestão (Decreto 11.582, de 28 de junho de 2023), iniciaram-se as providências para o processo de atualização do Plano, o qual deve ser concluído no primeiro bimestre de 2024.";"49000";"Secretaria de Agricultura Familiar e Agroecologia - SAF/MDA";"- Plano Nacional de Agroecologia e Produção Orgânica vigente, - Fortalecimento da ação interministerial nas iniciativas de agroecologia e produção agroecológica, - Qualificação da execução de programas e ações do MDA e demais órgãos e entidades integrantes da CIAPO, - Fortalecimento das iniciativas e processos de produção em bases agroecológicas, produção orgânica e em transição, - Fortalecimento da articulação entre a PNAPO e as políticas estaduais de agroecologia e produção orgânica, - Ampliação das condições para promover a produção de alimentos saudáveis.";"Sim";"";
2024;166;"1191";"091D";"Plano Nacional de Juventude e Sucessão Rural";"O Plano Nacional de Juventude e Sucessão Rural é um conjunto de ações que garantem os direitos sociais da juventude do campo, das águas e das florestas, e o acesso a serviços públicos e a atividades produtivas com promoção do desenvolvimento sustentável e solidário, estímulo e fortalecimento das redes da juventude rural e atuação transparente, democrática, participativa e integrada dos órgãos da administração pública federal com os governos estaduais, distrital, municipais e com a sociedade.";"49000";"Secretaria-Executiva - SE/MDA";"O Plano conta com cinco eixos de trabalho: I) Terra e Território, II) Trabalho e Renda, III) Educação do Campo, IV) Qualidade de Vida, e V) Participação, Comunicação e Democracia. O Plano Nacional será implementado a partir do comitê Permanente de Juventude Rural do Conselho Nacional de Desenvolvimento Rural Sustentável e Solidário - CONDRAF, que dialogará diretamente com a sociedade civil e movimentos sociais e também a partir do Grupo de Trabalho Interministerial composto pelos Ministérios MDA, Casa Civil, MJSP, MEC, MINC, MTE, MS, MCOM, MM, MIR, MDHC, MPI, SG, com ações de proposição, implementação e monitoramento das políticas públicas específicas de cada pasta. O Plano pretende retomar as políticas públicas para a juventude rural, potencializando, assim, um rural com saúde, cultura, internet, educação no campo, acesso a crédito, tecnologias e máquinas apropriadas para a agricultura familiar, emprego e geração de renda para a juventude do campo, das águas e das florestas, garantindo assim a sucessão Rural.";"Não";"";
2024;166;"1191";"066C";"Política de Desenvolvimento Territorial Sustentável";"A Política de Desenvolvimento Territorial Sustentável visa estruturar ações, projetos e programas que objetivem a superação de desigualdades econômicas, ambientais e sociais (inclusive as de gênero, etnia, raça e etária) no meio rural e promover o desenvolvimento sustentável, responsável e inclusivo de comunidades e territórios da agricultura familiar.";"49000";"Secretaria de Governança Fundiária, Desenvolvimento Territorial e Socioambiental - SFDT/MDA";"A Política de Desenvolvimento Territorial Sustentável ocorrerá especialmente por meio da instituição de Colegiados Territoriais. Colegiados Territoriais são espaços de governança em territórios constituídos e organizados. Os territórios, por sua vez, são espaços geográficos socialmente ocupados que extrapolam a dimensão de limites de municípios e estados, reconhecidos institucional e politicamente para a gestão integrada de ações políticas setoriais. São espaços de representação social e política para comunidades, onde são deliberadas articulações para a implementação de políticas públicas de acordo com as necessidades e realidades locais e regionais. As políticas de desenvolvimento territorial são importantes pois elas promovem arranjos sociais, políticos e institucionais que extrapolam organizações institucionais e políticas burocráticas e centralizadas. A política de desenvolvimento territorial promove a organização da sociedade em torno de demandas específicas e adaptadas às necessidades e interesses da população rural local. Ela também promove de maneira eficiente a articulação e a integração de políticas públicas setoriais governamentais. A política territorial foi implementada como política de governo no ano de 2003, institucionalizada em 2008 com a promulgação dos 'Territórios de Cidadania' e descontinuada em 2016. Deste modo, busca-se retomar e reestruturar a política, considerando seu avanço entre os anos 2003-2016, a suspensão da política por 6 anos desde 2016 e as novas variáveis e realidades das populações e dos territórios da agricultura familiar em 2023. Com a instituição da Política de Desenvolvimento Territorial Sustentável, busca-se a integração de políticas públicas com base no planejamento territorial, a ampliação dos mecanismos de participação social na gestão das políticas públicas de interesse do desenvolvimento dos territórios, a ampliação da oferta dos programas básicos de cidadania, a inclusão e integração produtiva das populações pobres e dos segmentos sociais mais vulneráveis, tais como trabalhadoras rurais, quilombolas, indígenas e populações tradicionais e a valorização da diversidade social, cultural, econômica, política, institucional e ambiental das regiões e das populações.";"Não";"";
2024;166;"1191";"0668";"Programa de Alimentos Saudáveis - PAS Brasil";"Vincula-se à diretriz de viabilização da produção e consumo de alimentos saudáveis, por meio da integração entre as políticas, visando garantir o acesso e contribuir para o combate à fome e a segurança alimentar da população brasileira.";"49000";"Secretaria de Agricultura Familiar e Agroecologia - SAF/MDA";"- Programa Instituído. - Agricultores(as) acompanhado de forma processual, contínua, planejada e duradoura. - Aumento da produção de alimentos - Melhoria da qualidade dos alimentos produzidos - Redução de custos na produção de alimentos pela agricultura familiar - Redução do uso de agrotóxicos e aumento do uso de bioinsumos - Aumento da participação das mulheres e dos jovens na gestão da agricultura familiar - Melhoria no sistema de produção de alimentos pela agricultura familiar - Fortalecimento da infraestrutura e das iniciativas de comercialização direta ou em circuitos curtos - Melhoria na prestação de serviços de ATER - Aumento na renda das famílias agricultoras partícipes no programa - Transformação do agroecossistema familiar, por meio de um processo de transição agroecológica para a produção de alimentos saudáveis, com sustentabilidade e redução dos impactos ambientais.";"Não";"";
2024;166;"1191";"066D";"Programa de Energia Renovável para a Agricultura Familiar";"O acesso à eletrificação é um dos principais fatores com potencial de promover o desenvolvimento de comunidades rurais e isoladas e a melhoria da qualidade de vida. Ao garantir o acesso à eletrificação, uma comunidade adquire a possibilidade de transformar e ampliar seu acesso a saúde, educação, inclusão digital, audiovisual, conforto ambiental e térmico, conservação de alimentos medicamentos, utilização de aparelhos elétricos e eletrônicos.";"49000";"Secretaria de Governança Fundiária, Desenvolvimento Territorial e Socioambiental - SFDT/MDA";"O acesso à eletrificação gera otimização e beneficiamento da produção, geração de renda, entre outras benfeitorias. Além disso, este acesso por fontes de energias renováveis intensifica a preservação e recuperação de recursos naturais, a diminuição de despesas da renda familiar e comunitária com energia elétrica. Cabe destacar que comunidades rurais se encontram dispersas no território e, portanto, afastadas das redes convencionais de energia elétrica. Além disso, a agricultura familiar, assentados da reforma agrária, e povos e comunidades tradicionais constituem-se como uma população majoritariamente de baixa renda. A conjunção dessas características representa uma barreira ao pleno exercício da cidadania dessas populações. Assim, o Programa de Energia Renovável para a Agricultura Familiar objetiva a universalização e melhoria do acesso à eletricidade de fonte renovável no campo. O Programa de Energia Renovável para a Agricultura Familiar busca prover acesso à eletricidade renovável para as (os) agricultoras(es) familiares de modo que haja: redução de pobreza energética, geração de emprego e renda, universalização do acesso à eletricidade no campo, difusão de empreendimentos de agricultura familiar com estímulo ao beneficiamento e agregação de valor à sua produção.";"Não";"";
2024;166;"1191";"074B";"Programa Nacional de Florestas Produtivas";"Instituição de Programa Nacional de Florestas Produtivas para Fomentar processos de restauração florestal em estabelecimentos rurais da agricultura familiar e territórios de povos e comunidades tradicionais, nos seis biomas brasileiros, visando contribuir com a produção sustentável de alimentos, a mitigação do aquecimento global e o cumprimento nacional do Acordo de Paris.";"49000";"Secretaria de Governança Fundiária, Desenvolvimento Territorial e Socioambiental - SFDT/MDA";"Principais resultados e impactos esperados: - Cumprimento da legislação ambiental brasileira e a geração de renda familiar por meio da exploração sustentável de produtos da sociobiodiversidade, produtos florestais não madeireiros, produtos madeireiros e produtos pecuários sustentáveis, - Geração de rendimentos da floresta, redução da pressão de desmatamento em áreas nativas e mitigação de demandas futuras por restauração florestal, - Viabilização dos processos coletivos de restauração nos estabelecimentos rurais da AF e em territórios de PCT, - Abatimento dos custos significativos dos processos de restauração florestal, com prioridade de destino dos produtos à merenda escolar via programas governamentais de aquisição de alimentos, - Ressarcimento dos custos financeiros individuais às populações do meio rural que reverberam em benefícios socioambientais coletivos ao meio rural e urbano, por meio de pagamento por serviços ambientais, - Construção do conhecimento em apoio às iniciativas de associações e cooperativas da AF e PCT em restauração, - Avaliação do desempenho dos projetos ecorregionais e o desempenho do programa nacional no ano corrente e levantar subsídios aos ajustes necessários e ao planejamento do ano seguinte, - Formação de guardiões da floresta e apoiar os processos coletivos de restauração nos estabelecimentos rurais da AF e em territórios de PCT, e - Apoio ao cumprimento da legislação ambiental brasileira pelos estabelecimentos rurais da AF e territórios de PCT, além de gerar renda à AF e PCT.";"Sim";"";
2024;166;"1191";"0752";"Projeto Dom Helder Câmara III";"O objetivo do Projeto Dom Helder Câmara é contribuir para a redução da pobreza rural e da insegurança alimentar e nutricional na agricultura familiar, bem como das desigualdades de gênero, geração e étnico-raciais, no Semiárido do Nordeste, por meio do acesso a políticas públicas, inovações tecnológicas e recursos que promovam sistemas alimentares sustentáveis, biodiversos e resilientes ao clima.";"49000";"Secretaria de Governança Fundiária, Desenvolvimento Territorial e Socioambiental - SFDT/MDA";"O Projeto Dom Helder Câmara III está em processo para celebração de contrato de empréstimo internacional com o Fundo Internacional de Desenvolvimento Agrícola (FIDA) , para executar, nos próximos 6 anos (2024 a 2029), atendimento estimado a 70 mil famílias da agricultura familiar do Semiárido do Nordeste. A presente proposta tem por objetivo principal contribuir para a redução da pobreza rural, da insegurança alimentar e nutricional na agricultura familiar e das desigualdades de gênero, geração e étnico-raciais, no Semiárido da Região Nordeste. Espera-se ampliar consideravelmente a utilização de conhecimentos e tecnologias que promovam maior sustentabilidade produtiva e ambiental, tendo como alicerce a construção do conhecimento, dinamizado através de ações de ATER e outras formas. Visa, ainda, fomentar a produção de alimentos adequados e saudáveis e a conservação dos recursos naturais, sob a perspectiva do desenvolvimento rural sustentável e geração de emprego e renda. O projeto trabalhará a organização da produção e acesso a mercados e promoverá ações para aproximar os AF dos seus consumidores. Também buscará desenvolver capacidades individuais e coletivas da população beneficiária nessa área e fortalecer as suas organizações associativas e cooperativas. Por fim, fortalecerá ações relacionadas à educação do e no campo, com foco no apoio às experiências pedagógicas realizadas pelos Centros Familiares de Formação por Alternância (CEFFAs).";"Não";"";
2024;166;"1191";"066A";"Reestruturação do Programa de Bioeconomia para Sociobiodiversidade";"Instituição de Programa Nacional de Bioeconomia da Sociobiodiversidade, alinhado à Estratégia Nacional de Bioeconomia, a ser executado de forma interministerial pelos Ministérios MDA, MMA, MDS, com foco na promoção de uma bioeconomia inclusiva, com ênfase no uso sustentável dos recursos da sociobiodiversidade, a partir de processos transformadores e inovadores que visam o acesso a mercados, a geração de renda e a melhoria da qualidade para agricultores familiares, povo e comunidades tradicionais";"49000";"Secretaria de Governança Fundiária, Desenvolvimento Territorial e Socioambiental - SFDT/MDA";"Programa instituído.";"Não";"";
2024;166;"5802";"0655";"Ampliar o Programa de Proteção aos Defensores de Direitos Humanos, com ênfase na proteção de lideranças Quilombolas";"Considerando as inúmeras violências sofridas pelas comunidades quilombolas na defesa de seus territórios, é de suma importância que o Programa de Proteção a Defensores seja ampliado para garantir a segurança de quem luta pela terra.";"67000";"Secretaria de Políticas para Quilombolas, Povos e Comunidades Tradicionais de Matriz Africana, Povos de Terreiros e Ciganos";"Aumento do número de lideranças quilombolas beneficiárias protegidas pelo Programa.";"Não";"";
2024;166;"5802";"065C";"Articular, monitorar e qualificar políticas públicas intersetoriais, junto ao poder público federal, estadual e municipal, para os Povos Ciganos (Calon, Rom e Sinti), criando mecanismos para garantir aos sujeitos de direito conhecimento pleno e acesso a tais políticas";"Considerando que os povos ciganos são invisibilizados no acesso a muitas políticas públicas de Estado, importante que mecanismos sejam implementados para que tenham acesso a direitos.";"67000";"Secretaria de Políticas para Quilombolas, Povos e Comunidades Tradicionais de Matriz Africana, Povos de Terreiros e Ciganos";"Mecanismos criados para garantia de direito.";"Não";"";
2024;166;"5802";"0654";"Assegurar a marcação étnico-racial específica para quilombolas, comunidades tradicionais de matriz africana, povos de terreiros e povos ciganos (Calon, Rom, Sinti) nas fichas de cadastro em todos os níveis de atenção à saúde, educação, CadÚnico e outros para a construção de dados quantitativos e qualitativos sobre essas populações";"Garantir a marcação étnico-racial nos cadastros permite maior conhecimento sobre o acesso a políticas públicas de Estado por essas populações específicas atendidas pelo Ministério da Igualdade Racial.";"67000";"Secretaria de Políticas para Quilombolas, Povos e Comunidades Tradicionais de Matriz Africana, Povos de Terreiros e Ciganos";"Produção de dados.";"Não";"";
