Exercício;"Código Agenda";"Programa";"Objetivo";"Objetivo Específico";"Medida Institucional Normativa";"Enunciado";"Descrição";"Órgão Responsável";"Unidade Responsável";"Resultados Esperados";"Prioritária";"PAC";
2024;148;"1158";"1318";"0272";"05EF";"Publicação de relatórios situacionais bianuais do estado da governança climática";"Relatórios situacionais do estado da governança climática nacional são documentos que fornecem uma avaliação abrangente e atualizada da governança climática de um país. Esses relatórios analisam como o país está lidando com questões relacionadas às mudanças climáticas em termos de estruturas institucionais, políticas, regulamentações, coordenação intergovernamental e participação de partes interessadas.";"44000";"MMA/SMC";"Os relatórios situacionais devem fornecer uma avaliação abrangente, promover a transparência, identificar boas práticas, orientar a tomada de decisão informada e definir agendas futuras. Esses resultados são essenciais para melhorar a eficácia das políticas e ações climáticas, promovendo uma governança climática mais robusta e eficiente.";"Não";"";
2024;148;"1158";"1318";"0272";"05EE";"Revisão da Política Nacional sobre Mudança do Clima - PNMC (Lei 12.187/2009)";"A revisão da Política Nacional de Mudança do Clima - PNMC é uma medida essencial para garantir que as políticas e medidas do país estejam alinhadas com os compromissos internacionais, incorporando os avanços científicos e tecnológicos mais recentes e respondendo adequadamente às mudanças nas circunstâncias nacionais e globais. A revisão fortalecerá a implementação e governança, bem como promover um engajamento mais amplo e inclusivo dos atores relevantes na luta contra as mudanças climáticas.";"44000";"MMA/SMC";"* Atualização dos compromissos nacionais: Os compromissos e metas internacionais do Brasil em relação às mudanças climáticas evoluíram ao longo do tempo. O país adotou novas metas e compromissos mais ambiciosos em acordos internacionais, como o Acordo de Paris. * Fortalecimento da implementação e governança: A revisão da PNMC pode envolver uma avaliação crítica da implementação e governança da política existente. Identificar e resolver lacunas ou desafios na implementação pode ajudar a fortalecer a efetividade da PNMC.";"Não";"Sim";
2024;148;"1158";"1318";"0272";"05F3";"Sistema Brasileiro de Comércio de Emissões (mercado de carbono) implementado";"O Sistema Brasileiro de Comércio de Emissões (SBCE) é uma abordagem baseada no mercado para mitigar as emissões de gases de efeito estufa (GEE) no Brasil. é projetado para estabelecer um mercado de carbono no país, onde as empresas têm um limite máximo de emissões de GEE permitido. O SBCE permite que as empresas comprem, vendam ou troquem créditos de emissão entre si como uma forma de cumprir suas metas de redução de emissões. A criação do SBCE demandará legislação específica.";"44000";"MMA/SMC";"*Eficiência na redução de emissões: Um SBCE cria um mercado de carbono no qual as empresas têm um limite de emissões de GEE estabelecido e podem comprar ou vender créditos de emissão. Isso promove a eficiência econômica, pois as empresas têm incentivos para reduzir suas emissões onde for mais viável e econômico fazê-lo. *Flexibilidade e adaptação: Um SBCE permite que as empresas escolham como reduzir suas emissões, incentivando a adoção de tecnologias e estratégias inovadoras de baixo carbono. *Estímulo à inovação tecnológica: Ao criar um preço para as emissões de GEE, um SBCE incentiva as empresas a investirem em pesquisa e desenvolvimento de tecnologias limpas e de baixo carbono.";"Sim";"Sim";
2024;148;"1158";"1318";"0274";"05FC";"E-macrodiagnóstico da zona costeira e marinha (E-MDZCM).";"Instrumento de apoio à gestão da Zona Costeira e Marinha que permite identificar os principais usos, atividades e características socioambientais do território.";"44000";"Doceano/SMC/MMA";"E-MDZCM disponibilizado de forma online";"Não";"";
2024;148;"1158";"1318";"0274";"05FA";"Guia de diretrizes para os planos diretores municipais costeiros, para a mitigação e adaptação às mudanças do clima.";"Instrumento de orientação aos municípios costeiros com vistas à adoção de estratégias em seus instrumentos de planejamento urbano para mitigar e se adaptar aos efeitos da mudança do clima.";"44000";"Doceano/SMC/MMA";"Guia de diretrizes publicado e disponibilizado a gestores municipais";"Não";"";
2024;148;"1158";"1318";"0274";"05F8";"Programa Nacional para a Conservação dos Ecossistemas Costeiros e Marinhos Vulneráveis à mudança do clima.";"Estabelece uma política de apoio à conservação e uso sustentável de ecossistemas costeiros e marinhos mais vulneráveis à mudança do clima, vinculando-se às estratégias de adaptação a serem adotadas na zona costeira para diminuir impactos decorrentes de eventos extremos.";"44000";"Doceano/SMC/MMA";"Política de apoio à conservação e uso sustentável de ecossistemas costeiros e marinhos mais vulneráveis à mudança do clima, a partir da adoção de soluções baseadas na natureza.";"Não";"";
2024;148;"1158";"1318";"0274";"05FD";"Projeto Alt-Bat: definição de metodologia científica nacional para integração das componentes verticais terrestres (altimetria) e marinha (batimetria)";"Estudo para embasamento da integração das componentes verticais terrestres (altimetria) e marinha (batimetria) na costa brasileira.";"44000";"Doceano/SMC/MMA";"Níveis de referência para descrição e representação do relevo terrestre (altimetria) e submarino (batimetria) na costa brasileira compatibilizados.";"Não";"";
2024;148;"1158";"1318";"0279";"0600";"Criar mecanismos institucionais de fortalecimento aos Centros Socioambientais, Salas Verdes e outros arranjos territoriais já existentes";"Os Centros Socioambientais, Salas Verdes e demais arranjos locais devem contribuir para o fortalecimento de políticas públicas territoriais de EA que sejam permanentes, continuadas, articuladas e em busca de envolver a totalidade dos que vivem naquela UF, para que assumam a perspectiva de (se)educarem ambientalmente e contribuírem para a formação de agentes locais de sustentabilidade socioambiental que educam ambientalmente e propiciam a geração de trabalho e renda nos territórios.";"44000";"DEA/SECEX/MMA";"Os Centros, as salas verdes e demais arranjos locais propiciando a cooperação, articulação, elaboração estratégica, formação e desenvolvimento de organizações e pessoas engajadas em temas como as mudanças do clima, agroecologia, economias solidárias, bioeconomias, educação socioambiental, erradicação da pobreza, cidades e comunidades sustentáveis, consumo e produção sustentável, água e outros temas relacionados aos ODS.";"Não";"";
2024;148;"2318";"1263";"0013";"084D";"Avaliação da qualidade geométrica dos insumos de cartografia e sensoriamento remoto utilizados na geração dos mapeamentos de suscetibilidade a desastres";"Elaboração de relatório técnico para a CPRM, que avalia a conformidade dos insumos a serem utilizados na elaboração dos mapas de suscetibilidade a desastres. Para essa ação é necessário que as equipes do IBGE trabalhem em campo na medição de pontos de controle GNSS, o que implica em despesas de diárias e suprimentos além de custos para a atualização de softwares e receptores GNSS, que são utilizados nessa tarefa";"53000";"Instituto Brasileiro de Geografia e Estatística ? IBGE";"a avaliação de qualidade chancela a utilização dos insumos para a produção dos mapas de suscetibilidade a desastres, o que compete credibilidade a esses produtos";"Não";"";
2024;148;"2318";"1263";"0013";"07CC";"Desenvolvimento de metodologia para execução de projetos de engenharia e obras de retenção de fluxo de detritos - Manual de Barreira SABO";"Elaboração de Manual - Diretrizes Técnicas para projetos de engenharia, plano de gestão de obras e de manutenção das estruturas de retenção para fluxos de detritos. Formalizou-se TED 007/2021 junto à UFRJ. A Pesquisa e a elaboração do Manual Técnico serão a base referencial para o desenvolvimento de projetos de engenharia e implantação de obras de prevenção para redução do risco de desastres relacionados ao fenômeno de fluxos de detritos nos diversos cenários geológico-geotécnicos brasileiros";"53000";"Secretaria Nacional de Proteção e Defesa Civil/ MIDR";"Manual técnico de Barreira SABO desenvolvido e utilizado como base referencial para o desenvolvimento de projetos de engenharia e implantação de obras de prevenção para redução do risco de desastres relacionados ao fenômeno de fluxos de detritos nos diversos cenários geológico-geotécnicos brasileiros.";"Não";"Sim";
2024;148;"2318";"1263";"0013";"0524";"Desenvolvimento de sistema de previsão de riscos de inundações bruscas e disponibilização do produto no website do CEMADEN e compartilhar com os órgãos de gestão de riscos de desastres (CEMADEN/MCTI)";"O desenvolvimento de sistema de previsão de riscos de extremos hidrológicos de curta duração proverá informações objetivas de forma automática que poderão ser utilizadas por diversos orgãos, destacando as Defesas Civis. O resultado final será uma plataforma que entregue resultados, com métricas estatísticas que representem a probabilidade de ocorrências de eventos de inundações bruscas em diferentes magnitudes com pelo menos 24h de antecedência.";"53000";"Centro Nacional de Monitoramento e Alertas de Desastres Naturais - CEMADEN/MCTI";"A entrega desta medida será a disponibilização de ferramenta automática que forneça previsões de riscos de extremos hidrológicos de curta duração (inundações bruscas e enxurradas), no website do Cemaden, para amplo uso. Como resultado, espera-se que Defesas Civis e a população possam ter acesso a informações de alta qualidade a respeito dos cenários de risco regionais com, pelo menos, 24h de antecedência. Este tipo de informação poderá antecipar ações antecipadas por parte dos orgãos locais/regionais para salvaguardar vidas e reduzir eventuais prejuízos financeiros, o que implica diretamente na redução de risco de desastres.";"Não";"";
2024;148;"2318";"1263";"0013";"06CF";"Elaboração de Protocolo de atuação conjunta entre a sala de situação do Estado e a sala de situação da ANA para caso de ocorrência de eventos hidrológicos críticos";"Elaboração de Protocolo de atuação conjunta entre a sala de situação do Estado e a sala de situação da ANA para caso de ocorrência de eventos hidrológicos críticos";"53000";"Agência Nacional de Águas e Saneamento Básico";"Aprimorar a capacidade institucional na gestão de risco de eventos hidrológicos críticos, e Promover a harmonização de indicadores utilizados na gestão de eventos hidrológicos críticos.";"Não";"";
2024;148;"2318";"1263";"0013";"07CA";"Elaboração do Plano Nacional de Proteção e Defesa Civil";"Elaboração do Plano Nacional de Proteção e Defesa Civil, que deverá organizar as iniciativas de redução de riscos de desastres, de maneira a otimizar recursos técnicos, orçamentários e financeiros, para responder aos desafios da proteção e defesa civil, direito constitucional da sociedade brasileira.";"53000";"Secretaria Nacional de Proteção e Defesa Civil";"Plano Nacional de Proteção e Defesa Civil publicado, orientando as iniciativas de redução de riscos de desastres.";"Sim";"Sim";
2024;148;"2318";"1263";"0013";"0528";"Expansão do banco de dados contendo variáveis sobre moradores e moradias em áreas de riscos de desastres (idade, sexo, alfabetização, rendimento, abastecimento de água, esgotamento sanitário, coleta de lixo e energia eletrica, para os municípos monitorados pelo CEMADEN";"Disponibilizar banco de dados atualizado sobre população exposta em áreas de risco de deslizamentos, inundações e enxurradas, a partir de dados do Censo 2022. A Base Territorial Estatística de Área de Risco (BATER) foi publicada em 2018 para um conjunto de 872 municípios, a perspectiva é ampliar para os 1038. A atualização permitirá traçar perfil das características da população em áreas de risco e será possível realizar estudos comparativos de áreas de risco nos municípios monitorados.";"53000";"Centro Nacional de Monitoramento e Alertas de Desastres Naturais";"Dados sobre população em áreas de risco podem orientar diversas ações de gestão de risco de desastres, seja em âmbito federal ou municipal. No contexto da prevenção, campanhas e ações educativas podem ser produzidas considerando faixas etárias específicas, além de exercícios simulados em escolas e comunidades. Tais dados podem ajudar a definir a evacuação de grupos prioritários, como idosos e crianças, especialmente em locais com maior concentração de pessoas expostas. Os planos de contingência também podem ser aprimorados com informações sobre os perfis da população exposta e otimizar, por exemplo, o planejamento de abrigos temporários. Na fase de reconstrução, as melhorias de infraestruturas podem ser contempladas de acordo com a presença de grupos com dificuldade de mobilidade, e.g. rampas de acesso com corrimãos para idosos.";"Não";"";
2024;148;"2318";"1263";"0013";"0525";"Expansão e disponibilização de plataforma de entrega de estatísticas sobre ocorrência de inundações e deslizamentos de terra com impactos associados, para os municípos monitorados pelo CEMADEN";"Plataforma que permita consulta e entrega de estatísticas e diagnóstico de ocorrências de inundações e deslizamentos de terra nos municípios monitorados pelo Cemaden. A base de dados compreende informações reportadas por orgãos oficiais e/ou provenientes de outras fontes, os quais atualmente constituem informação relevante para tomadas de decisão do envio de alertas, além de fornecer informações importantes para o avanço do conhecimento dos riscos e seus fatores condicionantes.";"53000";"Centro Nacional de Monitoramento e Alertas de Desastres Naturais - CEMADEN/MCTI";"Consulta e entrega de estatísticas e diagnóstico de ocorrências de inundações e deslizamentos de terra nos municípios monitorados pelo Cemaden, qualificadas quanto à sua fonte de informação, magnitude do impacto, rótulos de precisão (espacial e temporal), para uma série histórica que tenha início a partir de 2016, sempre atualizada até o tempo presente. Como resultado espera-se que estes dados venham a ser utilizados por diferentes usuários, mas especialmente àqueles do poder público e servir para o direcionamento de ações e políticas públicas de gestão de risco e desastres.";"Não";"";
2024;148;"2318";"1263";"0013";"0742";"Implantação do Sistema para monitoramento e emissão de alerta de tempo severo - nowcasting - implementação e capacitação (INPE/MCTI) ";"A previsão de curtíssimo prazo (em inglês, nowcasting) em geral contempla um tempo de previsão de até 6 horas. Esse tipo de previsão exige: procedimentos padronizados, produtos especializados, ferramenta ágil capaz de integrar os diferentes produtos provenientes de modelos numéricos de alta resolução, dados de satélites e radares meteorológicos, descargas atmosféricas, além das observações em superfície e altitude, e, principalmente, profissionais capacitados";"53000";"Instituto Nacional de Pesquisas Espaciais - INPE/MCTI";"'Espera-se como resultados: - Entrega de uma ferramenta ágil contendo todos os produtos necessários para o monitoramento e envio dos alertas de tempo severo, - Profissionais capacitados, capazes de enviar alertas precisos, - Base de dados mais completa, de forma a permitir o conhecimento da frequência de ocorrência dos eventos severos no país, distribuição espacial e temporal, - Um protocolo bem estabelecido de quais eventos devem ser alertados e de que forma. Com a aplicação do nowcasting espera-se reduzir os riscos e impactos causados por desastres naturais decorrentes de eventos meteorológicos severos, como tempestades localizadas com altos volumes de precipitação, granizos grandes, ventos intensos e tornados. As técnicas, produtos e ferramentas desenvolvidas auxiliarão previsores e tomadores de decisão na geração de avisos e alertas de tempo severo. Para entregar o que está sendo prosposto nesta Medida Institucional estima-se um investimento inicial (primeiro ano) de R$ 5 milhões, para contratação de pessoal e aquisição da infraestrutura, e um investimento anual de R$ 3 milhões para manutenção e aprimoramento do sistema.'";"Não";"";
2024;148;"2318";"1263";"0013";"07CB";"Instituição do Cadastro Nacional de municípios com áreas suscetíveis à ocorrência de deslizamentos de grande impacto, inundações bruscas ou processos geológicos ou hidrológicos correlatos";"Cadastro Nacional de Municípios instituído, apresentando mapeamento das áreas suscetíveis à ocorrência de deslizamentos de grande impacto, inundações bruscas ou processos geológicos ou hidrológicos correlatos. A partir dele espera-se que os entes e órgãos públicos o utilizem como base para a priorização de políticas públicas que possibilitem a redução dos riscos de desastres ou da população exposta a esses riscos.";"53000";"Secretaria Nacional de Proteção e Defesa Civil/MIDR";"Por meio da iniciativa espera-se o cumprimento de disposição legal vigente, na qual ficou estabelecida a instituição pelo Governo Federal de um cadastro de municípios com áreas suscetíveis à ocorrência de deslizamentos de grande impacto, inundações bruscas ou processos geológicos ou hidrológicos correlatos. O referido cadastro será composto por municípios que se inserem voluntariamente para compô-lo ou que são indicados por demais entes federados. A inclusão no cadastro implica em obrigações a serem desempenhadas pelos próprios municípios para a redução e mitigação dos riscos de desastres, e de suas consequências. A lei prevê que os Estados e a União apoiarão os municípios no cumprimento dessas obrigações, o que tornará o cadastro na referência para a definição da agenda governamental de investimentos pelos diversos órgãos de fomento no âmbito da Política Nacional de Proteção e Defesa Civil-PNPDEC. Para a instituição do cadastro, será efetuada a sistematização dos mapeamentos de risco de natureza hídrica ou hidrogeológica no país, e indicadores tais como histórico de desastres, tamanho de população em áreas de risco, vulnerabilidade social e mudanças climáticas, fornecerão subsídios adicionais para a priorização das ações governamentais nesses municípios.";"Não";"Sim";
2024;148;"2318";"1263";"0013";"07C8";"Orientação aos entes federados no uso do guia de diretrizes de proteção e prevenção à erosão costeira para obras, estudos e projetos referentes à proteção costeira";"Atualização e fomento aos entes federados no uso do Guia de Diretrizes de Prevenção e Proteção à Erosão Costeira para projetos, estudos e obras de proteção e prevenção para o combate de erosões costeiras. Elaborar estudos e/ou planos para se diagnosticar o problema com precisão, elaborar projetos de engenharia qualificados e específicos, e prestar subsídios a execução de obras.";"53000";"Secretaria Nacional de Proteção e Defesa Civil - SEDEC/MIDR";"Entes com técnicos capacitados no uso do guia de diretrizes de proteção e prevenção à erosão costeira e capazes de executar obras, estudos e projetos referentes à proteção costeira, Reduzir a vulnerabilidade das áreas urbanizadas ao fenômeno de erosão costeira,";"Não";"Sim";
2024;148;"2318";"1263";"0013";"07C7";"S2iD 4.0 - Revisão do pacote de gestão de ações apoiadas pela Secretaria Nacional de Proteção e Defesa Civil";"Consiste no desenvolvimento do S2ID 4.0, sistema utilizado para gestão das ações apoiadas pela Secretaria Nacional de Proteção e Defesa Civil. A medida consiste na revisão dos processos de trabalho dos eixos de atuação da Sedec atualmente existentes no sistema (Cadastro de Usuário, Monitoramento, Reconhecimento Federal, Resposta e Reconstrução), bem como implementar os eixos de Prevenção, Plano de Contingência e Cadastro Nacional de Municípios, além de capacitação continuada.";"53000";"Secretaria Nacional de Proteção e Defesa Civil";"S2ID 4.0 atualizado e com novos módulos implementados";"Não";"Sim";
2024;148;"2318";"1263";"0023";"07EA";"Acompanhamento da efetividade do abastecimento de água potável à população rural do semiárido submetida à seca por meio da Operação Carro Pipa.";"Trata-se do acompanhamento da efetividade da Operação Carro Pipa (OCP), que tem por finalidade o abastecimento de água potável para hidratação e cozimento nas áreas rurais dos municipios do semi-árido atingidos pela Seca. A OCP foi estabelecida por meio da Portaria MI/MD Nº 1 de 2012, e dispõem da mútua cooperação técnica financeira entre o MD e MIDR, sendo atribuição do MIDR: indicar ao Exército Brasileiro, os municípios que devem ser atendidos ppor meio da OCP e avaliar a efetividade da Operação, dentre outros, por sua vez, cabe ao MD, por meio do Exército Brasileiro (EB), realizar o planejamento e operacionalização da distribuição emergencial de água potável aos Municípios indicados pela Sedec, dentre outros. O acompanhamento será feito pela SEDEC a partir das demandas da inclusão de municipios feitas pela SEDEC ao Exército Brasileiro e o acompanhamento do efetivo atendimento, por meio dos Sistema de Monitoramento da OCP. o Acompanhamento avaliará a efetividade da Operação, ou seja: demanda x atendimento.";"53000";"Secretaria Nacional de Proteção e Defesa Civil";"Entrega de 20 litros água potável x dia x pessoa na área rural do semiárido submetida a seca, com impacto imediato à saúde dessa população.";"Não";"";
2024;148;"2318";"1263";"0023";"07EE";"Implantação de modelo de moradia embrião em situações pós-desastre ";"As situações de desastres ocorridas no país usualmente acarretam necessidade de promover o fornecimento de abrigo e moradia provisória, já que muitas unidades habitacionais ficam destruídas ou interditadas definitivamente. Contudo, o tempo decorrido entre a ocorrência do desastre e o acesso à nova moradia formal é muito longo no país, podendo chegar a 3, 4 anos. A SEDEC idealizou um projeto de moradia embrião, pré-fabricada no qual fornece desde os primeiros dias após o desastre ambiente seguro";"53000";"Secretaria Nacional de Proteção e Defesa Civil";"Com o desenvolvimento do projeto espera-se fornecer dignidade às famílias desabrigadas em função de desastres desde os primeiros dias de sua ocorrência. O projeto é desenvolvido visando obedecer as premissas técnicas de habitabilidade, fornecendo conforto e segurança. Os custos envolvidos por unidade habitacional serão similares aos de uma casa popular dos programas habitacionais vigentes no país, com a vantagem da celeridade e da mobilidade que o projeto permite.";"Não";"";
2024;148;"2318";"1263";"0023";"07EB";"Pactuação da Estratégia Federal de Preparação e Resposta aos Desastres";"A Estratégia Federal de Preparação e Resposta a Desastres visa estruturar a atuação dos órgãos e entidades da administração pública federal, que compõem o Sistema Federal de Proteção e Defesa Civil, para a preparação e para a resposta a desastres.";"53000";"Secretaria Nacional de Proteção e Defesa Civil";"Atuação coordenada dos atores do sistema, evitando sobreposição de ações ou vazios institucionais durante a preparação e a resposta aos desastres.";"Não";"";
2024;149;"1144";"1255";"0033";"08A2";"Publicar regulamento para identificação do direcionamento e segmentação do crédito rural em instrumentos privados de crédito";"Atualmente, o financiamento oferecido aos produtores rurais que não sejam realizados através do crédito rural (financiamento privado, operações de barter, títulos privados), não é registrado, portanto, não consegue ser mensurado nem há estatísticas a respeito. Assim, propõe-se o debate com o Banco Central acerca da viabilidade de registrar e disponibilizar tais informações.";"22000";"Secretaria de Política Agrícola";"Identificar a parcela de crédito privado direcionado ao público rural para contribuir com a Política de Crédito Agrícola";"Não";"";
