"Exercício";"Programa";"Objetivo";"Objetivo Específico";"Código Entrega";"Enunciado Entrega";"Plano Regional de Desenvolvimento";"Código - Ação Indicativa";"Descrição - Ação Indicativa";
2025;"1144";"1255";"0175";"0331";"Ampliar a sustentabilidade ambiental e da produção agropecuária.";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"1.1.3.1-AI";"Apoio a cadeia de Mel e derivados";
2025;"1144";"1255";"0175";"0331";"Ampliar a sustentabilidade ambiental e da produção agropecuária.";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"1.1.3.2-AI";"Apoio a cadeia do leite e derivados";
2025;"1144";"1255";"0175";"0331";"Ampliar a sustentabilidade ambiental e da produção agropecuária.";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"1.1.3.3-AI";"Apoio a Caprinoovinocultura";
2025;"1144";"1255";"0175";"0331";"Ampliar a sustentabilidade ambiental e da produção agropecuária.";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"1.1.3.4-AI";"Apoio a Bovinocultura";
2025;"1144";"1255";"0175";"0331";"Ampliar a sustentabilidade ambiental e da produção agropecuária.";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"1.1.3.5-AI";"Apoio a Rede Palma";
2025;"1144";"1255";"0175";"0331";"Ampliar a sustentabilidade ambiental e da produção agropecuária.";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"1.1.3.6-AI";"Apoio a atividades agropecuárias sustentáveis de convivência com o semiárido";
2025;"1144";"1255";"0175";"0331";"Ampliar a sustentabilidade ambiental e da produção agropecuária.";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"1.3.4.1-AI";"Apoiar projetos de bioeconomia e economia verde";
2025;"1617";"1305";"0513";"1896";"Eventos de formação para colaboradores indígenas que atuam na política de proteção a povos indígenas isolados e/ou de recente contato";"Plano Regional de Desenvolvimento da Amazônia - PRDA";"4.1.3.3-AI";"Promover e proteger os direitos dos povos indígenas isolados e de recente contato em todos os seus aspectos territoriais, sociais e culturais";
2025;"5118";"1331";"0453";"1571";"Soluções de radioterapia contempladas na 1ª Etapa do Plano de Expansão da Radioterapia (PER-SUS 1) concluídas (retomada e conclusão de obras).";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"6.1.2.1-AI";"Construção, ampliação, reforma e equipagem de unidades básicas de saúde, ambulatoriais e hospitalares ";
2025;"2322";"1256";"0499";"3451";"Empreendimentos referentes a Drenagem e Manejo de Águas Pluviais Urbanas não incluídos no Novo PAC";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"3.5.1.3-AI";"Implantar, ampliar ou melhorar sistemas de drenagem urbana ou manejo de águas pluviais";
2025;"2305";"1251";"0105";"2712";"Infovia 06 do Programa Norte Conectado";"Plano Regional de Desenvolvimento da Amazônia - PRDA";"3.1.4.3-AI";"Melhorar a prestação do serviço de internet na região ";
2025;"5816";"1313";"0190";"0648";"Escolas de formação continuada de Conselheiros Tutelares e demais atores do Sistema de Garantia de Direitos";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"6.2.2.1-AI";"Promover capacitações de agentes públicos e da sociedade para promover a valorização dos direitos humanos e da cultura da paz, com especial atenção à população em situação de rua, pessoa idosa, crianças e adolescentes, pessoas com deficiência, pessoas negras e indígenas, povos e comunidades tradicionais, pessoas LGBTQIA+, migrantes e refugiadas";
2025;"5816";"1313";"0190";"0649";"Equipagem de Conselhos Tutelares e Conselhos de Direitos da Criança e do Adolescente";"Plano Regional de Desenvolvimento da Amazônia - PRDA";"6.2.11.3-AI";"Apoiar a implementação do Programa Cidadania Marajó";
2025;"5816";"1313";"0190";"0649";"Equipagem de Conselhos Tutelares e Conselhos de Direitos da Criança e do Adolescente";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"6.4.1.2-AI";"Fornecer apoio logístico, capacitação e segurança para a atuação adequada dos conselhos de direitos da criança e do adolescente, dos conselhos tutelares, dos conselhos de assistência social e das demais instâncias de participação e controle social";
2025;"3101";"1262";"0009";"0114";"Número de novas unidades consumidoras da Subclasse Residencial Baixa Renda com acesso à energia proveniente de Micro e Mini Geração Distribuída, seja por geração na própria UC, autoconsumo remoto, geração compartilhada ou integrante de empreendimento de múltiplas UC (Unidades Consumidoras).";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"3.1.2.1-AI";"Ampliar da geração de energia centralizada";
2025;"5816";"1313";"0192";"0672";"Ampliação do acolhimento em família solidária para o atendimento de crianças e adolescentes incluídos(as) sem responsáveis legais no PPCAAM";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"6.4.1.3-AI";"Fomentar a cultura da paz, a parentalidade positiva, a não discriminação e a proteção de todas as crianças, independentemente de cor, raça, sexo, etnia ou quaisquer outras características que as vulnerabilizem, sobretudo nos contextos de maior risco, com a finalidade de combater preconceitos e promover um ambiente favorável ao desenvolvimento integral das crianças";
2025;"2322";"1256";"0409";"2213";"Implantação de Sistemas de Esgotamento Sanitário nos estados de Alagoas, Bahia, Maranhão, Minas Gerais, Pernambuco, Piauí e Sergipe";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"3.6.1.5-AI";"Implantação de sistemas simplificados de abastecimento de água, cisternas, dessalinizadores e perfuração de poços (pex: Água Para Todos e Programa Água Doce)";
2025;"5803";"1298";"0219";"0399";"Qualificação profissional em Economia Popular e Solidária para jovens negros";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"6.3.9.1-AI";"Fortalecer as ações do Plano para Juventude Negra Viva";
2025;"5803";"1298";"0219";"2190";"Apoio a projetos de Economia Popular e Solidária para jovens negros";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"6.3.9.1-AI";"Fortalecer as ações do Plano para Juventude Negra Viva";
2025;"5112";"1302";"0158";"0296";"Apoio a realização de obras (construção, ampliação e reforma) nas unidades de ensino da Rede Federal de Educação Profissional, Científica e Tecnológica.";"Plano Regional de Desenvolvimento do Centro-Oeste - PRDCO";"6.1.7.1-AI";"Apoiar a realização de obras (construção, ampliação e reforma) nas unidades de ensino da Rede Federal de Educação Profissional, Científica e Tecnológica";
2025;"5112";"1302";"0158";"0296";"Apoio a realização de obras (construção, ampliação e reforma) nas unidades de ensino da Rede Federal de Educação Profissional, Científica e Tecnológica.";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"2.1.2.1-AI";"Promover a ampliação e consolidar a infraestrutura da rede federal educação profissional, científico e tecnológica nos municiípios polo das regiões intermediárias";
2025;"5112";"1302";"0158";"0296";"Apoio a realização de obras (construção, ampliação e reforma) nas unidades de ensino da Rede Federal de Educação Profissional, Científica e Tecnológica.";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"7.3.3.1-AI";" Construir e qualificar centros de ensino técnico e profissionalizante";
2025;"5112";"1302";"0158";"0303";"Universalização de internet de alta velocidade nas unidades da Rede Federal de Educação Profissional, Científica e Tecnológica.";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"2.1.2.1-AI";"Promover a ampliação e consolidar a infraestrutura da rede federal educação profissional, científico e tecnológica nos municiípios polo das regiões intermediárias";
2025;"5112";"1302";"0184";"0355";"Ampliação do número de reconhecimento e certificações de saberes e experiências profissionais aos trabalhadores.";"Plano Regional de Desenvolvimento da Amazônia - PRDA";"6.1.2.2-AI";"Reconhecer e certificar saberes e experiências profissionais dos trabalhadores";
2025;"5112";"1302";"0166";"1130";"Ampliação do número de matrículas de cursos de Qualificação Profissional.";"Plano Regional de Desenvolvimento da Amazônia - PRDA";"6.1.2.1-AI";"Ofertar cursos técnicos e profissionalizantes alinhados com as demandas do mercado local";
2025;"5112";"1302";"0166";"1130";"Ampliação do número de matrículas de cursos de Qualificação Profissional.";"Plano Regional de Desenvolvimento do Centro-Oeste - PRDCO";"6.1.5.5-AI";"Apoiar a ampliação do número de matrículas de cursos de qualificação profissional";
2025;"5112";"1302";"0166";"1130";"Ampliação do número de matrículas de cursos de Qualificação Profissional.";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"7.3.3.2-AI";"Ampliar acesso a cursos de educação profissional de nível médio, qualificação profissional (FIC) e técnico";
2025;"5112";"1302";"0166";"1135";"Ampliação do número de matrículas de cursos Técnicos de Nível Médio, preferencialmente na forma integrada.";"Plano Regional de Desenvolvimento da Amazônia - PRDA";"6.1.2.1-AI";"Ofertar cursos técnicos e profissionalizantes alinhados com as demandas do mercado local";
2025;"5112";"1302";"0166";"1135";"Ampliação do número de matrículas de cursos Técnicos de Nível Médio, preferencialmente na forma integrada.";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"7.3.3.2-AI";"Ampliar acesso a cursos de educação profissional de nível médio, qualificação profissional (FIC) e técnico";
2025;"5112";"1302";"0166";"1140";"Ampliação do número de unidades da Rede Federal de Educação Profissional, Científica e Tecnológica, considerando os indicadores de equidade, fortalecendo sua interiorização.";"Plano Regional de Desenvolvimento do Centro-Oeste - PRDCO";"6.1.7.4-AI";"Apoiar a ampliação do número de unidades da Rede Federal de Educação Profissional, Científica e Tecnológica, considerando os indicadores de equidade, fortalecendo sua interiorização";
2025;"5112";"1302";"0166";"1140";"Ampliação do número de unidades da Rede Federal de Educação Profissional, Científica e Tecnológica, considerando os indicadores de equidade, fortalecendo sua interiorização.";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"2.1.2.1-AI";"Promover a ampliação e consolidar a infraestrutura da rede federal educação profissional, científico e tecnológica nos municiípios polo das regiões intermediárias";
2025;"5112";"1302";"0166";"2110";"Ampliação do número de Polos de Inovação e produção de tecnologias sociais nas instituições da Rede Federal de Educação Profissional Científica e Tecnológica.";"Plano Regional de Desenvolvimento da Amazônia - PRDA";"2.2.1.1-AI";"Promover parcerias com empresas e organizações, visando o fortalecimento de ecossistemas de inovação, projetos de empreendedorismo e inovação tecnológica e social alinhado às especificidades regionais";
2025;"5112";"1302";"0166";"2110";"Ampliação do número de Polos de Inovação e produção de tecnologias sociais nas instituições da Rede Federal de Educação Profissional Científica e Tecnológica.";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"2.1.2.1-AI";"Promover a ampliação e consolidar a infraestrutura da rede federal educação profissional, científico e tecnológica nos municiípios polo das regiões intermediárias";
2025;"5112";"1302";"0158";"0301";"Apoio à aquisição de equipamentos para as unidades de ensino da Rede Federal de Educação Profissional, Científica e Tecnológica.";"Plano Regional de Desenvolvimento do Centro-Oeste - PRDCO";"6.1.7.2-AI";"Apoiar a aquisição de equipamentos para as unidades de ensino da Rede Federal de Educação Profissional, Científica e Tecnológica";
2025;"5112";"1302";"0158";"0301";"Apoio à aquisição de equipamentos para as unidades de ensino da Rede Federal de Educação Profissional, Científica e Tecnológica.";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"2.1.2.1-AI";"Promover a ampliação e consolidar a infraestrutura da rede federal educação profissional, científico e tecnológica nos municiípios polo das regiões intermediárias";
2025;"5112";"1302";"0158";"0301";"Apoio à aquisição de equipamentos para as unidades de ensino da Rede Federal de Educação Profissional, Científica e Tecnológica.";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"7.3.3.1-AI";" Construir e qualificar centros de ensino técnico e profissionalizante";
2025;"5113";"1329";"0352";"0774";"Otimização da ocupação das vagas ofertadas pelas Instituições públicas de ensino superior por meio do sistema de seleção unificada (SISU)";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"7.2.1.1-AI";"Ampliar a oferta de cursos e vagas (modalidade presencial e à distância)";
2025;"5113";"1329";"0352";"0782";"Otimização da ocupação das bolsas ofertadas por meio do Programa Universidade para Todos (PROUNI)";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"7.2.1.1-AI";"Ampliar a oferta de cursos e vagas (modalidade presencial e à distância)";
2025;"5113";"1329";"0353";"0786";"Ampliação do número de bolsas para permanência de estudantes indígenas, quilombolas e em situação de vulnerabilidade econômica";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"7.2.1.2-AI";"Ampliar a oferta de subsídios/ações de assistência estudantil";
2025;"5113";"1329";"0354";"0797";"Fortalecimento da residência médica por meio do aumento da taxa de ocupação das vagas oferecidas pelo Ministério da Educação, com ênfase nas regiões com maior carência de profissionais";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"7.2.2.2-AI";"Ampliar a oferta de cursos e vagas em pós-graduação e residências";
2025;"5113";"1329";"0357";"0819";"Apoio à formação em nível de mestrado com a concessão de bolsas no país";"Plano Regional de Desenvolvimento do Centro-Oeste - PRDCO";"6.1.5.3-AI";"Apoiar a formação em nível de mestrado e/ ou doutorado com a concessão de bolsas";
2025;"5113";"1329";"0357";"0819";"Apoio à formação em nível de mestrado com a concessão de bolsas no país";"Plano Regional de Desenvolvimento da Amazônia - PRDA";"2.2.3.1-AI";"Apoiar programas de pós-graduação em áreas estratégicas para o desenvolvimento da região, como biotecnologia, tecnologia da informação e engenharia";
2025;"5113";"1329";"0357";"0821";"Apoio a editais que contemplem a incorporação de políticas de ações afirmativas";"Plano Regional de Desenvolvimento do Centro-Oeste - PRDCO";"6.1.5.3-AI";"Apoiar a formação em nível de mestrado e/ ou doutorado com a concessão de bolsas";
2025;"5113";"1329";"0358";"0823";"Apoio à mobilidade acadêmica internacional por meio de concessão de bolsas de doutorado.";"Plano Regional de Desenvolvimento do Centro-Oeste - PRDCO";"6.1.5.3-AI";"Apoiar a formação em nível de mestrado e/ ou doutorado com a concessão de bolsas";
2025;"5113";"1329";"0358";"0823";"Apoio à mobilidade acadêmica internacional por meio de concessão de bolsas de doutorado.";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"7.2.2.3-AI";"Ampliar a oferta de bolsas e demais incentivos para formação de doutores";
2025;"5113";"1329";"0358";"0826";"Apoio à formação em nível de doutorado com a concessão de bolsas no país";"Plano Regional de Desenvolvimento da Amazônia - PRDA";"2.2.3.1-AI";"Apoiar programas de pós-graduação em áreas estratégicas para o desenvolvimento da região, como biotecnologia, tecnologia da informação e engenharia";
2025;"5113";"1329";"0358";"0826";"Apoio à formação em nível de doutorado com a concessão de bolsas no país";"Plano Regional de Desenvolvimento do Centro-Oeste - PRDCO";"6.1.5.3-AI";"Apoiar a formação em nível de mestrado e/ ou doutorado com a concessão de bolsas";
2025;"5113";"1329";"0358";"0826";"Apoio à formação em nível de doutorado com a concessão de bolsas no país";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"7.2.2.3-AI";"Ampliar a oferta de bolsas e demais incentivos para formação de doutores";
2025;"5113";"1329";"0358";"0827";"Apoio à fixação de doutores em instituições de ensino superior localizadas em municípios com até 500 mil habitantes, priorizando as regiões Norte, Nordeste e Centro-Oeste, bem como as localidades de fronteira com os parceiros do Mercosul e da Organização do Tratado de Cooperação Amazônica (OTCA), por meio da concessão de bolsas de pós-doutorado no país e no exterior.";"Plano Regional de Desenvolvimento da Amazônia - PRDA";"2.2.3.3-AI";"Apoiar a qualificação dos profissionais da educação em ações de formação inicial e continuada visando a melhoria das práticas pedagógicas, da gestão escolar e do desenvolvimento integral do educando";
2025;"5113";"1329";"0358";"0827";"Apoio à fixação de doutores em instituições de ensino superior localizadas em municípios com até 500 mil habitantes, priorizando as regiões Norte, Nordeste e Centro-Oeste, bem como as localidades de fronteira com os parceiros do Mercosul e da Organização do Tratado de Cooperação Amazônica (OTCA), por meio da concessão de bolsas de pós-doutorado no país e no exterior.";"Plano Regional de Desenvolvimento do Centro-Oeste - PRDCO";"6.1.5.3-AI";"Apoiar a formação em nível de mestrado e/ ou doutorado com a concessão de bolsas";
2025;"5113";"1329";"0358";"0827";"Apoio à fixação de doutores em instituições de ensino superior localizadas em municípios com até 500 mil habitantes, priorizando as regiões Norte, Nordeste e Centro-Oeste, bem como as localidades de fronteira com os parceiros do Mercosul e da Organização do Tratado de Cooperação Amazônica (OTCA), por meio da concessão de bolsas de pós-doutorado no país e no exterior.";"Plano Regional de Desenvolvimento do Nordeste - PRDNE";"7.2.2.1-AI";"Promover e atrair doutores e pesquisadores para atuar nas IFES";
