"Exercício";"Programa";"Ação Não-Orçamentária";"Título";"Descrição";"Tipo";"Responsável pela informação";"Tributo";"Valor Total";"Valor Previsto para o 1o. Ano do PPA";"Valor Previsto para o 2o. Ano do PPA";"Valor Previsto para o 3o. Ano do PPA";"Valor Previsto para o 4o. Ano do PPA";"Valor Previsto para 2028";"Produto";"Especificação do Produto";"Unidade de Medida";"Meta Física";"Função";"Subfunção";"Início da  Vigência";"Término da vigência";"Vigência indeterminada";"Fonte dos Dados";"Base Legal";"Tipo de beneficiário";"Descrição do beneficiário";"Total de beneficiários previstos 1° Ano de PPA";"Total de beneficiários previstos 2° Ano de PPA";"Total de beneficiários previstos 3° Ano de PPA";"Total de beneficiários previstos 4° Ano de PPA";
2025;"1144";"010F";;"Agricultura e Agroindústria - Defensivos agrícolas - Agricultura - Redução a zero das alíquotas do PIS e COFINS sobre importação ou venda no mercado interno de defensivos agropecuários classificados na posição 38.08 da TIPI e suas matérias-primas.";"Subsídio Tributário";"31000";"Outros";27.210.009.077,90;6.235.200.675,40;6.609.494.874,53;6.970.804.212,31;7.394.509.315,67;;;;;;"";"";;;"";;;"";;;;;;
2025;"3107";"010E";;"Aerogeradores - Energia - Redução a zero das alíquotas do PIS/COFINS incidentes sobre receita decorrente da venda no mercado interno e importação de partes de aerogeradores (NCM 8503.00.90 EX01, exceto pás eólicas).";"Subsídio Tributário";"31000";"Outros";937.795.265,44;214.896.718,91;227.796.800,16;240.249.357,06;254.852.389,30;;;;;;"";"";;;"";;;"";;;;;;
2025;"3102";"010H";;"Água Mineral - Saúde - Redução a zero das alíquotas de PIS/COFINS sobre a receita de venda de águas minerais comercializadas em recipientes com capacidade nominal inferior a 10 (dez) litros ou igual ou superior a 10 (dez) litros classificadas no código 2201.10.00 Ex 01 e Ex 02 da Tipi.";"Subsídio Tributário";"31000";"Outros";1.445.596.518,48;331.259.881,71;351.145.152,22;370.340.571,06;392.850.913,50;;;;;;"";"";;;"";;;"";;;;;;
2025;"5133";"010G";;"Agricultura e Agroindústria - Desoneração Cesta Básica - Agricultura - Redução a zero das alíquotas do PIS e COFINS sobre importação ou venda no mercado interno de: adubos, fertilizantes e suas matérias-primas, sementes e mudas, corretivo de solo, feijão, arroz, farinha de mandioca e batata-doce, inoculantes agrícolas, vacina veterinária, milho, pintos de 1 (um) dia, leite, bebidas lácteas, queijos, soro de leite, farinha de trigo, trigo, pão, produtos hortículas, frutas e ovos, sementes e embriões, acetona, massas alimentícias, carne bovina, suína, ovina, caprina, ave, peixe, café, açúcar, óleo de soja, manteiga, margarina, sabão, pasta de dente, fio dental, papel higiênico. Crédito presumido para agroindústria na compra de insumos de produtor pessoa física, cooperativas, produtor pessoa jurídica.";"Subsídio Tributário";"31000";"Outros";161.257.404.460,61;36.952.294.809,14;39.170.512.042,47;41.311.775.790,36;43.822.821.818,63;;;;;;"";"";;;"";;;"";;;;;;
2025;"2317";"010I";;"Amazônia Ocidental - Agricultura - Isenção do AFRMM para mercadorias que sejam destinadas ao consumo ou industrialização na Amazônia Ocidental, excluídas armas, munições, fumo, bebidas alcoólicas, perfumes, veículos de carga, automóveis de passageiros e granéis líquidos.";"Subsídio Tributário";"31000";"Outros";250.683.862,95;57.444.456,82;60.892.802,45;64.221.519,47;68.125.084,21;;;;;;"";"";;;"";;;"";;;;;;
2025;"2317";"010J";;"Amazônia Ocidental - Comércio e Serviço - Isenção do AFRMM para mercadorias que sejam destinadas ao consumo ou industrialização na Amazônia Ocidental, excluídas armas, munições, fumo, bebidas alcoólicas, perfumes, veículos de carga, automóveis de passageiros e granéis líquidos.";"Subsídio Tributário";"31000";"Outros";3.659.984.399,11;838.689.069,60;889.034.915,70;937.634.184,29;994.626.229,52;;;;;;"";"";;;"";;;"";;;;;;
2025;"2317";"010K";;"Amazônia Ocidental - Indústria - Isenção do AFRMM para mercadorias que sejam destinadas ao consumo ou industrialização na Amazônia Ocidental, excluídas armas, munições, fumo, bebidas alcoólicas, perfumes, veículos de carga, automóveis de passageiros e granéis líquidos.";"Subsídio Tributário";"31000";"Outros";1.103.008.996,99;252.755.610,02;267.928.330,76;282.574.685,68;299.750.370,54;;;;;;"";"";;;"";;;"";;;;;;
2025;"5119";"010O";;"Assistência Médica, Odontológica e Farmacêutica a Empregados - Saúde - Dedução, como despesa operacional, dos gastos realizados pelas empresas com serviços de assistência médica, odontológica, farmacêutica e social, destinados indistintamente a todos os seus empregados e dirigentes.";"Subsídio Tributário";"31000";"Outros";56.935.548.778,87;13.046.837.697,99;13.830.029.117,40;14.586.050.380,27;15.472.631.583,20;;;;;;"";"";;;"";;;"";;;;;;
2025;"2317";"010N";;"Áreas de Livre Comércio - Comércio e Serviço - Tabatinga-AM, Guajará-Mirim-RO, Pacaraima e Bonfim-RR , Macapá/Santana-AP e Brasiléia e Cruzeiro do Sul-AC. Isenção do imposto na entrada de produtos nacionais ou nacionalizados, quando destinados a consumo beneficiamento, estocagem ou industrialização com exceção de armas e munições, veículos de passageiros, bebidas alcoólicas, produtos de perfumaria e toucador , fumo e derivados. Isenção do imposto incidente sobre os produtos industrializados nas Áreas de Livre Comércio, destinados a consumo interno ou comercialização para outros pontos do território nacional, desde que os produtos tenham em sua composição final preponderância de matérias-primas de origem regional, provenientes dos segmentos animal, vegetal, mineral, exceto os minérios do Capítulo 26 da Nomenclatura Comum do Mercosul - NCM, ou agrossilvopastoril, observada a legislação ambiental pertinente e conforme definido em regulamento. Tabatinga-AM, Guajará-Mirim-RO, Pacaraima e Bonfim-RR , Macapá/Santana-AP e Brasiléia e Cruzeiro do Sul-AC. Isenção do imposto na entrada de mercadorias estrangeiras, quando destinadas a consumo e venda internos, beneficiamento de pescado, recursos minerais e matérias-primas agrícolas ou florestais, agricultura e piscicultura, a turismo, a estocagem para exportação, para construção e reparos navais e para internação como bagagem acompanhada, com exceção de armas e munições, fumo, bebidas alcoólicas, automóveis de passageiros, produtos de perfumaria e cosméticos. Tabatinga-AM, Guajará-Mirim-RO, Pacaraima e Bonfim-RR , Macapá/Santana-AP e Brasiléia e Cruzeiro do Sul-AC. Isenção do imposto na entrada de mercadorias estrangeiras, quando destinadas a consumo e venda internos, beneficiamento de pescado, recursos minerais e matérias-primas agrícolas ou florestais, agricultura e piscicultura, a turismo, a estocagem para exportação, para construção e reparos navais e para internação como bagagem acompanhada, com exceção de armas e munições, fumo, bebidas alcoólicas, automóveis de passageiros, produtos de perfumaria e cosméticos.";"Subsídio Tributário";"31000";"Outros";2.716.810.091,34;613.666.364,06;656.474.191,52;697.672.771,73;748.996.764,02;;;;;;"";"";;;"";;;"";;;;;;
2025;"2314";"010L";;"Aposentadoria de Declarante com 65 Anos ou Mais - Assistência Social - Isenção do Imposto de Renda da Pessoa Física, de parcela definida em lei, dos rendimentos provenientes de aposentadoria e pensão, de transferência para a reserva remunerada ou de reforma pagos pela Previdência Social da União, dos Estados, do Distrito Federal e dos Municípios, por qualquer pessoa jurídica de direito público interno ou por entidade de previdência privada, a partir do mês em que o contribuinte completar 65 (sessenta e cinco) anos de idade, sem prejuízo da parcela isenta prevista na tabela de incidência mensal do imposto.";"Subsídio Tributário";"31000";"Outros";64.060.374.885,75;15.096.416.092,88;15.710.180.538,88;16.310.899.470,84;16.942.878.783,15;;;;;;"";"";;;"";;;"";;;;;;
2025;"5119";"010X";;"Despesas Médicas - Saúde - Dedução da base de cálculo do IRPF das despesas com médicos, dentistas, psicólogos, fisioterapeutas, terapeutas ocupacionais, fonoaudiólogos, hospitais, e com exames laboratoriais e serviços radiológicos, aparelhos ortopédicos e próteses ortopédicas e dentárias.";"Subsídio Tributário";"31000";"Outros";110.793.305.288,76;26.109.460.644,39;27.170.974.751,39;28.209.926.461,25;29.302.943.431,72;;;;;;"";"";;;"";;;"";;;;;;
2025;"5131";"0119";;"Entidades sem Fins Lucrativos - Associação Civil - Assistência Social - Isenção do Imposto de Renda, da CSLL, da COFINS para as instituições de caráter filantrópico, recreativo, cultural e científico e as associações civis que prestem os serviços para os quais houverem sido instituídas e os coloquem à disposição do grupo de pessoas a que se destinam, sem fins lucrativos, que atendam às exigências estabelecidas em lei.";"Subsídio Tributário";"31000";"Outros";19.845.111.633,91;4.547.527.092,29;4.820.511.571,80;5.084.025.785,34;5.393.047.184,49;;;;;;"";"";;;"";;;"";;;;;;
2025;"5111";"010V";;"Despesas com Educação - Educação - Dedução da base de cálculo do IRPF das despesas com instrução do contribuinte e de seus dependentes, até o limite estabelecido em lei, efetuados a estabelecimentos de ensino, relativamente à educação infantil, compreendendo as creches e as pré-escolas, ao ensino fundamental, ao ensino médio, à educação superior, compreendendo os cursos de graduação e de pós-graduação (mestrado, doutorado e especialização), e à educação profissional, compreendendo o ensino técnico e o tecnológico.";"Subsídio Tributário";"31000";"Outros";22.241.254.661,71;5.241.356.070,73;5.454.450.224,02;5.663.015.078,19;5.882.433.288,76;;;;;;"";"";;;"";;;"";;;;;;
2025;"3103";"010T";;"Biodiesel - Energia - Redução das alíquotas do PIS/COFINS sobre a venda de biodiesel pela aplicação de coeficientes de redução definidos pelo Poder Executivo. Crédito presumido de PIS/COFINS calculado sobre o valor das matérias-primas adquiridas de pessoa física, de cooperado pessoa física, de pessoa jurídica que exerça atividade agropecuária, de cooperativa de produção agropecuária ou de cerealista e utilizados como insumo na produção de biodiesel. Suspensão do PIS/COFINS sobre a venda de matéria-prima in natura de origem vegetal, destinada à produção de biodiesel.";"Subsídio Tributário";"31000";"Outros";543.554.434,19;124.556.039,86;132.033.041,10;139.250.653,27;147.714.699,97;;;;;;"";"";;;"";;;"";;;;;;
2025;"2314";"010S";;"Benefícios Previdênciários e FAPI - Trabalho - Benefícios Previdênciários, dedução do IRPJ e da CSLL, como despesa operacional, dos gastos realizados com contribuições, não compulsórias destinada a custear planos de benefícios complementares assemelhados aos da previdência social, instituídos em favor dos empregados e dirigentes da pessoa jurídica. Fundo de Aposentadoria Programada Individual - FAPI, dedução do IRPJ e da CSLL, como despesa operacional, do valor das quotas adquiridas em favor de seus empregados ou administradores, do FAPI, desde que o plano atinja, no mínimo, 50% dos seus empregados.";"Subsídio Tributário";"31000";"Outros";6.443.394.482,89;1.476.510.261,96;1.565.144.013,27;1.650.702.918,71;1.751.037.288,96;;;;;;"";"";;;"";;;"";;;;;;
2025;"5811";"010R";;"Automóveis - Pessoas Portadoras de Deficiência - Assistência Social - Isenção do IPI na aquisição de automóveis por pessoas portadoras de deficiência física, visual, mental severa ou profunda, ou autistas. Isenção do imposto na operação de crédito para a aquisição de automóveis por pessoas portadoras de deficiência física.";"Subsídio Tributário";"31000";"Outros";4.705.999.204,76;1.308.028.173,53;1.515.617.281,17;1.717.552.837,74;164.800.912,33;;;;;;"";"";;;"";;;"";;;;;;
2025;"5118";"0117";;"Entidades Filantrópicas - Saúde - Isenção da Contribuição Social para o PIS-PASEP para as entidades beneficentes de assistência social. Isenção da Contribuição Previdenciária Patronal para as entidades beneficentes de assistência social.";"Subsídio Tributário";"31000";"Outros";46.401.728.193,22;10.934.993.706,84;11.379.570.109,16;11.814.697.075,73;12.272.467.301,49;;;;;;"";"";;;"";;;"";;;;;;
2025;"5501";"0111";;"Dona de Casa - Assistência Social - Redução da alíquota (5%) da contribuição previdenciária do segurado facultativo sem renda própria que se dedique exclusivamente ao trabalho doméstico no âmbito de sua residência, desde que pertencente a família de baixa renda.";"Subsídio Tributário";"31000";"Outros";1.640.783.359,58;386.665.678,41;402.386.074,86;417.772.335,54;433.959.270,77;;;;;;"";"";;;"";;;"";;;;;;
2025;"5663";"0114";;"Empresa cidadã - Trabalho - Dedução do imposto devido do total da remuneração integral paga à empregados, durante os 60 dias de prorrogação da licença maternidade ou 15 dias de prorrogação da licença paternidade.";"Subsídio Tributário";"31000";"Outros";1.381.663.564,27;316.609.581,59;335.615.406,09;353.961.888,30;375.476.688,30;;;;;;"";"";;;"";;;"";;;;;;
2025;"5118";"0118";;"Entidades sem Fins Lucrativos - Assistência Social e Saúde - Saúde - Imunidade do Imposto de Renda, da CSLL, da COFINS da Contribuição Previdenciária Patronal para as entidades beneficentes de assistencia social, sem fins lucrativos, que atendam às exigências estabelecidas em lei.";"Subsídio Tributário";"31000";"Outros";35.125.394.436,38;8.049.019.112,28;8.532.195.407,52;8.998.609.548,24;9.545.570.368,34;;;;;;"";"";;;"";;;"";;;;;;
2025;"5111";"0116";;"Entidades Filantrópicas - Educação - Isenção da Contribuição Social para o PIS-PASEP para as entidades beneficentes de assistência social. Isenção da Contribuição Previdenciária Patronal para as entidades beneficentes de assistência social.";"Subsídio Tributário";"31000";"Outros";17.221.731.637,16;4.058.459.337,74;4.223.461.284,68;4.384.956.128,47;4.554.854.886,27;;;;;;"";"";;;"";;;"";;;;;;
2025;"5113";"010Z";;"Doações a Instituições de Ensino e Pesquisa - Educação - Dedução, como despesa operacional, das doações até o limite de 1,5% (um e meio por cento) do lucro operacional, efetuadas às instituições de ensino e pesquisa cuja criação tenha sido autorizada por lei federal e que preencham os requisitos dos incisos I e II do art. 213 da Constituição Federal, de 1988, que são: a) comprovação de finalidade não-lucrativa e aplicação dos excedentes financeiros em educação, b) assegurar a destinação do seu patrimônio a outra escola comunitária, filantrópica ou confessional, ou ao Poder Público, no caso de encerramento de suas atividades.";"Subsídio Tributário";"31000";"Outros";330.318.626,93;75.692.842,29;80.236.624,16;84.622.775,00;89.766.385,49;;;;;;"";"";;;"";;;"";;;;;;
2025;"2317";"011N";;"Fundos Constitucionais - Comércio e Serviço - Isenção do imposto para a operação de crédito com recursos dos Fundos Constitucionais de Financiamento do Norte (FNO), do Nordeste (FNE), e do Centro-Oeste (FCO).";"Subsídio Tributário";"31000";"Outros";5.052.346.511,40;1.157.750.234,12;1.227.249.071,32;1.294.336.883,27;1.373.010.322,69;;;;;;"";"";;;"";;;"";;;;;;
2025;"5131";"0110";;"Doações de Bens para Entidades Filantrópicas - Assistência Social - Isenção do AFRMM para bens sem interesse comercial, doados a entidades filantrópicas, desde que o donatário os destine, total e exclusivamente, a obras sociais e assistenciais gratuitamente prestadas.";"Subsídio Tributário";"31000";"Outros";627.411,28;143.771,92;152.402,43;160.733,54;170.503,38;;;;;;"";"";;;"";;;"";;;;;;
2025;"5131";"0115";;"Entidades Filantrópicas - Assistência Social - Isenção da Contribuição Social para o PIS-PASEP para as entidades beneficentes de assistência social. Isenção da Contribuição Previdenciária Patronal para as entidades beneficentes de assistência social.";"Subsídio Tributário";"31000";"Outros";10.922.458.640,01;2.573.977.762,09;2.678.626.178,34;2.781.050.300,90;2.888.804.398,69;;;;;;"";"";;;"";;;"";;;;;;
2025;"1144";"011K";;"Exportação da Produção Rural - Agricultura - Não incidência da contribuição social sobre receitas de exportações do setor rural (agroindústria e produtor rural pessoa jurídica).";"Subsídio Tributário";"31000";"Outros";44.252.018.840,91;10.533.408.014,36;10.820.268.957,37;11.240.365.162,22;11.657.976.706,97;;;;;;"";"";;;"";;;"";;;;;;
2025;"5131";"011E";;"Entidades sem Fins Lucrativos - Filantrópica - Assistência Social - Isenção do Imposto de Renda, da CSLL, da COFINS para as instituições de caráter filantrópico, recreativo, cultural e científico e as associações civis que prestem os serviços para os quais houverem sido instituídas e os coloquem à disposição do grupo de pessoas a que se destinam, sem fins lucrativos, que atendam às exigências estabelecidas em lei.";"Subsídio Tributário";"31000";"Outros";18.021.472.778,63;4.129.638.432,66;4.377.537.384,16;4.616.836.326,57;4.897.460.635,24;;;;;;"";"";;;"";;;"";;;;;;
2025;"5120";"011G";;"Equipamentos para uso médico, hospitalar, clínico ou laboratorial - Saúde - Redução a zero das alíquotas do PIS/COFINS incidentes sobre a receita decorrente da venda de equipamentos ou materiais destinados a uso médico, hospitalar, clínico ou laboratorial, quando adquiridos: I - pela União, Estados, Distrito Federal ou Municípios, bem como pelas suas autarquias e fundações, ou II - por entidades beneficentes de assistência social.";"Subsídio Tributário";"31000";"Outros";111.699.118,06;25.595.964,13;27.132.469,75;28.615.671,55;30.355.012,62;;;;;;"";"";;;"";;;"";;;;;;
2025;"5125";"011C";;"Entidades sem Fins Lucrativos - Cultural - Cultura - Isenção do Imposto de Renda, da CSLL, da COFINS para as instituições de caráter filantrópico, recreativo, cultural e científico e as associações civis que prestem os serviços para os quais houverem sido instituídas e os coloquem à disposição do grupo de pessoas a que se destinam, sem fins lucrativos, que atendam às exigências estabelecidas em lei.";"Subsídio Tributário";"31000";"Outros";497.130.359,33;113.917.916,87;120.756.319,95;127.357.487,94;135.098.634,57;;;;;;"";"";;;"";;;"";;;;;;
2025;"2304";"011H";;"Evento Esportivo, Cultural e Científico - Ciência e Tecnologia - Isenção do II incidente na importação de troféus, medalhas, placas, estatuetas, distintivos, flâmulas, bandeiras e outros objetos comemorativos recebidos em evento cultural, científico ou esportivo oficial realizado no exterior ou para serem distribuídos gratuitamente como premiação em evento esportivo realizado no País, bens dos tipos e em quantidades normalmente consumidos em evento esportivo oficial, material promocional, impressos, folhetos e outros bens com finalidade semelhante, a serem distribuídos gratuitamente ou utilizados em evento esportivo oficial, bens importados por desportistas, desde que tenham sido utilizados por estes em evento esportivo oficial e recebidos em doação de entidade de prática desportiva estrangeira ou da promotora ou patrocinadora do evento. Isenção do IPI-Vinculado incidente na importação de troféus, medalhas, placas, estatuetas, distintivos, flâmulas, bandeiras e outros objetos comemorativos recebidos em evento cultural, científico ou esportivo oficial realizado no exterior ou para serem distribuídos gratuitamente como premiação em evento esportivo realizado no País, bens dos tipos e em quantidades normalmente consumidos em evento esportivo oficial, material promocional, impressos, folhetos e outros bens com finalidade semelhante, a serem distribuídos gratuitamente ou utilizados em evento esportivo oficial, bens importados por desportistas, desde que tenham sido utilizados por estes em evento esportivo oficial e recebidos em doação de entidade de prática desportiva estrangeira ou da promotora ou patrocinadora do evento. Isenção do PIS/Cofins incidente na importação de troféus, medalhas, placas, estatuetas, distintivos, flâmulas, bandeiras e outros objetos comemorativos recebidos em evento cultural, científico ou esportivo oficial realizado no exterior ou para serem distribuídos gratuitamente como premiação em evento esportivo realizado no País, bens dos tipos e em quantidades normalmente consumidos em evento esportivo oficial, material promocional, impressos, folhetos e outros bens com finalidade semelhante, a serem distribuídos gratuitamente ou utilizados em evento esportivo oficial, bens importados por desportistas, desde que tenham sido utilizados por estes em evento esportivo oficial e recebidos em doação de entidade de prática desportiva estrangeira ou da promotora ou patrocinadora do evento. Isenção da CIDE-Combustíveis incidente na importação de troféus, medalhas, placas, estatuetas, distintivos, flâmulas, bandeiras e outros objetos comemorativos recebidos em evento cultural, científico ou esportivo oficial realizado no exterior ou para serem distribuídos gratuitamente como premiação em evento esportivo realizado no País, bens dos tipos e em quantidades normalmente consumidos em evento esportivo oficial, material promocional, impressos, folhetos e outros bens com finalidade semelhante, a serem distribuídos gratuitamente ou utilizados em evento esportivo oficial, bens importados por desportistas, desde que tenham sido utilizados por estes em evento esportivo oficial e recebidos em doação de entidade de prática desportiva estrangeira ou da promotora ou patrocinadora do evento.";"Subsídio Tributário";"31000";"Outros";3.685.148,49;756.219,52;855.627,68;967.770,70;1.105.530,60;;;;;;"";"";;;"";;;"";;;;;;
2025;"5837";"011A";;"Entidades sem Fins Lucrativos - Associação Civil - Direitos da Cidadania - Isenção do Imposto de Renda, da CSLL, da COFINS para as instituições de caráter filantrópico, recreativo, cultural e científico e as associações civis que prestem os serviços para os quais houverem sido instituídas e os coloquem à disposição do grupo de pessoas a que se destinam, sem fins lucrativos, que atendam às exigências estabelecidas em lei.";"Subsídio Tributário";"31000";"Outros";0,04;0,01;0,01;0,01;0,01;;;;;;"";"";;;"";;;"";;;;;;
2025;"5111";"011D";;"Entidades sem Fins Lucrativos - Educação - Educação - Imunidade do Imposto de Renda, da CSLL, da COFINS da Contribuição Previdenciária Patronal para as entidades beneficentes de assistencia social, sem fins lucrativos, que atendam às exigências estabelecidas em lei.";"Subsídio Tributário";"31000";"Outros";22.592.822.621,83;5.177.167.801,29;5.487.949.118,01;5.787.948.936,34;6.139.756.766,20;;;;;;"";"";;;"";;;"";;;;;;
2025;"2314";"011R";;"Funrural - Agricultura - Redução para 1,2% da Contribuição destinada à Seguridade Social Rural de que trata o artigo 25 da Lei n° 8.212/1991.";"Subsídio Tributário";"31000";"Outros";14.668.978.459,09;3.456.879.590,09;3.597.423.529,35;3.734.980.218,47;3.879.695.121,18;;;;;;"";"";;;"";;;"";;;;;;
2025;"2317";"011M";;"Fundos Constitucionais - Agricultura - Isenção do imposto para a operação de crédito com recursos dos Fundos Constitucionais de Financiamento do Norte (FNO), do Nordeste (FNE), e do Centro-Oeste (FCO).";"Subsídio Tributário";"31000";"Outros";336.862.419,48;77.192.358,87;81.826.155,54;86.299.198,43;91.544.706,65;;;;;;"";"";;;"";;;"";;;;;;
2025;"2320";"011L";;"Financiamentos Habitacionais - Habitação - Isenção do imposto para operação de crédito para fins habitacionais, inclusive a destinada à infra-estrutura e saneamento básico relativos a programas ou projetos que tenham a mesma finalidade.";"Subsídio Tributário";"31000";"Outros";31.747.483.312,48;7.274.967.414,58;7.711.677.994,38;8.133.238.389,27;8.627.599.514,25;;;;;;"";"";;;"";;;"";;;;;;
2025;"5125";"011W";;"Indústria Cinematográfica e Radiodifusão - Cultura - Redução a zero das alíquotas do PIS/COFINS na importação de máquinas, equipamentos, aparelhos, instrumentos, suas partes e peças de reposição, e películas cinematográficas virgens, sem similar nacional, destinados à indústria cinematográfica e audiovisual, e de radiodifusão. Redução a zero das alíquotas do PIS/COFINS na venda no mercado interno ou importação de projetores para exibição cinematográfica, classificados no código 9007.2 da NCM, e suas partes e acessórios, classificados no código 9007.9 da NCM.";"Subsídio Tributário";"31000";"Outros";87.840.509,87;20.128.740,31;21.337.052,78;22.503.446,96;23.871.269,82;;;;;;"";"";;;"";;;"";;;;;;
