"Exercício";"Programa";"Objetivo";"Objetivo Específico";"Enunciado";"Descrição";"Órgão";
2024;"5116";"1250";"0300";"Fortalecer a articulação para o combate à corrupção e à lavagem de dinheiro";"Fortalecimento da articulação dos órgãos federais, estaduais e municipais envolvidos no combate à corrupção e à lavagem de dinheiro";"30000 - Ministério da Justiça e Segurança Pública";
2024;"5116";"1250";"0401";"Aprimorar a governança e ampliar a integração das instituições de segurança pública.";"A implementação do Sistema Único de Segurança Pública está diretamente relacionada a capacidade de governança e integração de suas instituições. Neste sentido, o objetivo específico visa contribuir para a efetivação do Sistema Único de Segurança Pública - SUSP, promovendo a melhoria das relações interinstitucionais e interfederativas, e, por conseguinte, melhoria na gestão e aplicação dos recursos públicos federais.";"30000 - Ministério da Justiça e Segurança Pública";
2024;"5116";"1250";"0421";"Fortalecer a valorização profissional e melhorar a qualidade de vida e as condições de saúde biopsicossocial dos profissionais de segurança pública.";"A promoção da dignidade do profissional de segurança pública é um ponto que deve ser considerado não apenas para o bom funcionamento do SUSP e melhoria do atendimento prestado à população, mas também pela questão humana. Esse objetivo específico chama atenção para as necessidades do indivíduo, que se soma as necessidades do profissional responsável pela proteção e defesa da sociedade.";"30000 - Ministério da Justiça e Segurança Pública";
2024;"5116";"1250";"0445";"Fortelecer a atuação das instituições de segurança pública no enfrentamento a criminalidade.";"O enfrentamento a criminalidade está entre os principais objetivos da segurança pública contemporânea. Os crimes são compostos por inúmeras variáveis que precisam ser consideradas na escolha de soluções. Ainda é preciso compreender as competências de todas esferas de Poder, bem como dos entes federados, para atuar de forma legal, respeitando os limites definidos pela lei. Assim, em alguma medida, as iniciativas do Governo Federal caminham no sentido de gerar efeito nos índices de criminalidade.";"30000 - Ministério da Justiça e Segurança Pública";
2024;"5116";"1250";"0402";"Promover a segurança cidadã e a cultura de paz, com foco na prevenção da violência contra grupos de pessoas vulneráveis.";"A segurança cidadã amplia a ideia de segurança pública, ainda muito percebida apenas pelas ações das forças policiais. Essa abordagem envolve a perspectiva de atuação integral, localizada e participativa na construção de uma cultura de paz. Assim, o objetivo específico destaca a importância das ações de prevenção das violências e dá visibilidade a grupos vulnerabilizados, que em grande medida, são as maiores vítimas da violência..";"30000 - Ministério da Justiça e Segurança Pública";
2024;"2305";"1251";"0097";"Apoiar a pesquisa, o desenvolvimento e a inovação em telecomunicações.";"Estimular o processo de inovação tecnológica, incentivar a capacitação de recursos humanos, fomentar a geração de empregos e promover o acesso de pequenas e médias empresas a recursos de capital, de modo a ampliar a competitividade da indústria brasileira de telecomunicações";"41000 - Ministério das Comunicações";
2024;"2305";"1251";"0105";"Promover a inclusão digital e a conectividade significativa";"Garantir à população o acesso às redes de telecomunicações, sistemas e serviços baseados em tecnologias da informação e comunicação - TIC, observadas as desigualdades sociais e regionais, com vistas à conectividade significativa.";"41000 - Ministério das Comunicações";
2024;"2305";"1251";"0151";"Promover o desenvolvimento das habilidades digitais da sociedade.";"Promover o desenvolvimento/aprimoramento das habilidades digitais da sociedade.";"41000 - Ministério das Comunicações";
2024;"2305";"1251";"0232";"Ampliar a segurança das comunicações de agentes do Estado pela exploração da Rede Privativa de Comunicação da Administração Pública Federal (RPCAPF), com criptografia de Estado.";"Implantação de rede complementar à Rede Telebras, com segmentos de Rede Móvel e Fixa para atendimento à Administração Pública Federal, e a implementação de uma camada adicional de segurança a estas redes, por meio de criptografia de estado em hardware e software, garantindo o sigilo das comunicações estratégicas de estado.";"41000 - Ministério das Comunicações";
2024;"2305";"1251";"0294";"Promover o acesso universal ao atendimento dos serviços postais básicos, viabilizando o suprimento das necessidades da sociedade.";"Promover o acesso universal ao atendimento dos serviços postais básicos, viabilizando o suprimento das necessidades da sociedade.";"41000 - Ministério das Comunicações";
2024;"2305";"1251";"0295";"Promover o acesso universal à distribuição dos serviços postais básicos, viabilizando o suprimento das necessidades da sociedade.";"Promover o acesso universal à distribuição dos serviços postais básicos, viabilizando o suprimento das necessidades da sociedade..";"41000 - Ministério das Comunicações";
2024;"2305";"1251";"0545";"Ampliar a capacidade de processamento dos objetos nacionais e internacionais, com instalação de novos Centros operacionais (Construções)";"Ampliação e modernização da infraestrutura necessária para abrigar atividades operacionais, logísticas e administrativas dos Correios, por meio da construção de novos centros operacionais.";"41000 - Ministério das Comunicações";
2024;"2305";"1251";"0157";"Expandir a Digitalização da TV Aberta";"Ampliar o número de canais e a diversidade de programação de televisão aberta digital ofertada à população, por meio da realização de novos procedimentos de outorga em todo o país e da implantação, em municípios com baixo número de canais ou baixo índice de digitalização, de infraestrutura de TV Digital para utilização por emissoras públicas e educativas, com possibilidade de compartilhamento da capacidade ociosa com emissoras privadas.";"41000 - Ministério das Comunicações";
2024;"2305";"1251";"0544";"Modernizar o Parque Logístico Nacional dos Correios";"Modernização do Parque Logístico Nacional dos Correios - Atualizar tecnologia e ampliação da capacidade produtiva do parque de máquinas de triagem automatizada dos Centros de Tratamento dos Correios";"41000 - Ministério das Comunicações";
2024;"3108";"1252";"0004";"Reduzir as mortes no trânsito.";"O objetivo adota as abordagens de Sistema Seguro e Visão Zero do Pnatrans, que reconhecem a segurança no trânsito como resultado da inter-relação de diversos componentes que formam um sistema.";"39000 - Ministério dos Transportes";
2024;"3108";"1252";"0020";"Reduzir o número de sinistros com vítimas no trânsito";"Utiliza a abordagem de Sistema Seguro do Pnatrans, que reconhece a segurança no trânsito como resultado da inter-relação entre diversos componentes que formam um sistema para reduzir o número de sinistros com vítimas no trânsito.";"39000 - Ministério dos Transportes";
2024;"3108";"1252";"0006";"Melhorar a segurança viária em áreas urbanas dos municípios com conflitos ferroviários";"Melhorar a segurança viária em conflitos ferroviários nas áreas urbanas dos municípios com a execução de obras de engenharia como a construção de contornos, variantes, rebaixamento de linha, transposição, passarela, sinalização ou vedação, aumentando a segurança das populações nos centros urbanos, reduzindo os riscos de acidentes, garantindo a fluidez e a segurança das vias. O valor social deste objetivo específico reside na proteção da vida e integridade dos cidadãos. A melhoria da segurança viária em conflitos ferroviários nas áreas urbanas garante uma convivência segura e harmoniosa entre os meios de transporte, evitando acidentes graves e preservando a segurança dos pedestres, motoristas e passageiros. Além disso, essa medida promove uma mobilidade mais eficiente e fluida, contribuindo para o desenvolvimento urbano e a qualidade de vida das comunidades afetadas.";"39000 - Ministério dos Transportes";
2024;"2310";"1253";"0130";"Gerar e disseminar informações estratégicas sobre trabalho, emprego, renda e relações do trabalho";"A necessidade de geração e disseminação de informações sobre trabalho, emprego e renda preconiza que a integração de atuação das Secretarias que formam o Ministério do Trabalho e Emprego demanda conhecimento das principais ações em curso, bem como seus resultados de forma rotineira, de modo a permitir uma maior integração das políticas públicas, assim como dos acessos destas ações por parte dos trabalhadores (do setor formal e informal), empregadores e entidades sindicais, colônias de pescadores, centrais sindicais, mediação coletiva, instrumentos coletivos e trabalho temporário.";"40000 - Ministério do Trabalho e Emprego";
2024;"2310";"1253";"0131";"Melhorar a eficiência da intermediação de mão de obra";"No Brasil, o Sistema Nacional de Emprego, coordenado pelo Ministério do Trabalho e Emprego, promove ações voltadas a (re)inserção do trabalhador no mundo do trabalho. A intermediação de mão de obra (IMO) é um serviço prestado pelo Sistema, que visa a (re)colocar trabalhadores no mercado de trabalho, por meio de vagas captadas junto a empregadores. Esse objetivo específico, trata da alocação de diversos recursos de forma a reduzir o tempo de espera e a assimetria de informação, conjugando ações de orientação e qualificação profissional e melhoria em sistemas informatizados.";"40000 - Ministério do Trabalho e Emprego";
2024;"2310";"1253";"0132";"Promover a qualificação social e profissional";"Ofertar ações de qualificação social e profissional a jovens e trabalhadores com vistas a sua inserção e permanência no mundo do trabalho";"40000 - Ministério do Trabalho e Emprego";
2024;"2310";"1253";"0133";"Fomentar às atividades empreendedoras e o microcrédito produtivo orientado";"Incentivar a massificação do microcrédito produtivo orientado de forma que as pessoas de mais baixa renda possam empreender, gerar renda, como também ser incluídas financeiramente, levando ao desenvolvimento econômico e social";"40000 - Ministério do Trabalho e Emprego";
2024;"2310";"1253";"0134";"Aperfeiçoar o atendimento digital ao trabalhador";"A oferta de serviços digitais proporciona ao trabalhador a possibilidade de acessar os serviços do Ministério do Trabalho e Emprego de forma remota, sem a necessidade de deslocamento a uma unidade física de atendimento. Além desta comodidade, possibilita que o trabalhador acompanhe todo o processo de atendimento às suas demandas, de forma ágil e segura. Com vistas a ampliar a utilização dos serviços digitais pelos usuários, é necessário acrescentar novos serviços e melhorar a usabilidade da interface.";"40000 - Ministério do Trabalho e Emprego";
2024;"2310";"1253";"0135";"Aumentar a formalização do vínculo de emprego por meio de ações da inspeção do trabalho";"O vínculo de emprego formalizado é pressuposto para cumprimento da legislação trabalhista e incidência de suas medidas de proteção ao trabalhador. Cabe à Inspeção do Trabalho o enfrentamento à falta de registro do trabalhador, bem como às situações de fraude ao vínculo empregatício. A inserção do trabalhador no mercado formal de trabalho ? ou o afastamento de formas contratuais fraudulentas que elidem o vínculo empregatício ? permitem o usufruto de direitos como férias, 13º salário, controle de jornada, FGTS, além das contribuições previdenciárias que provêm auxílio na aposentadoria e em caso de doença, acidente ou morte. O trabalhador formal pode comprovar experiência no trabalho, o que lhe faculta o crescimento profissional, além de poder acessar crédito por meio da comprovação de renda, o que aquece a economia.";"40000 - Ministério do Trabalho e Emprego";
2024;"2310";"1253";"0136";"Combater a exploração do trabalho análogo ao escravo e do tráfico de pessoas";"Objetiva ampliar e fortalecer a política pública de combate ao trabalho análogo ao de escravo e ao tráfico de pessoas através da fiscalização das relações de trabalho. Busca, em última instância, não tolerar a ocorrência de qualquer caso de trabalho análogo ao de escravo e ao tráfico de pessoas no Brasil. Em função da gravidade destas violações de direitos, entende-se que o Estado deve sempre maximizar sua capacidade de atuação e presença repressiva.";"40000 - Ministério do Trabalho e Emprego";
2024;"2310";"1253";"0137";"Ampliar o cumprimento da obrigação legal de acesso e inclusão das pessoas com deficiência e, ou, reabilitadas no mercado formal de trabalho de maneira acessível, inclusiva e sustentável";"Todos os órgãos integrantes da Administração Pública devem respeitar as disposições da Convenção sobre os Direitos das Pessoas com Deficiência, ratificada pelo Congresso Nacional com status constitucional. Eventual afronta a tais dispositivos possibilita a responsabilização da União no âmbito internacional, tendo em vista que a República Federativa do Brasil se comprometeu a garantir a proteção do mercado de trabalho às pessoas com deficiência. O objetivo da Inspeção é promover uma inclusão sustentável no mercado de trabalho, por meio da ampliação do cumprimento da reserva legal de cargos para as pessoas com deficiência, de forma acessível, visando a promoção da diversidade e o respeito à igualdade de direitos. Ao fortalecer a participação de pessoas com deficiência no mercado formal, contribui-se para uma sociedade mais justa e sustentável, na qual todos têm a chance de desenvolver plenamente seu potencial. A ampliação do cumprimento da obrigação legal elimina estigmas e preconceitos além de promover benefícios diretos para as empresas, como aumento da criatividade, inovação e fortalecimento da imagem corporativa.";"40000 - Ministério do Trabalho e Emprego";
2024;"2310";"1253";"0138";"Assegurar a igualdade de oportunidades e de tratamento nos ambientes de trabalho das organizações por meio da exigência do cumprimento de medidas legais de prevenção da discriminação, assédio e violência no trabalho";"A Inspeção do Trabalho tem papel fundamental na garantia de direitos trabalhistas e no combate às diversas formas de discriminação. Aos Auditores Fiscais do Trabalho incumbe a atribuição de assegurar o cumprimento da legislação, promovendo a inclusão social por meio do trabalho decente (CF/88, art. 21, XXIV, Lei nº 10.593/2002, art. 11, Decreto nº 4.552/2002, art. 1º, IN nº 3/21, art. 5º, V). Pretende-se promover a igualdade de oportunidades e de tratamento nas organizações, assegurando a proteção de mulheres e idosos e combatendo as diversas formas de discriminação. A finalidade é fomentar um mundo do trabalho inclusivo, seguro e sadio. Busca-se alcançar os objetivos constitucionais: construir uma sociedade livre, justa e solidária, garantir o desenvolvimento nacional, erradicar a marginalização, reduzir as desigualdades sociais e regionais e promover o bem de todos, sem preconceitos e discriminação (art. 3º, I a IV), e assegurar, no meio ambiente do trabalho, fundamentos que regem o Estado Brasileiro, como a dignidade da pessoa humana e o valor social do trabalho (art. 1º, III e IV).";"40000 - Ministério do Trabalho e Emprego";
2024;"2310";"1253";"0139";"Assegurar a dignidade no trabalho das trabalhadoras domésticas";"A dignidade no trabalho pode ser medida a partir dos parâmetros estabelecidos pela Organização Internacional do Trabalho ? OIT, segundo os quais a promoção ao acesso ao emprego produtivo deve estar baseada na igualdade de oportunidade e nos direitos ao trabalho (especialmente liberdade sindical, direito de negociação coletiva, eliminação de todas as formas de discriminação em matéria de emprego e ocupação e erradicação de todas as formas de trabalho forçado e trabalho infantil, meio ambiente de trabalho seguro e saudável, na proteção social e na promoção do diálogo social). Indicadores como oportunidades de emprego, jornada de trabalho, conciliação entre o trabalho, vida pessoal e familiar, diálogo social e representação de trabalhadores e empregadores tem servido como medida para tal objetivo. O trabalho doméstico, há mais de cinquenta anos regulamentado no Brasil, está longe de uma realidade aceitável relativamente a esses parâmetros, o que se observa, por exemplo no alto índice de informalidade. Diante das circunstâncias apontadas, cabe à Inspeção do Trabalho atender prioritariamente às cerca de seis milhões de trabalhadoras domésticas, grupo majoritariamente composto por mulheres negras, com baixa escolaridade.";"40000 - Ministério do Trabalho e Emprego";
2024;"2310";"1253";"0140";"Retirar crianças e adolescentes de situação de trabalho infantil";"A exploração do trabalho infantil trata-se de uma grave violação aos direitos fundamentais de crianças e adolescentes e é vedada por disposição Constitucional (art. 7°, inciso XXXIII). Além disso, o Brasil assumiu compromissos internacionais relacionados com a erradicação do trabalho infantil, entre os quais as Convenções n° 138 e 182 da OIT e os ODS. A Inspeção do Trabalho historicamente tem atuado para a retirada de crianças e adolescentes de situação de trabalho infantil e apresenta-se como uma das políticas públicas mais importantes para o enfrentamento desse problema. Dentro desse contexto, o objetivo específico está diretamente relacionado com as normas e compromissos assumidos pelo Brasil, bem como com a atuação da Inspeção do Trabalho.";"40000 - Ministério do Trabalho e Emprego";
2024;"2310";"1253";"0141";"Reduzir os riscos nos ambientes de trabalho";"As fiscalizações de segurança e saúde no trabalho têm como objetivo principal a redução dos riscos ocupacionais a que os trabalhadores estão expostos. Como consequência da redução dos riscos ocupacionais, espera-se uma redução nas mortes e incapacidades relacionadas ao trabalho. Ainda, por meio de produção e difusão de conhecimentos em saúde e segurança no trabalho, pretende-se contribuir com a elaboração de políticas públicas voltadas à redução de riscos nos ambientes de trabalho e à promoção do trabalho decente.";"40000 - Ministério do Trabalho e Emprego";
2024;"2310";"1253";"0142";"Reduzir a inadimplência e a sonegação do FGTS relativo aos empregados formais, bem como garantir que os valores recolhidos sejam depositados nas contas individualizadas";"A auditoria fiscal do trabalho vem buscando aperfeiçoar seus processos e procedimentos, de forma a conseguir ampliar o combate à inadimplência, à sonegação e a garantir o direito dos trabalhadores. Ferramentas como o FGTS Digital, o novo sistema de Fiscalização e Cobrança da Secretaria de Inspeção do Trabalho e a nova sistemática de confissão de débitos por parte do empregador (Art. 17A da Lei nº 8.036/90) vão possibilitar que a Inspeção do Trabalho avance nesse sentido. Essa atuação visa tutelar os direitos trabalhistas, com a promoção de maior segurança financeira para os empregados, possibilitando a regularização das relações de trabalho, coibindo, ainda, a concorrência desleal e criando um ambiente mais justo para os empregadores.";"40000 - Ministério do Trabalho e Emprego";
2024;"2310";"1253";"0143";"Ampliar a inclusão de jovens na aprendizagem profissional de qualidade";"Com intuito de promover uma inclusão profissional segura, protegida e qualificada, ampliar a inclusão de jovens na aprendizagem é um instrumento capaz de promover mais e melhores trabalhos decentes para os jovens de 14 a 24 anos, inclusos na legislação específica da aprendizagem profissional. A Inspeção do Trabalho busca garantir a efetivação dos direitos basilares, indisponíveis e inalienáveis, contidos no art. 227 da Constituição Federal de 1988, em especial à profissionalização. A mesma Carta Magna dispõe que a aprendizagem profissional é um direito do trabalho para adolescentes a partir de 14 anos. Cumpre destacar que a fiscalização também dedica esforços para a fiscalização dos cursos de aprendizagem ministrados pelas entidades formadoras com o objetivo de garantir a qualidade mínima estabelecida pelos normativos vigentes.";"40000 - Ministério do Trabalho e Emprego";
2024;"2310";"1253";"0156";"Promover a mediação e negociação coletiva, de forma a incentivar a solução extrajudicial de conflitos trabalhistas";"A mediação coletiva no Brasil é política pública que tem por objetivo a resolução voluntária, pacífica, autônoma dos conflitos nas relações de trabalho. O Ministério do Trabalho e Emprego, ao conduzir a mediação, por meio do diálogo e da aproximação das partes, na busca de um acordo, fomenta que as entidades patronais e laborais realizem negociações coletivas, com vistas a solucionar os conflitos coletivos do mundo do trabalho";"40000 - Ministério do Trabalho e Emprego";
2024;"2310";"1253";"0382";"Democratizar e reestruturar as relações do trabalho";"Num contexto laboral totalmente modificado pelas transformações sociais e de legislação ocorridas nos últimos anos, é nítida a importância da gestão democrática participativa nas relações de trabalho. A dignidade da pessoa humana constitui fundamento do Estado Democrático, sendo garantida também nos ambientes de trabalho. O exercício da democracia nas relações de trabalho concretiza o ideal de gestão participativa que está expresso na Constituição Federal e em Convenções da OIT, e cria ambiente favorável ao desenvolvimento de políticas de bem-estar, inclusivas e protetivas. Nesse sentido, o Ministério do Trabalho e Emprego, visando harmonizar os direitos dos trabalhadores com os interesses empresariais, exerce papel primordial na condução do diálogo social, fomentando ações e iniciativas que tenham temas de interesse comum das partes, relativos à políticas econômicas, laborais e sociais";"40000 - Ministério do Trabalho e Emprego";
2024;"4104";"1254";"0005";"Apoiar a gestão pública no ciclo das políticas públicas, promovendo equidade, eficiência no combate à desigualdade social e interregional e desenvolvimento educacional, etnico-racial e econômico-sustentável, levando em conta seu multiculturalismo";"No contexto do ciclo das políticas públicas, o apoio aos gestores envolve fornecer suporte técnico, informações e recursos para que possam tomar decisões informadas e eficazes na formulação, implementação e avaliação de políticas. Isso inclui a disponibilização de dados relevantes e recomendações baseadas em evidências. A produção de evidências por meio de avaliações é fundamental para garantir que as políticas públicas sejam efetivas e atinjam seus objetivos. Através de métodos de avaliação, é possível analisar as políticas implementadas, identificar seus pontos fortes e fracos, e propor melhorias com base nos resultados obtidos. O combate à desigualdade social é uma das principais preocupações das políticas públicas, buscando reduzir as disparidades socioeconômicas entre diferentes grupos da população. Nesse sentido, o apoio aos gestores visa desenvolver políticas que promovam a inclusão social, a igualdade de oportunidades e o acesso a serviços essenciais, como saúde, educação, moradia e trabalho. Além disso, o objetivo de promover o desenvolvimento econômico sustentável do país envolve a adoção de medidas que estimulem o crescimento econômico de forma equilibrada e sustentável, considerando os aspectos sociais, ambientais e econômicos. Isso inclui a promoção de investimentos em setores estratégicos, a criação de empregos de qualidade, o estímulo à inovação e o fomento à produção sustentável.";"37000 - Controladoria-Geral da União";
2024;"4104";"1254";"0287";"Adotar medidas de remediação de ilícitos administrativos";"Busca-se o fortalecimento das atividades correcionais e o fomento da cultura de integridade na Administração Pública, por meio da implementação de medidas efetivas para remediar ilícitos administrativos. Envolve a adoção de práticas que visem melhorar a efetividade correcional, buscando garantir a punibilidade dos agentes no decurso dos processos correcionais instaurados.";"37000 - Controladoria-Geral da União";
2024;"4104";"1254";"0288";"Implementar e aprimorar mecanismos e oportunidades que estimulem e permitam a qualquer pessoa interagir e colaborar com a administração pública federal, contribuindo para a melhoria das políticas e serviços públicos que atendam à demanda da sociedade";"Implementar e aprimorar mecanismos e oportunidades que estimulem e permitam a qualquer pessoa interagir e colaborar com a administração pública federal, contribuindo para a melhoria das políticas e serviços públicos que atendam à demanda da sociedade de forma responsiva.?";"37000 - Controladoria-Geral da União";
2024;"4104";"1254";"0289";"Promover o Acesso à Informação na Administração Pública";"Promover o Acesso à Informação na Administração Pública";"37000 - Controladoria-Geral da União";
2024;"4104";"1254";"0290";"Promover o fomento à integridade privada, contribuindo para a prevenção e o enfrentamento da corrupção?.";"Promover o fomento à integridade privada, contribuindo para a prevenção e o enfrentamento da corrupção?.";"37000 - Controladoria-Geral da União";
